run_id,name,group,method,target,seed,state,created_at,url
mmb6c7p8,DSIVI-multimodal-seed7,DSIVI-multimodal,DSIVI,multimodal,7,finished,2026-06-25T22:16:46Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/mmb6c7p8
79bjqhuk,DSIVI-multimodal-seed42,DSIVI-multimodal,DSIVI,multimodal,42,finished,2026-06-25T22:17:12Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/79bjqhuk
znwoo7lc,DSIVI-multimodal-seed43,DSIVI-multimodal,DSIVI,multimodal,43,finished,2026-06-25T22:17:34Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/znwoo7lc
4p2q9xe7,DSIVI-8_gaussians-seed0,DSIVI-8_gaussians,DSIVI,8_gaussians,0,finished,2026-06-25T22:19:09Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/4p2q9xe7
2p748xpu,DSIVI-8_gaussians-seed1,DSIVI-8_gaussians,DSIVI,8_gaussians,1,finished,2026-06-25T22:19:10Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/2p748xpu
m85kt5g9,DSIVI-8_gaussians-seed7,DSIVI-8_gaussians,DSIVI,8_gaussians,7,finished,2026-06-25T22:19:42Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/m85kt5g9
8anqdcsl,DSIVI-8_gaussians-seed42,DSIVI-8_gaussians,DSIVI,8_gaussians,42,finished,2026-06-25T22:20:07Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/8anqdcsl
mizocnql,DSIVI-8_gaussians-seed43,DSIVI-8_gaussians,DSIVI,8_gaussians,43,finished,2026-06-25T22:20:13Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/mizocnql
xu2pibx1,DSIVI-8_gaussians_small-seed0,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,0,finished,2026-06-25T22:20:14Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/xu2pibx1
bfme87sd,DSIVI-8_gaussians_small-seed1,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,1,finished,2026-06-25T22:20:34Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/bfme87sd
qnwcv05h,DSIVI-8_gaussians_small-seed7,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,7,finished,2026-06-25T22:20:54Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/qnwcv05h
ybivjdaa,DSIVI-8_gaussians_small-seed42,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,42,finished,2026-06-25T22:20:55Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/ybivjdaa
pp5ousbn,DSIVI-8_gaussians_small-seed43,DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,43,finished,2026-06-25T22:21:32Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/pp5ousbn
bzl3lcbb,DSIVI-student_uc-seed0,DSIVI-student_uc,DSIVI,student_uc,0,finished,2026-06-25T22:22:30Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/bzl3lcbb
5ffzngw4,DSIVI-student_uc-seed1,DSIVI-student_uc,DSIVI,student_uc,1,finished,2026-06-25T22:22:31Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/5ffzngw4
qivg051i,DSIVI-student_uc-seed7,DSIVI-student_uc,DSIVI,student_uc,7,finished,2026-06-25T22:23:04Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/qivg051i
js0yinv7,DSIVI-student_uc-seed42,DSIVI-student_uc,DSIVI,student_uc,42,finished,2026-06-25T22:23:26Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/js0yinv7
5k1p5y0n,DSIVI-student_uc-seed43,DSIVI-student_uc,DSIVI,student_uc,43,finished,2026-06-25T22:23:33Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/5k1p5y0n
cxgsxj7p,DSIVI-Langevin_post-seed0,DSIVI-Langevin_post,DSIVI,Langevin_post,0,finished,2026-06-25T22:23:35Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/cxgsxj7p
jxkouy9x,DSIVI-Langevin_post-seed1,DSIVI-Langevin_post,DSIVI,Langevin_post,1,finished,2026-06-25T22:23:59Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/jxkouy9x
1uld41qw,DSIVI-Langevin_post-seed7,DSIVI-Langevin_post,DSIVI,Langevin_post,7,finished,2026-06-25T22:24:14Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/1uld41qw
lcb8waym,DSIVI-Langevin_post-seed42,DSIVI-Langevin_post,DSIVI,Langevin_post,42,finished,2026-06-25T22:24:17Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/lcb8waym
wws5bo6g,DSIVI-Langevin_post-seed43,DSIVI-Langevin_post,DSIVI,Langevin_post,43,finished,2026-06-25T22:24:53Z,https://wandb.ai/2162681069-peking-university/KDVI/runs/wws5bo6g
