run_id,run_name,group,method,target,seed,step,metric,value
przwk5hn,KDVI-banana-seed0,KDVI-banana,KDVI,banana,0,100000,elbo,-0.1721593588590622
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,5000,kl_ite,1.692191154208387
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,10000,kl_ite,2.04045505113011
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,15000,kl_ite,1.051991953742533
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,20000,kl_ite,1.0647022880593384
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,25000,kl_ite,0.7312943619954078
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,30000,kl_ite,0.2965781452748089
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,35000,kl_ite,0.23692706603133626
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,40000,kl_ite,0.22917961457062494
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,45000,kl_ite,0.1708521030612046
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,50000,kl_ite,0.16767244685035826
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,55000,kl_ite,0.1718438834672401
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,60000,kl_ite,0.14584305998781957
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,65000,kl_ite,0.12798792868714862
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,70000,kl_ite,0.1286824196330461
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,75000,kl_ite,0.13169628441765985
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,80000,kl_ite,0.11996102031196122
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,85000,kl_ite,0.1089631238543456
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,90000,kl_ite,0.1368930178748896
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,95000,kl_ite,0.1334534455573125
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,100000,kl_ite,0.1485212598760612
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,5000,w2,0.7919369339942932
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,10000,w2,0.822394609451294
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,15000,w2,0.9260619282722473
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,20000,w2,0.7546574473381042
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,25000,w2,0.9974197745323181
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,30000,w2,0.7726002335548401
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,35000,w2,0.8115379214286804
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,40000,w2,0.8898313641548157
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,45000,w2,0.803111732006073
5ht6jq4n,KDVI-banana-seed1,KDVI-banana,KDVI,banana,1,50000,w2,0.8289689421653748
