run_id,run_name,group,method,target,seed,metric,value
qfqyea3q,DSIVI-x_shaped-seed42,DSIVI-x_shaped,DSIVI,x_shaped,42,w2,0.0371854268014431
qfqyea3q,DSIVI-x_shaped-seed42,DSIVI-x_shaped,DSIVI,x_shaped,42,elbo,-0.021196769550442696
ntn5z226,DSIVI-x_shaped-seed43,DSIVI-x_shaped,DSIVI,x_shaped,43,kl_ite,-0.00855615535229365
ntn5z226,DSIVI-x_shaped-seed43,DSIVI-x_shaped,DSIVI,x_shaped,43,w2,0.1003481149673462
ntn5z226,DSIVI-x_shaped-seed43,DSIVI-x_shaped,DSIVI,x_shaped,43,elbo,-0.0217685978859663
oey5ulia,KDVI-multimodal-seed0,KDVI-multimodal,KDVI,multimodal,0,kl_ite,0.01997156609992348
oey5ulia,KDVI-multimodal-seed0,KDVI-multimodal,KDVI,multimodal,0,w2,0.05591645464301109
oey5ulia,KDVI-multimodal-seed0,KDVI-multimodal,KDVI,multimodal,0,elbo,-0.1279861330986023
3huwqjxh,KDVI-multimodal-seed1,KDVI-multimodal,KDVI,multimodal,1,kl_ite,0.02085264641835987
3huwqjxh,KDVI-multimodal-seed1,KDVI-multimodal,KDVI,multimodal,1,w2,0.059962015599012375
3huwqjxh,KDVI-multimodal-seed1,KDVI-multimodal,KDVI,multimodal,1,elbo,-0.14568392932415009
s790eds5,KDVI-multimodal-seed7,KDVI-multimodal,KDVI,multimodal,7,kl_ite,0.03498803173965666
s790eds5,KDVI-multimodal-seed7,KDVI-multimodal,KDVI,multimodal,7,w2,0.059367585927248
s790eds5,KDVI-multimodal-seed7,KDVI-multimodal,KDVI,multimodal,7,elbo,-0.1361275017261505
vqdtr3af,KDVI-multimodal-seed42,KDVI-multimodal,KDVI,multimodal,42,kl_ite,-0.01138030398467968
vqdtr3af,KDVI-multimodal-seed42,KDVI-multimodal,KDVI,multimodal,42,w2,0.08354759216308594
vqdtr3af,KDVI-multimodal-seed42,KDVI-multimodal,KDVI,multimodal,42,elbo,-0.14637820422649384
7qlh63s1,KDVI-multimodal-seed43,KDVI-multimodal,KDVI,multimodal,43,kl_ite,0.03714709741830402
7qlh63s1,KDVI-multimodal-seed43,KDVI-multimodal,KDVI,multimodal,43,w2,0.06020563095808029
7qlh63s1,KDVI-multimodal-seed43,KDVI-multimodal,KDVI,multimodal,43,elbo,-0.14271676540374756
edst2td0,DSIVI-multimodal-seed0,DSIVI-multimodal,DSIVI,multimodal,0,kl_ite,-0.006327161054770064
edst2td0,DSIVI-multimodal-seed0,DSIVI-multimodal,DSIVI,multimodal,0,w2,0.022772103548049927
edst2td0,DSIVI-multimodal-seed0,DSIVI-multimodal,DSIVI,multimodal,0,elbo,-0.001356053166091442
enn13lk0,DSIVI-multimodal-seed1,DSIVI-multimodal,DSIVI,multimodal,1,kl_ite,-0.012645779864600866
enn13lk0,DSIVI-multimodal-seed1,DSIVI-multimodal,DSIVI,multimodal,1,w2,0.030191490426659584
