target,seed,epoch,z_dim,n_samples,mu_fourth_moment,std_fourth_moment,vi_fourth_moment,mu_second_moment,std_second_moment,run_id,duration_sec
Langevin_post,42,1000,100,1024,10492.927734375,1.9231852293014526,10492.927734375,102.17770385742188,1.3867895603179932,seed42_dsivi_langevin_post,0.205
Langevin_post,42,2000,100,1024,9721.7109375,0.6537320613861084,9721.7109375,98.488525390625,0.8085370063781738,seed42_dsivi_langevin_post,0.004
Langevin_post,42,3000,100,1024,9863.59375,0.33983564376831055,9863.59375,99.24583435058594,0.5829542279243469,seed42_dsivi_langevin_post,0.003
Langevin_post,42,4000,100,1024,9660.5400390625,0.21193674206733704,9660.5400390625,98.248291015625,0.460365891456604,seed42_dsivi_langevin_post,0.003
Langevin_post,42,5000,100,1024,9438.525390625,0.14847035706043243,9438.525390625,97.12608337402344,0.3853185176849365,seed42_dsivi_langevin_post,0.003
Langevin_post,42,6000,100,1024,9515.576171875,0.1272350400686264,9515.576171875,97.52204132080078,0.35670021176338196,seed42_dsivi_langevin_post,0.002
Langevin_post,42,7000,100,1024,9397.7568359375,0.11903774738311768,9397.7568359375,96.91324615478516,0.3450184762477875,seed42_dsivi_langevin_post,0.003
Langevin_post,42,8000,100,1024,9477.396484375,0.11527632921934128,9477.396484375,97.32797241210938,0.33952367305755615,seed42_dsivi_langevin_post,0.003
Langevin_post,42,9000,100,1024,9682.134765625,0.11237796396017075,9682.134765625,98.37374877929688,0.33522823452949524,seed42_dsivi_langevin_post,0.003
Langevin_post,42,10000,100,1024,9575.3447265625,0.11048615723848343,9575.3447265625,97.8314437866211,0.3323945701122284,seed42_dsivi_langevin_post,0.003
x_shaped,42,1000,2,1024,317.4249572753906,8.076606750488281,317.4249572753906,10.028400421142578,2.258133888244629,seed42_dsivi_x_shaped,0.025
x_shaped,42,2000,2,1024,213.3168487548828,0.8124794960021973,213.3168487548828,8.440125465393066,0.6763763427734375,seed42_dsivi_x_shaped,0.003
x_shaped,42,3000,2,1024,111.92454528808594,0.35975417494773865,111.92454528808594,6.409684181213379,0.46203386783599854,seed42_dsivi_x_shaped,0.002
x_shaped,42,4000,2,1024,84.50749206542969,0.1992192566394806,84.50749206542969,5.242173194885254,0.37095093727111816,seed42_dsivi_x_shaped,0.002
x_shaped,42,5000,2,1024,48.056312561035156,0.1383761763572693,48.056312561035156,4.0004377365112305,0.32947421073913574,seed42_dsivi_x_shaped,0.002
x_shaped,42,6000,2,1024,48.952964782714844,0.126479834318161,48.952964782714844,4.00783634185791,0.3264545798301697,seed42_dsivi_x_shaped,0.002
x_shaped,42,7000,2,1024,40.363365173339844,0.1327635496854782,40.363365173339844,3.6983237266540527,0.3414138853549957,seed42_dsivi_x_shaped,0.002
x_shaped,42,8000,2,1024,56.039039611816406,0.12318272888660431,56.039039611816406,4.012312889099121,0.32924818992614746,seed42_dsivi_x_shaped,0.002
x_shaped,42,9000,2,1024,39.31280517578125,0.12497261166572571,39.31280517578125,3.5757341384887695,0.33325016498565674,seed42_dsivi_x_shaped,0.002
x_shaped,42,10000,2,1024,43.18992614746094,0.1332160085439682,43.18992614746094,3.757809638977051,0.3441106379032135,seed42_dsivi_x_shaped,0.002
Langevin_post,43,1000,100,1024,9965.89453125,2.161546230316162,9965.89453125,99.55792999267578,1.4702198505401611,seed43_dsivi_langevin_post,0.003
Langevin_post,43,2000,100,1024,9885.916015625,0.7059415578842163,9885.916015625,99.30321502685547,0.8402032852172852,seed43_dsivi_langevin_post,0.003
Langevin_post,43,3000,100,1024,9599.802734375,0.35320380330085754,9599.802734375,97.91693115234375,0.5943095088005066,seed43_dsivi_langevin_post,0.003
Langevin_post,43,4000,100,1024,9569.6025390625,0.22573138773441315,9569.6025390625,97.7865982055664,0.4751119911670685,seed43_dsivi_langevin_post,0.003
Langevin_post,43,5000,100,1024,9421.501953125,0.15743346512317657,9421.501953125,97.03834533691406,0.3967788517475128,seed43_dsivi_langevin_post,0.003
Langevin_post,43,6000,100,1024,9517.8046875,0.1328817754983902,9517.8046875,97.53639221191406,0.3645295202732086,seed43_dsivi_langevin_post,0.003
Langevin_post,43,7000,100,1024,9552.6103515625,0.12358404695987701,9552.6103515625,97.71369934082031,0.35154521465301514,seed43_dsivi_langevin_post,0.003
Langevin_post,43,8000,100,1024,9449.994140625,0.11957716196775436,9449.994140625,97.19052124023438,0.3457992970943451,seed43_dsivi_langevin_post,0.003
Langevin_post,43,9000,100,1024,9455.8984375,0.11620213091373444,9455.8984375,97.21992492675781,0.34088432788848877,seed43_dsivi_langevin_post,0.003
Langevin_post,43,10000,100,1024,9638.65625,0.11453232169151306,9638.65625,98.15597534179688,0.33842623233795166,seed43_dsivi_langevin_post,0.003
x_shaped,43,1000,2,1024,685.3633422851562,8.420820236206055,685.3633422851562,13.08834457397461,2.292052745819092,seed43_dsivi_x_shaped,0.002
x_shaped,43,2000,2,1024,117.04574584960938,1.2322931289672852,117.04574584960938,6.4341325759887695,0.8987765312194824,seed43_dsivi_x_shaped,0.002
x_shaped,43,3000,2,1024,99.30329895019531,0.3281053304672241,99.30329895019531,6.44949197769165,0.48745787143707275,seed43_dsivi_x_shaped,0.002
x_shaped,43,4000,2,1024,39.97350311279297,0.17675679922103882,39.97350311279297,3.9138011932373047,0.38340744376182556,seed43_dsivi_x_shaped,0.002
x_shaped,43,5000,2,1024,34.968780517578125,0.13040027022361755,34.968780517578125,3.502239227294922,0.3439900875091553,seed43_dsivi_x_shaped,0.002
x_shaped,43,6000,2,1024,30.81754493713379,0.12761567533016205,30.81754493713379,3.2369725704193115,0.339073121547699,seed43_dsivi_x_shaped,0.002
x_shaped,43,7000,2,1024,36.239959716796875,0.11750821769237518,36.239959716796875,3.610426187515259,0.3286415934562683,seed43_dsivi_x_shaped,0.002
x_shaped,43,8000,2,1024,26.62322998046875,0.12252552062273026,26.62322998046875,3.004401683807373,0.3368169665336609,seed43_dsivi_x_shaped,0.002
x_shaped,43,9000,2,1024,28.281038284301758,0.1285419464111328,28.281038284301758,3.230318069458008,0.3458002805709839,seed43_dsivi_x_shaped,0.002
x_shaped,43,10000,2,1024,30.963790893554688,0.132156640291214,30.963790893554688,3.333920955657959,0.3498137593269348,seed43_dsivi_x_shaped,0.002
Langevin_post,44,1000,100,1024,10437.876953125,1.9881055355072021,10437.876953125,101.89662170410156,1.4100019931793213,seed44_dsivi_langevin_post,0.003
Langevin_post,44,2000,100,1024,9328.2919921875,0.6760944724082947,9328.2919921875,96.4723129272461,0.8222496509552002,seed44_dsivi_langevin_post,0.002
Langevin_post,44,3000,100,1024,9492.1689453125,0.3412698805332184,9492.1689453125,97.36711120605469,0.5841830968856812,seed44_dsivi_langevin_post,0.003
Langevin_post,44,4000,100,1024,9195.7177734375,0.21533694863319397,9195.7177734375,95.8572006225586,0.46404412388801575,seed44_dsivi_langevin_post,0.003
Langevin_post,44,5000,100,1024,9509.5146484375,0.14958468079566956,9509.5146484375,97.48922729492188,0.38676178455352783,seed44_dsivi_langevin_post,0.003
Langevin_post,44,6000,100,1024,9485.345703125,0.12953683733940125,9485.345703125,97.36701965332031,0.35991227626800537,seed44_dsivi_langevin_post,0.003
