target,seed,epoch,d_z,d_phi,n_samples,mean_sq_spectral_mu,mean_sq_spectral_std,M_eps,std_err_mu,std_err_std,max_spectral_mu,max_spectral_std,run_id,duration_sec
x_shaped,42,1000,2,17412,1024,62.923423767089844,5.28756046295166,62.923423767089844,2.2671256065368652,0.1934691220521927,22.341957092285156,6.38204288482666,seed42_dsivi_x_shaped,3.549
x_shaped,42,2000,2,17412,1024,72.83861541748047,5.399043083190918,72.83861541748047,2.700237512588501,0.22238615155220032,29.32040023803711,7.881604194641113,seed42_dsivi_x_shaped,3.078
x_shaped,42,3000,2,17412,1024,65.18171691894531,4.5255961418151855,65.18171691894531,2.1665031909942627,0.1610395461320877,25.908470153808594,6.610640525817871,seed42_dsivi_x_shaped,2.888
x_shaped,42,4000,2,17412,1024,60.469242095947266,4.26809024810791,60.469242095947266,1.9793919324874878,0.13377712666988373,22.92784881591797,4.451722145080566,seed42_dsivi_x_shaped,2.879
x_shaped,42,5000,2,17412,1024,51.9522705078125,3.65462589263916,51.9522705078125,1.6746360063552856,0.13199125230312347,22.5049991607666,7.470747470855713,seed42_dsivi_x_shaped,2.931
x_shaped,42,6000,2,17412,1024,51.60441970825195,3.5027403831481934,51.60441970825195,1.6484535932540894,0.12549757957458496,18.841785430908203,7.1606669425964355,seed42_dsivi_x_shaped,2.912
x_shaped,42,7000,2,17412,1024,49.929603576660156,3.817131519317627,49.929603576660156,1.6007968187332153,0.1342279016971588,19.620241165161133,7.130605220794678,seed42_dsivi_x_shaped,2.944
x_shaped,42,8000,2,17412,1024,53.08314514160156,3.7822699546813965,53.08314514160156,1.9151877164840698,0.14969198405742645,27.186643600463867,9.477802276611328,seed42_dsivi_x_shaped,3.043
x_shaped,42,9000,2,17412,1024,47.63893127441406,3.6512694358825684,47.63893127441406,1.555909276008606,0.1495080292224884,23.21670913696289,8.780543327331543,seed42_dsivi_x_shaped,2.912
x_shaped,42,10000,2,17412,1024,49.863990783691406,3.841390609741211,49.863990783691406,1.6060295104980469,0.15081147849559784,18.236907958984375,6.26171350479126,seed42_dsivi_x_shaped,2.869
x_shaped,43,1000,2,17412,1024,77.61801147460938,5.86676025390625,77.61801147460938,2.764765977859497,0.204003244638443,30.047866821289062,7.505740165710449,seed43_dsivi_x_shaped,3.007
x_shaped,43,2000,2,17412,1024,68.55799865722656,5.586155414581299,68.55799865722656,2.2221031188964844,0.200614795088768,20.74772834777832,6.924778461456299,seed43_dsivi_x_shaped,2.916
