checkpoint_dir,checkpoint_epoch,duration_sec,elbo,elbo_runtime_sec,errors,kde_elm,kde_elm_runtime_sec,method,nll,rmse,rmse_nll_runtime_sec,run_id,seed,summary_iterations,target,training_time_sec,w2,w2_edge_10,w2_edge_10_runtime_sec,w2_edge_5,w2_edge_5_runtime_sec,w2_edge_8,w2_edge_8_runtime_sec,w2_runtime_sec,w2_trunc_abs_6,w2_trunc_abs_6_runtime_sec,w2_trunc_abs_8,w2_trunc_abs_8_runtime_sec,wall_clock_sec
results/default_config_grid/AISIVI/Bnn_protein/20260501_144219/checkpoints/epoch_10000,10000,640.8553046882153,,,{},,,AISIVI,3.0220155715942383,4.868831634521484,0.013515584170818329,seed42_aisivi_bnn_protein,42,10000.0,Bnn_protein,618.91650390625,,,,,,,,,,,,,640.8553046882153
results/default_config_grid/AISIVI/Bnn_winered/20260501_144312/checkpoints/epoch_10000,10000,669.5127373896539,,,{},,,AISIVI,0.922574520111084,0.6117203831672668,0.0020193196833133698,seed42_aisivi_bnn_winered,42,10000.0,Bnn_winered,649.3014526367188,,,,,,,,,,,,,669.5127373896539
results/default_config_grid/AISIVI/Bnn_yacht/20260501_144655/checkpoints/epoch_10000,10000,645.975038792938,,,{},,,AISIVI,2.430058002471924,3.1257288455963135,0.0017098374664783478,seed42_aisivi_bnn_yacht,42,10000.0,Bnn_yacht,621.475830078125,,,,,,,,,,,,,645.975038792938
results/default_config_grid/AISIVI/Langevin_post/20260429_220136/checkpoints/epoch_10000,10000,709.0805318467319,-199.0514678955078,2.429270502179861,{},74.84839630126953,0.6202672086656094,AISIVI,,,,seed42_aisivi_langevin_post,42,10000.0,Langevin_post,639.4645385742188,0.010906975716352463,,,,,,,0.05006694048643112,,,,,709.0805318467319
results/default_config_grid/AISIVI/multimodal/20260428_055137/checkpoints/epoch_10000,10000,358.6094890125096,-0.0016994504258036613,1.555831152945757,{},,,AISIVI,,,,seed42_aisivi_multimodal,42,10000.0,multimodal,344.12646484375,0.03222386911511421,,,,,,,0.03388930484652519,,,,,358.6094890125096
results/default_config_grid/AISIVI/student_uc/20260428_055414/checkpoints/epoch_10000,10000,352.81529396399856,-2.6749346256256104,1.4939731769263744,{},,,AISIVI,,,,seed42_aisivi_student_uc,42,10000.0,student_uc,339.4536437988281,0.49903687834739685,0.11359190940856934,0.03584904223680496,0.04776957258582115,0.036309417337179184,0.0986543595790863,0.05924155190587044,0.03283612057566643,,,0.09894226491451263,0.061034806072711945,352.81529396399856
results/default_config_grid/AISIVI/x_shaped/20260428_055416/checkpoints/epoch_10000,10000,348.6950897946954,-0.09359762817621231,1.490328211337328,{},,,AISIVI,,,,seed42_aisivi_x_shaped,42,10000.0,x_shaped,335.63995361328125,0.20770873129367828,,,,,,,0.03470281884074211,,,,,348.6950897946954
results/default_config_grid/DSIVI/8_gaussians/20260428_055623/checkpoints/epoch_10000,10000,187.8026962094009,-0.1090393140912056,1.4867530725896358,{},,,DSIVI,,,,seed42_dsivi_8_gaussians,42,10000.0,8_gaussians,181.14382934570312,0.1307639330625534,,,,,,,0.03355531021952629,0.07442562282085419,0.04266543686389923,,,187.8026962094009
results/default_config_grid/DSIVI/banana/20260428_055736/checkpoints/epoch_10000,10000,188.7895834930241,-0.001317503396421671,1.4827097915112972,{},,,DSIVI,,,,seed42_dsivi_banana,42,10000.0,banana,181.6254425048828,0.04262544587254524,,,,,,,0.03468387946486473,,,,,188.7895834930241
results/default_config_grid/DSIVI/Bnn_boston/20260428_055956/checkpoints/epoch_10000,10000,126.85594974458218,,,{},,,DSIVI,2.4582390785217285,2.5937771797180176,0.006933953613042831,seed42_dsivi_bnn_boston,42,10000.0,Bnn_boston,109.96505737304688,,,,,,,,,,,,,126.85594974458218
