target,seed,epoch,z_dim,n_samples,score_p_4th_moment,score_q_4th_moment,score_p_mean_norm,score_q_mean_norm,run_id,duration_sec
Langevin_post,43,7000,100,10240,496294624.0,407918432.0,147.436279296875,140.75450134277344,seed43_dsivi_langevin_post,0.012
Langevin_post,43,8000,100,10240,494810528.0,414781184.0,147.3336944580078,141.3478240966797,seed43_dsivi_langevin_post,0.017
Langevin_post,43,9000,100,10240,480955200.0,417391712.0,146.29977416992188,141.54330444335938,seed43_dsivi_langevin_post,0.014
Langevin_post,43,10000,100,10240,475015168.0,421687008.0,145.8301239013672,141.89573669433594,seed43_dsivi_langevin_post,0.012
x_shaped,43,1000,2,10240,1943.369140625,2.7779700756073,4.066256523132324,0.898423969745636,seed43_dsivi_x_shaped,0.007
x_shaped,43,2000,2,10240,344.04083251953125,7.021396160125732,2.59275484085083,1.1316555738449097,seed43_dsivi_x_shaped,0.006
x_shaped,43,3000,2,10240,138.04248046875,17.599811553955078,2.1611328125,1.3737753629684448,seed43_dsivi_x_shaped,0.006
x_shaped,43,4000,2,10240,65.81900024414062,25.000205993652344,1.8506072759628296,1.4735289812088013,seed43_dsivi_x_shaped,0.009
x_shaped,43,5000,2,10240,44.35334777832031,37.351112365722656,1.7060108184814453,1.6552883386611938,seed43_dsivi_x_shaped,0.008
x_shaped,43,6000,2,10240,45.64539337158203,43.935054779052734,1.698036551475525,1.789117455482483,seed43_dsivi_x_shaped,0.01
x_shaped,43,7000,2,10240,45.576637268066406,59.4874382019043,1.7023597955703735,1.812455415725708,seed43_dsivi_x_shaped,0.006
x_shaped,43,8000,2,10240,45.123138427734375,58.088623046875,1.7164729833602905,1.8438640832901,seed43_dsivi_x_shaped,0.006
x_shaped,43,9000,2,10240,45.073177337646484,42.94448471069336,1.6941759586334229,1.7292816638946533,seed43_dsivi_x_shaped,0.008
x_shaped,43,10000,2,10240,47.30642318725586,43.50901794433594,1.7295656204223633,1.7558220624923706,seed43_dsivi_x_shaped,0.006
Langevin_post,44,1000,100,10240,7722299392.0,21678686.0,292.44964599609375,67.52676391601562,seed44_dsivi_langevin_post,0.013
Langevin_post,44,2000,100,10240,2745108480.0,64217760.0,225.93618774414062,88.66431427001953,seed44_dsivi_langevin_post,0.013
Langevin_post,44,3000,100,10240,1365011584.0,133277848.0,189.7179412841797,106.4238052368164,seed44_dsivi_langevin_post,0.014
Langevin_post,44,4000,100,10240,860516800.0,233743920.0,169.10995483398438,122.52214813232422,seed44_dsivi_langevin_post,0.012
Langevin_post,44,5000,100,10240,582205888.0,343235456.0,153.37315368652344,134.84840393066406,seed44_dsivi_langevin_post,0.017
Langevin_post,44,6000,100,10240,518116160.0,406055680.0,149.0112762451172,140.61868286132812,seed44_dsivi_langevin_post,0.012
Langevin_post,44,7000,100,10240,499277408.0,413170464.0,147.7069854736328,141.231689453125,seed44_dsivi_langevin_post,0.015
Langevin_post,44,8000,100,10240,487791968.0,419747616.0,146.89093017578125,141.829345703125,seed44_dsivi_langevin_post,0.021
Langevin_post,44,9000,100,10240,483847328.0,418457824.0,146.4876708984375,141.63589477539062,seed44_dsivi_langevin_post,0.014
Langevin_post,44,10000,100,10240,478296672.0,418014688.0,146.0834503173828,141.5867156982422,seed44_dsivi_langevin_post,0.012
x_shaped,44,1000,2,10240,781.5887451171875,3.785804510116577,3.2664895057678223,0.882668673992157,seed44_dsivi_x_shaped,0.007
x_shaped,44,2000,2,10240,273.5578308105469,9.08304500579834,2.5753719806671143,1.1581679582595825,seed44_dsivi_x_shaped,0.009
x_shaped,44,3000,2,10240,122.80355072021484,13.99297046661377,2.1357803344726562,1.2097629308700562,seed44_dsivi_x_shaped,0.006
