run_id,phase,target,variant,variant_label,backbone,runner_type,annealing_mode,queue_name,config_path,epochs,batch_size,reverse_batch_size,estimated_cost
official_on_student_uc_cg_uniform,official,student_uc,cg_uniform,ConditionalGaussianUniform,ConditionalGaussianUniform,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_student_uc_cg_uniform.yaml,10000,1024,2048,11550.0
official_on_student_uc_cg_global,official,student_uc,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_student_uc_cg_global.yaml,10000,1024,2048,10450.0
official_on_student_uc_cg_global_uniform,official,student_uc,cg_global_uniform,ConditionalGaussianGlobalUniform,ConditionalGaussianGlobalUniform,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_student_uc_cg_global_uniform.yaml,10000,1024,2048,10972.5
official_off_student_uc_cg,official,student_uc,cg,ConditionalGaussian,ConditionalGaussian,DSIVI,off,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_off_student_uc_cg.yaml,10000,1024,2048,11000.0
official_off_student_uc_cg_uniform,official,student_uc,cg_uniform,ConditionalGaussianUniform,ConditionalGaussianUniform,DSIVI,off,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_off_student_uc_cg_uniform.yaml,10000,1024,2048,11550.0
official_off_student_uc_cg_global,official,student_uc,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,off,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_off_student_uc_cg_global.yaml,10000,1024,2048,10450.0
official_off_student_uc_cg_global_uniform,official,student_uc,cg_global_uniform,ConditionalGaussianGlobalUniform,ConditionalGaussianGlobalUniform,DSIVI,off,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_off_student_uc_cg_global_uniform.yaml,10000,1024,2048,10972.5
official_on_8_gaussians_cg,official,8_gaussians,cg,ConditionalGaussian,ConditionalGaussian,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_8_gaussians_cg.yaml,10000,128,2048,11000.0
official_on_8_gaussians_cg_uniform,official,8_gaussians,cg_uniform,ConditionalGaussianUniform,ConditionalGaussianUniform,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_8_gaussians_cg_uniform.yaml,10000,128,2048,11550.0
official_on_8_gaussians_cg_global,official,8_gaussians,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_8_gaussians_cg_global.yaml,10000,128,2048,10450.0
official_on_8_gaussians_cg_global_uniform,official,8_gaussians,cg_global_uniform,ConditionalGaussianGlobalUniform,ConditionalGaussianGlobalUniform,DSIVI,on,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_on_8_gaussians_cg_global_uniform.yaml,10000,128,2048,10972.5
official_off_8_gaussians_cg,official,8_gaussians,cg,ConditionalGaussian,ConditionalGaussian,DSIVI,off,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_off_8_gaussians_cg.yaml,10000,128,2048,11000.0
official_off_8_gaussians_cg_uniform,official,8_gaussians,cg_uniform,ConditionalGaussianUniform,ConditionalGaussianUniform,DSIVI,off,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_off_8_gaussians_cg_uniform.yaml,10000,128,2048,11550.0
official_off_8_gaussians_cg_global,official,8_gaussians,cg_global,ConditionalGaussianGlobal,ConditionalGaussianGlobal,DSIVI,off,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_off_8_gaussians_cg_global.yaml,10000,128,2048,10450.0
official_off_8_gaussians_cg_global_uniform,official,8_gaussians,cg_global_uniform,ConditionalGaussianGlobalUniform,ConditionalGaussianGlobalUniform,DSIVI,off,gpu0,configs/generated/dsivi_backbone_toys_20260418/official_off_8_gaussians_cg_global_uniform.yaml,10000,128,2048,10972.5
