duration_sec_mean,duration_sec_se,elbo_count,elbo_mean,elbo_runtime_sec_count,elbo_runtime_sec_mean,elbo_runtime_sec_se,elbo_se,method,seed_count,target,training_iterations_mean,training_time_sec_count,training_time_sec_mean,training_time_sec_se,variant,w2_count,w2_mean,w2_runtime_sec_count,w2_runtime_sec_mean,w2_runtime_sec_se,w2_se,wall_clock_sec_mean,wall_clock_sec_se
314.60930158644913,1.4256627242615463,5,-0.008061964809894562,5,2.366006274521351,0.010635371497835907,0.001191614840908711,DSIVI,5,x_shaped,10000.0,5,308.467626953125,1.4609250111607075,baseline,5,0.0785237729549408,5,0.04338654018938541,0.006467780085630213,0.012867716288931389,314.60930158644913,1.4256627242615463
305.2820056784898,3.9435095843184116,5,-0.032248408813029525,5,2.354380476474762,0.007413327600892985,0.022373158306065715,DSIVI,5,x_shaped,10000.0,5,298.92698974609374,3.9386255830995163,reverse_batch_1024,5,0.1195729672908783,5,0.046384213119745256,0.009597096711581845,0.0462535528535036,305.2820056784898,3.9435095843184116
313.29900984950365,3.558998501568554,5,-0.004098284803330898,5,2.3573769100010393,0.008142182989482695,0.0009283749180078038,DSIVI,5,x_shaped,10000.0,5,306.0755187988281,3.7394867524158553,reverse_batch_4096,5,0.05429975539445877,5,0.036701349541544914,0.0001817368995440757,0.007927397693670495,313.29900984950365,3.558998501568554
313.6770303189754,3.382565885718908,5,-0.022839109925553203,5,2.343284764513373,0.014499887099376609,0.008532448293963985,DSIVI,5,x_shaped,10000.0,5,306.5976196289063,3.237979148760748,reverse_batch_512,5,0.11753380075097083,5,0.03679605089128017,0.00017785451438836873,0.02924244922617216,313.6770303189754,3.382565885718908
316.5888634931296,5.1541252408062,5,-0.011020630598068237,5,2.3539345514029266,0.006375415156689209,0.005607324958628989,DSIVI,5,x_shaped,10000.0,5,309.23858642578125,5.337445861561175,reverse_batch_8192,5,0.05216178968548775,5,0.03753162622451782,0.0003187290829512748,0.005332694208893474,316.5888634931296,5.1541252408062
154.68014858812094,1.8464218423791599,5,-0.08242606483399868,5,2.320315345749259,0.029985697962362813,0.04410441238520813,DSIVI,5,x_shaped,10000.0,5,147.2554473876953,1.7295585974240153,reverse_steps_1,5,0.17812557220458985,5,0.03734701089560986,0.00028309351231067446,0.06297562082122239,154.68014858812094,1.8464218423791599
509.50295515395703,7.5651849363366725,5,-0.008337856084108353,5,2.357595604285598,0.005353334442236953,0.0008773391594993122,DSIVI,5,x_shaped,10000.0,5,502.4398986816406,7.4352587033604065,reverse_steps_10,5,0.06519046649336815,5,0.03697661533951759,0.00030811386606528806,0.01298946965178064,509.50295515395703,7.5651849363366725
200.83188565410674,2.5521202879844083,5,-0.07334762432146817,5,2.3542760461568832,0.0045818698995344935,0.045403894930757166,DSIVI,5,x_shaped,10000.0,5,193.414208984375,2.586002573576788,reverse_steps_2,5,0.18309464752674104,5,0.036902857944369316,0.0001561258730259945,0.07869972812461891,200.83188565410674,2.5521202879844083
