aisivi_refit_final_100_mean_loss,aisivi_refit_runtime_sec,aisivi_refit_steps,analysis_fingerprint,completed_at,dsivi_reverse_sha256,epoch,estimator_config_fingerprint,estimator_config_path,estimator_run_id,forward_bank_path,hmc_average_acceptance_rate,hmc_internal_l2,hmc_mean_mcse_l2,hmc_post_burn_acceptance_rate,hmc_quality_issues,hmc_quality_status,hmc_reference_path,hmc_runtime_sec,hmc_score_rhat_p95,method,method_fingerprint,method_hmc_l2,method_hmc_l2_z_sd,method_hmc_relative_l2,method_runtime_sec,native_auxiliary_samples,progress,seed,source_checkpoint_dir,source_method,source_run_id,target,uivi_average_acceptance_rate
,,,7dd3b9e2b988b41824a379a82ead8b3495026cd53f41de1aa71278dba9eaf547,2026-07-28T10:21:10.038878+00:00,,10000,4799f34e48eab776a2d9455dcb38f6028e9737ba356a6a161d9e17c6a72a4429,configs/sivi_x_shaped.yaml,seed42_sivi_x_shaped,/root/ruivi/results/default_config_grid/score_approximation_dsivi_shared_x_shaped_10k/reference_cache/x_shaped/seed_42/epoch_10000/forward_47d7b80bcc79ddc6.pt,0.9959987141927084,0.15122974932757924,0.007959460490925224,0.995632724609375,[],pass,/root/ruivi/results/default_config_grid/score_approximation_dsivi_shared_x_shaped_10k/reference_cache/x_shaped/seed_42/epoch_10000/hmc_2228085552679786.pt,541.7314862012863,1.0033149916488566,SIVI,352e139a22eafaccd9048a5441a192bd3b5a72c1962f0491c67336ca2f5e1af8,54.12714621482653,640.3173677037715,13.403934390412699,0.2709287777543068,4097,1.0,42,results/default_config_grid/DSIVI/x_shaped/20260504_125719/checkpoints/epoch_10000,DSIVI,seed42_dsivi_x_shaped,x_shaped,
,,,7dd3b9e2b988b41824a379a82ead8b3495026cd53f41de1aa71278dba9eaf547,2026-07-28T10:21:10.428005+00:00,,10000,edcd3d4b718e798a5543c24cdffbd1b7523058a11a6ce6d31113c571e56c8b3a,configs/uivi_x_shaped.yaml,seed42_uivi_x_shaped,/root/ruivi/results/default_config_grid/score_approximation_dsivi_shared_x_shaped_10k/reference_cache/x_shaped/seed_42/epoch_10000/forward_47d7b80bcc79ddc6.pt,0.9959987141927084,0.15122974932757924,0.007959460490925224,0.995632724609375,[],pass,/root/ruivi/results/default_config_grid/score_approximation_dsivi_shared_x_shaped_10k/reference_cache/x_shaped/seed_42/epoch_10000/hmc_2228085552679786.pt,541.7314862012863,1.0033149916488566,UIVI,d13f43536b41905be1caf68e3f46b847c6d3f52d3ef8f098ee611a950c6460e4,307.00580302331934,2070.6878430186175,76.02628124653155,0.45997901260852814,5,1.0,42,results/default_config_grid/DSIVI/x_shaped/20260504_125719/checkpoints/epoch_10000,DSIVI,seed42_dsivi_x_shaped,x_shaped,0.3843750059604645
6.1867080047726635,373.4103107973933,10000,7dd3b9e2b988b41824a379a82ead8b3495026cd53f41de1aa71278dba9eaf547,2026-07-28T10:27:23.743316+00:00,,10000,1f2ab3c15719259cf3874ef33cbc2afc7a74829081c2d53488d894b128a9edc4,configs/aisivi_x_shaped.yaml,seed42_aisivi_x_shaped,/root/ruivi/results/default_config_grid/score_approximation_dsivi_shared_x_shaped_10k/reference_cache/x_shaped/seed_42/epoch_10000/forward_47d7b80bcc79ddc6.pt,0.9959987141927084,0.15122974932757924,0.007959460490925224,0.995632724609375,[],pass,/root/ruivi/results/default_config_grid/score_approximation_dsivi_shared_x_shaped_10k/reference_cache/x_shaped/seed_42/epoch_10000/hmc_2228085552679786.pt,541.7314862012863,1.0033149916488566,AISIVI,3f9835f826fa2238ac3d0a0e957ca202c914db57c8d9cb6d32e321c2610bbd4c,1.3684796776018158,7.486542412316181,0.3388874732169666,0.1358024999499321,1024,1.0,42,results/default_config_grid/DSIVI/x_shaped/20260504_125719/checkpoints/epoch_10000,DSIVI,seed42_dsivi_x_shaped,x_shaped,
,,,7dd3b9e2b988b41824a379a82ead8b3495026cd53f41de1aa71278dba9eaf547,2026-07-28T10:21:10.007231+00:00,ea3600bf3abeb1e297df66edbf5640a64a9bc7fd62c46dbb7500365b40247f54,10000,a7a4e0ee0e51251b75aed1dbccb262658776fd27ede1e1ca528e2c50c94265e6,configs/dsivi_x_shaped.yaml,seed42_dsivi_x_shaped,/root/ruivi/results/default_config_grid/score_approximation_dsivi_shared_x_shaped_10k/reference_cache/x_shaped/seed_42/epoch_10000/forward_47d7b80bcc79ddc6.pt,0.9959987141927084,0.15122974932757924,0.007959460490925224,0.995632724609375,[],pass,/root/ruivi/results/default_config_grid/score_approximation_dsivi_shared_x_shaped_10k/reference_cache/x_shaped/seed_42/epoch_10000/hmc_2228085552679786.pt,541.7314862012863,1.0033149916488566,DSIVI,6323b9f3606ff65fd1da15fdfe27617c3cfa41abc9fb40dd7edbca2da6653c91,0.07480491504211559,0.2697917341327236,0.018524534238796776,0.07764485478401184,0,1.0,42,results/default_config_grid/DSIVI/x_shaped/20260504_125719/checkpoints/epoch_10000,DSIVI,seed42_dsivi_x_shaped,x_shaped,
