epoch,hmc_average_acceptance_rate_mean,hmc_average_acceptance_rate_sd,hmc_internal_l2_mean,hmc_internal_l2_sd,hmc_mean_mcse_l2_mean,hmc_mean_mcse_l2_sd,hmc_post_burn_acceptance_rate_mean,hmc_post_burn_acceptance_rate_sd,hmc_quality_n_pass,hmc_quality_n_warning,hmc_runtime_sec_mean,hmc_runtime_sec_sd,hmc_score_rhat_p95_mean,hmc_score_rhat_p95_sd,n_seeds,progress,seeds,target
2000,0.9838491406250001,0.010997076801289632,1.2115215429719404,0.8544160597602473,0.06376429173536528,0.04496926630317091,0.9823307324218751,0.012005997411409196,5,0,391.8507598221302,30.026172975963732,1.0047192469377628,0.0015383197938543156,5,0.2,"42,43,45,49,50",x_shaped
4000,0.9875862906901043,0.005617073966513481,0.7345626164435651,0.7332974119126893,0.038661190339135,0.038594600626983645,0.9864183203125,0.006197068801984964,5,0,389.45271078199147,4.0025949183174845,1.0058801886911835,0.0019233151173075659,5,0.4,"42,43,45,49,50",x_shaped
6000,0.988847119140625,0.006893963929407584,0.6444715167189707,0.6973742244101736,0.03391955351152478,0.03670390654790387,0.9877936835937501,0.007587683157061045,5,0,394.61429139077666,14.844509765022043,1.0068404596794926,0.002309299967499088,5,0.6,"42,43,45,49,50",x_shaped
8000,0.9879027652994792,0.008531761416327235,0.5769242402760827,0.5284605698412426,0.030364433698741193,0.02781371420217066,0.9867533066406251,0.009395817468734241,5,0,408.36802730709314,27.48145849515268,1.0079652860304733,0.0029811419649493505,5,0.8,"42,43,45,49,50",x_shaped
10000,0.987851181640625,0.007976997834176101,0.6231557694288117,0.6718871681814493,0.032797672075200617,0.035362482535865755,0.9866891171875001,0.008811237701231007,5,0,499.68163564950225,39.206460046510934,1.0072732424268112,0.002761025720302185,5,1.0,"42,43,45,49,50",x_shaped
