target,metric,step,mean,std,count
8_gaussians,elbo,5000,-2.7287128448486326,0.5033915806001173,5
8_gaussians,elbo,10000,-1.8056378364562988,0.7442604146342933,5
8_gaussians,elbo,15000,-1.0702084183692933,0.1844249259255824,5
8_gaussians,elbo,20000,-0.7530120611190796,0.04141878183822573,5
8_gaussians,elbo,25000,-0.6145659327507019,0.06987672686232983,5
8_gaussians,elbo,30000,-0.46528756618499756,0.03226702455794459,5
8_gaussians,elbo,35000,-0.4074181139469147,0.022841194817429984,5
8_gaussians,elbo,40000,-0.35873317122459414,0.03285489933904177,5
8_gaussians,elbo,45000,-0.32594878077507017,0.01167185583282423,5
8_gaussians,elbo,50000,-0.3098356544971466,0.028873037081253848,5
8_gaussians,elbo,55000,-0.3060385584831238,0.01446502187635513,5
8_gaussians,elbo,60000,-0.2900889039039612,0.01815704390431808,5
8_gaussians,elbo,65000,-0.28245286345481874,0.014625321484952223,5
8_gaussians,elbo,70000,-0.27574901580810546,0.005679409603866476,5
8_gaussians,elbo,75000,-0.27023026943206785,0.01498701422713629,5
8_gaussians,elbo,80000,-0.27871561646461485,0.014331110072941093,5
8_gaussians,elbo,85000,-0.2647411167621613,0.014102890009638271,5
8_gaussians,elbo,90000,-0.2547213524580002,0.013075825384008376,5
8_gaussians,elbo,95000,-0.264069128036499,0.0072510689405770054,5
8_gaussians,elbo,100000,-0.2632293224334717,0.011241594434422086,5
8_gaussians,kl_ite,5000,1.169268448028151,0.16199248869431346,5
8_gaussians,kl_ite,10000,0.7278235873294853,0.13923643042327197,5
8_gaussians,kl_ite,15000,0.4642277512340094,0.10013392105954619,5
8_gaussians,kl_ite,20000,0.31766591750332085,0.03084406874815667,5
8_gaussians,kl_ite,25000,0.23340798378069882,0.05178362515861112,5
8_gaussians,kl_ite,30000,0.15010927860400108,0.02567778522980157,5
8_gaussians,kl_ite,35000,0.11918105870594495,0.022377185179669443,5
8_gaussians,kl_ite,40000,0.09710659120654017,0.013092816750434614,5
8_gaussians,kl_ite,45000,0.08747350574030802,0.015924064767296846,5
8_gaussians,kl_ite,50000,0.09311512135118802,0.012282079048204265,5
8_gaussians,kl_ite,55000,0.08883608394029084,0.013907400679607815,5
8_gaussians,kl_ite,60000,0.07268359623579317,0.006142902695593659,5
8_gaussians,kl_ite,65000,0.07001005412309762,0.02144644012015038,5
8_gaussians,kl_ite,70000,0.07230350600794591,0.006835724183923296,5
8_gaussians,kl_ite,75000,0.0707057423454274,0.012754163746856097,5
8_gaussians,kl_ite,80000,0.07350369447933389,0.012290529964498977,5
