epoch,group,method,reference_internal_l2,replication_unit,run_id,seed,target
10000,3,DSIVI,11.104775996639798,sgld_group_mean,seed42_dsivi_8_gaussians,42,8_gaussians
10000,4,DSIVI,20.43032259615564,sgld_group_mean,seed42_dsivi_8_gaussians,42,8_gaussians
10000,5,DSIVI,6.536289716007223,sgld_group_mean,seed42_dsivi_8_gaussians,42,8_gaussians
10000,6,DSIVI,8.72579340051241,sgld_group_mean,seed42_dsivi_8_gaussians,42,8_gaussians
10000,7,DSIVI,12.380218884653505,sgld_group_mean,seed42_dsivi_8_gaussians,42,8_gaussians
10000,8,DSIVI,16.960445312227506,sgld_group_mean,seed42_dsivi_8_gaussians,42,8_gaussians
10000,9,DSIVI,4.024205839076115,sgld_group_mean,seed42_dsivi_8_gaussians,42,8_gaussians
10000,0,DSIVI,9.9156877164453,sgld_group_mean,seed43_dsivi_8_gaussians,43,8_gaussians
10000,1,DSIVI,12.166974493283131,sgld_group_mean,seed43_dsivi_8_gaussians,43,8_gaussians
10000,2,DSIVI,9.971746408016683,sgld_group_mean,seed43_dsivi_8_gaussians,43,8_gaussians
10000,3,DSIVI,16.44455335486667,sgld_group_mean,seed43_dsivi_8_gaussians,43,8_gaussians
10000,4,DSIVI,10.453030152077911,sgld_group_mean,seed43_dsivi_8_gaussians,43,8_gaussians
10000,5,DSIVI,8.15928964019774,sgld_group_mean,seed43_dsivi_8_gaussians,43,8_gaussians
10000,6,DSIVI,9.048647150715052,sgld_group_mean,seed43_dsivi_8_gaussians,43,8_gaussians
10000,7,DSIVI,14.474018471314771,sgld_group_mean,seed43_dsivi_8_gaussians,43,8_gaussians
10000,8,DSIVI,12.359858988497548,sgld_group_mean,seed43_dsivi_8_gaussians,43,8_gaussians
10000,9,DSIVI,13.45709414976567,sgld_group_mean,seed43_dsivi_8_gaussians,43,8_gaussians
10000,0,DSIVI,6.092744432929667,sgld_group_mean,seed45_dsivi_8_gaussians,45,8_gaussians
10000,1,DSIVI,6.640060050955746,sgld_group_mean,seed45_dsivi_8_gaussians,45,8_gaussians
10000,2,DSIVI,7.126645566551794,sgld_group_mean,seed45_dsivi_8_gaussians,45,8_gaussians
10000,3,DSIVI,4.768925162427383,sgld_group_mean,seed45_dsivi_8_gaussians,45,8_gaussians
10000,4,DSIVI,7.054757366724822,sgld_group_mean,seed45_dsivi_8_gaussians,45,8_gaussians
10000,5,DSIVI,7.770334414236494,sgld_group_mean,seed45_dsivi_8_gaussians,45,8_gaussians
