2026-03-28 22:25:32 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 440, W2 Dist: 0.0303
2026-03-28 22:25:32 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 450, KL Divergence: 0.0001
2026-03-28 22:25:32 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 450, W2 Dist: 0.0333
2026-03-28 22:25:32 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 460, KL Divergence: 0.0239
2026-03-28 22:25:33 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 460, W2 Dist: 0.0265
2026-03-28 22:25:33 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 470, KL Divergence: 0.0065
2026-03-28 22:25:33 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 470, W2 Dist: 0.0302
2026-03-28 22:25:33 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 480, KL Divergence: -0.0086
2026-03-28 22:25:33 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 480, W2 Dist: 0.0296
2026-03-28 22:25:34 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 490, KL Divergence: -0.0093
2026-03-28 22:25:34 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 490, W2 Dist: 0.0251
2026-03-28 22:25:34 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 500, KL Divergence: -0.0016
2026-03-28 22:25:34 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 500, W2 Dist: 0.0399
2026-03-28 22:25:34 | DEBUG | sivi:base_reverse_runner.py:392| _warmup_log_func | Warmup Epoch 500, Average Reverse Model Loss: 5.6721, Avg Step Time: 0.0360s, Avg Steps: 5.0000
2026-03-28 22:25:34 | INFO | sivi:base_reverse_runner.py:434| warmup | Warmup completed for 500 epochs. Total time: 18.101s, Avg epoch time: 0.036202s
2026-03-28 22:25:34 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 10, VI KL to baseline: 0.9302
2026-03-28 22:25:35 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 10, Reverse Model KL ITE: 0.0044
2026-03-28 22:25:35 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 10, VI W2 to baseline: 0.8140
2026-03-28 22:25:35 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 10, Reverse Model W2: 0.0349
2026-03-28 22:25:35 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 10, ELBO: -0.9661, Std Total: 1.0712, Std Q: nan, CI Half: 0.0939
2026-03-28 22:25:35 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 10, VI KSD: 0.1438
2026-03-28 22:25:35 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 20, VI KL to baseline: 0.7108
2026-03-28 22:25:35 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 20, Reverse Model KL ITE: 0.0232
2026-03-28 22:25:35 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 20, VI W2 to baseline: 0.6806
2026-03-28 22:25:35 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 20, Reverse Model W2: 0.0478
2026-03-28 22:25:35 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 20, ELBO: -0.6664, Std Total: 1.1121, Std Q: nan, CI Half: 0.0975
2026-03-28 22:25:35 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 20, VI KSD: 0.1087
2026-03-28 22:25:36 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 30, VI KL to baseline: 0.6748
2026-03-28 22:25:36 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 30, Reverse Model KL ITE: 0.0395
2026-03-28 22:25:36 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 30, VI W2 to baseline: 0.5538
2026-03-28 22:25:36 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 30, Reverse Model W2: 0.0679
2026-03-28 22:25:36 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 30, ELBO: -0.7584, Std Total: 1.4980, Std Q: nan, CI Half: 0.1313
2026-03-28 22:25:36 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 30, VI KSD: 0.0978
2026-03-28 22:25:36 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 40, VI KL to baseline: 0.8888
2026-03-28 22:25:36 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 40, Reverse Model KL ITE: 0.0182
2026-03-28 22:25:36 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 40, VI W2 to baseline: 0.6842
2026-03-28 22:25:36 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 40, Reverse Model W2: 0.0766
2026-03-28 22:25:36 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 40, ELBO: -1.3018, Std Total: 2.8159, Std Q: nan, CI Half: 0.2468
2026-03-28 22:25:36 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 40, VI KSD: 0.1142
2026-03-28 22:25:37 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 50, VI KL to baseline: 1.4551
2026-03-28 22:25:37 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 50, Reverse Model KL ITE: 0.0143
2026-03-28 22:25:37 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 50, VI W2 to baseline: 1.0543
2026-03-28 22:25:37 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 50, Reverse Model W2: 0.0676
2026-03-28 22:25:37 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 50, ELBO: -2.0168, Std Total: 4.5026, Std Q: nan, CI Half: 0.3947
2026-03-28 22:25:37 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 50, VI KSD: 0.1862
2026-03-28 22:25:37 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 60, VI KL to baseline: 2.1503
2026-03-28 22:25:37 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 60, Reverse Model KL ITE: 0.0198
2026-03-28 22:25:37 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 60, VI W2 to baseline: 1.6137
2026-03-28 22:25:37 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 60, Reverse Model W2: 0.0707
2026-03-28 22:25:37 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 60, ELBO: -3.7991, Std Total: 7.3806, Std Q: nan, CI Half: 0.6469
2026-03-28 22:25:37 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 60, VI KSD: 0.3162
2026-03-28 22:25:38 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 70, VI KL to baseline: 2.6410
2026-03-28 22:25:38 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 70, Reverse Model KL ITE: -0.0074
2026-03-28 22:25:38 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 70, VI W2 to baseline: 1.9879
2026-03-28 22:25:38 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 70, Reverse Model W2: 0.0841
2026-03-28 22:25:38 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 70, ELBO: -5.8820, Std Total: 9.5113, Std Q: nan, CI Half: 0.8337
2026-03-28 22:25:38 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 70, VI KSD: 0.3819
2026-03-28 22:25:38 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 80, VI KL to baseline: 2.6817
2026-03-28 22:25:38 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 80, Reverse Model KL ITE: 0.0025
2026-03-28 22:25:38 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 80, VI W2 to baseline: 1.9906
2026-03-28 22:25:38 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 80, Reverse Model W2: 0.0660
2026-03-28 22:25:38 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 80, ELBO: -5.9702, Std Total: 10.5433, Std Q: nan, CI Half: 0.9242
2026-03-28 22:25:38 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 80, VI KSD: 0.4027
2026-03-28 22:25:39 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 90, VI KL to baseline: 2.4459
2026-03-28 22:25:39 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 90, Reverse Model KL ITE: 0.0191
2026-03-28 22:25:39 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 90, VI W2 to baseline: 1.8463
2026-03-28 22:25:39 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 90, Reverse Model W2: 0.0605
2026-03-28 22:25:39 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 90, ELBO: -4.9119, Std Total: 7.5706, Std Q: nan, CI Half: 0.6636
2026-03-28 22:25:39 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 90, VI KSD: 0.3752
2026-03-28 22:25:39 | DEBUG | sivi:base_runner.py:874| learn | Epoch 100: Avg Loss: -0.8686, Avg Epoch Time: 0.0500s
2026-03-28 22:25:39 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 100, VI KL to baseline: 2.2507
2026-03-28 22:25:39 | DEBUG | sivi:base_reverse_runner.py:261| eval_kl_ite | Epoch 100, Reverse Model KL ITE: -0.0081
2026-03-28 22:25:39 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 100, VI W2 to baseline: 1.7127
2026-03-28 22:25:39 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 100, Reverse Model W2: 0.0570
2026-03-28 22:25:39 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 100, ELBO: -4.1518, Std Total: 7.4598, Std Q: nan, CI Half: 0.6539
2026-03-28 22:25:39 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 100, VI KSD: 0.3319
2026-03-28 22:25:40 | DEBUG | sivi:base_runner.py:337| eval_kl_ite | Epoch 110, VI KL to baseline: 2.2876
