recipe_id,target,batch_size,mcmc_steps,metric_family,seeds_complete,n_seeds,status,pareto,kl_ite_mean,kl_ite_std,kl_ite_count,kl_ite_final_iter_min,kl_ite_final_iter_max,w2_mean,w2_std,w2_count,w2_final_iter_min,w2_final_iter_max,kde_expected_log_marginal_mean,kde_expected_log_marginal_std,kde_expected_log_marginal_count,kde_expected_log_marginal_final_iter_min,kde_expected_log_marginal_final_iter_max
KDVI-banana-bs128-k1,banana,128,1,kl_w2,"0,1,7",3,complete,True,0.03328002449872803,0.002615331980672478,3,100000,100000,0.2994570831457774,0.029395437606781677,3,100000,100000,,,0,,
KDVI-banana-bs128-k2,banana,128,2,kl_w2,"0,1,7",3,complete,False,0.03479165241102851,0.018374044302014666,3,100000,100000,0.3620326618353526,0.07728674146302117,3,100000,100000,,,0,,
KDVI-banana-bs128-k5,banana,128,5,kl_w2,"0,1,7",3,complete,False,0.048331400502911445,0.009267646823448605,3,100000,100000,0.49033908049265545,0.05551234000155883,3,100000,100000,,,0,,
KDVI-banana-bs128-k10,banana,128,10,kl_w2,"0,1,7",3,complete,False,0.03385572822328987,0.009968654070525718,3,100000,100000,0.5262271364529928,0.015443039006557585,3,100000,100000,,,0,,
KDVI-banana-bs1024-k1,banana,1024,1,kl_w2,"0,1,7",3,complete,False,0.02481613884279562,0.02103480299375275,3,100000,100000,0.47653000553448993,0.05330313601988566,3,100000,100000,,,0,,
KDVI-banana-bs1024-k2,banana,1024,2,kl_w2,"0,1,7",3,complete,True,0.019028500284500496,0.016789425322450962,3,100000,100000,0.44333646694819134,0.04066321772974007,3,100000,100000,,,0,,
KDVI-banana-bs1024-k5,banana,1024,5,kl_w2,"0,1,7",3,complete,True,0.012926875433453467,0.016596978066089077,3,100000,100000,0.4580836892127991,0.019244459850329798,3,100000,100000,,,0,,
KDVI-banana-bs1024-k10,banana,1024,10,kl_w2,"0,1,7",3,complete,True,0.02096524496804522,0.007638697169968696,3,100000,100000,0.39972569545110065,0.02645837958960888,3,100000,100000,,,0,,
KDVI-x_shaped-bs128-k1,x_shaped,128,1,kl_w2,"0,1,7",3,complete,False,0.03289691644086974,0.028720628921309627,3,100000,100000,0.0829424150288105,0.019580059447738864,3,100000,100000,,,0,,
KDVI-x_shaped-bs128-k2,x_shaped,128,2,kl_w2,"0,1,7",3,complete,True,-0.0025034396794552665,0.010040982625652058,3,100000,100000,0.062177235881487526,0.006533426896163303,3,100000,100000,,,0,,
KDVI-x_shaped-bs128-k5,x_shaped,128,5,kl_w2,"0,1,7",3,complete,False,0.021725862410985355,0.015462829961358898,3,100000,100000,0.07786541432142258,0.025748904450357837,3,100000,100000,,,0,,
KDVI-x_shaped-bs128-k10,x_shaped,128,10,kl_w2,"0,1,7",3,complete,False,0.0065246657788987856,0.013725124287090999,3,100000,100000,0.08783166358868282,0.015654097846956427,3,100000,100000,,,0,,
KDVI-x_shaped-bs1024-k1,x_shaped,1024,1,kl_w2,"0,1,7",3,complete,False,0.016949097935588388,0.018528239853904706,3,100000,100000,0.06243490179379781,0.017155652159169872,3,100000,100000,,,0,,
KDVI-x_shaped-bs1024-k2,x_shaped,1024,2,kl_w2,"0,1,7",3,complete,False,0.028987693774573487,0.028359907021995003,3,100000,100000,0.05256490161021551,0.014865745139662614,3,100000,100000,,,0,,
KDVI-x_shaped-bs1024-k5,x_shaped,1024,5,kl_w2,"0,1,7",3,complete,False,0.01899429288007199,0.025964137521216818,3,100000,100000,0.04829838375250498,0.007784037682521143,3,100000,100000,,,0,,
KDVI-x_shaped-bs1024-k10,x_shaped,1024,10,kl_w2,"0,1,7",3,complete,True,-0.0010778064321558484,0.012826185614726213,3,100000,100000,0.043161085496346153,0.0033938444483655227,3,100000,100000,,,0,,
KDVI-multimodal-bs128-k1,multimodal,128,1,kl_w2,"0,1,7",3,complete,False,0.030713146338099954,0.002714991538433668,3,100000,100000,0.08383778979380925,0.009786608903418917,3,100000,100000,,,0,,
KDVI-multimodal-bs128-k2,multimodal,128,2,kl_w2,"0,1,7",3,complete,False,0.011617287760499941,0.014091049658912858,3,100000,100000,0.08165654043356578,0.01449828390658658,3,100000,100000,,,0,,
KDVI-multimodal-bs128-k5,multimodal,128,5,kl_w2,"0,1,7",3,complete,False,0.008257024294032647,0.0016623176607419641,3,100000,100000,0.05476521824796995,0.004785421286483768,3,100000,100000,,,0,,
KDVI-multimodal-bs128-k10,multimodal,128,10,kl_w2,"0,1,7",3,complete,False,-0.00950649377720181,0.010983384854577312,3,100000,100000,0.053161460906267166,0.009806465686801902,3,100000,100000,,,0,,
KDVI-multimodal-bs1024-k1,multimodal,1024,1,kl_w2,"0,1,7",3,complete,True,0.002466563304836349,0.008089771287563163,3,100000,100000,0.03807399173577627,0.003444533061934124,3,100000,100000,,,0,,
KDVI-multimodal-bs1024-k2,multimodal,1024,2,kl_w2,"0,1,7",3,complete,True,-0.01421461351622627,0.014107557785635893,3,100000,100000,0.04614937367538611,0.013911131188552634,3,100000,100000,,,0,,
KDVI-multimodal-bs1024-k5,multimodal,1024,5,kl_w2,"0,1,7",3,complete,False,0.0036618296075811027,0.00538933840791424,3,100000,100000,0.04354355980952581,0.004645585698720262,3,100000,100000,,,0,,
KDVI-multimodal-bs1024-k10,multimodal,1024,10,kl_w2,"0,1,7",3,complete,True,0.0012248390720877066,0.018839478717247074,3,100000,100000,0.044778273751338325,0.012187102340006702,3,100000,100000,,,0,,
KDVI-8_gaussians-bs128-k1,8_gaussians,128,1,kl_w2,"0,1,7",3,complete,False,0.09623056719213523,0.012157240711919244,3,100000,100000,0.1346751128633817,0.03848306074205483,3,100000,100000,,,0,,
KDVI-8_gaussians-bs128-k2,8_gaussians,128,2,kl_w2,"0,1,7",3,complete,False,0.07765713568542364,0.00960445576114831,3,100000,100000,0.12968419740597406,0.009268282024832614,3,100000,100000,,,0,,
KDVI-8_gaussians-bs128-k5,8_gaussians,128,5,kl_w2,"0,1,7",3,complete,True,0.06709353086630016,0.004172815846364223,3,100000,100000,0.095086636642615,0.013720958441519483,3,100000,100000,,,0,,
KDVI-8_gaussians-bs128-k10,8_gaussians,128,10,kl_w2,"0,1,7",3,complete,True,0.051734632211133655,0.027980400897222122,3,100000,100000,0.14818562318881354,0.08484262267523443,3,100000,100000,,,0,,
KDVI-8_gaussians-bs1024-k1,8_gaussians,1024,1,kl_w2,"0,1,7",3,complete,False,0.049005436309212266,0.0196367992233865,3,100000,100000,0.34453678131103516,0.13353321916762723,3,100000,100000,,,0,,
KDVI-8_gaussians-bs1024-k2,8_gaussians,1024,2,kl_w2,"0,1,7",3,complete,False,0.0511180962010179,0.019338809027177918,3,100000,100000,0.28864288330078125,0.1464015174701953,3,100000,100000,,,0,,
KDVI-8_gaussians-bs1024-k5,8_gaussians,1024,5,kl_w2,"0,1,7",3,complete,True,0.03386813978403658,0.009559276220974633,3,100000,100000,0.15149172147115073,0.04936120589098634,3,100000,100000,,,0,,
KDVI-8_gaussians-bs1024-k10,8_gaussians,1024,10,kl_w2,"0,1,7",3,complete,False,0.036813131418081055,0.022432706433258332,3,100000,100000,0.1522406463821729,0.06322968358283533,3,100000,100000,,,0,,
KDVI-8_gaussians_small-bs128-k1,8_gaussians_small,128,1,kl_w2,"0,1,7",3,complete,False,0.11185247419577582,0.01061054518737623,3,100000,100000,0.08942293499906857,0.041969336974370525,3,100000,100000,,,0,,
KDVI-8_gaussians_small-bs128-k2,8_gaussians_small,128,2,kl_w2,"0,1,7",3,complete,True,0.1001873059674748,0.012692456213803646,3,100000,100000,0.0802611733476321,0.03216349129154988,3,100000,100000,,,0,,
KDVI-8_gaussians_small-bs128-k5,8_gaussians_small,128,5,kl_w2,"0,1,7",3,complete,False,0.11382106005292345,0.023368365442883402,3,100000,100000,0.08244973048567772,0.029462368765350327,3,100000,100000,,,0,,
KDVI-8_gaussians_small-bs128-k10,8_gaussians_small,128,10,kl_w2,"0,1,7",3,complete,False,0.7849782743957288,0.5827196127407874,3,100000,100000,0.2506584773461024,0.1627792160152368,3,100000,100000,,,0,,
KDVI-8_gaussians_small-bs1024-k1,8_gaussians_small,1024,1,kl_w2,"0,1,7",3,complete,False,0.07667277491405101,0.04294213474675916,3,100000,100000,0.11704655736684799,0.03091112130545137,3,100000,100000,,,0,,
KDVI-8_gaussians_small-bs1024-k2,8_gaussians_small,1024,2,kl_w2,"0,1,7",3,complete,False,0.06037370274744278,0.04328939927018972,3,100000,100000,0.15401833752791086,0.024369040533890822,3,100000,100000,,,0,,
KDVI-8_gaussians_small-bs1024-k5,8_gaussians_small,1024,5,kl_w2,"0,1,7",3,complete,True,0.025702057468286178,0.013119460828903771,3,100000,100000,0.10109044363101323,0.02286781854767825,3,100000,100000,,,0,,
KDVI-8_gaussians_small-bs1024-k10,8_gaussians_small,1024,10,kl_w2,"0,1,7",3,complete,False,0.7220881555821186,0.6052835360582207,3,100000,100000,0.21947971979777017,0.12700129332325907,3,100000,100000,,,0,,
KDVI-Langevin_post-bs128-k1,Langevin_post,128,1,elm_w2,"0,1,7",3,complete,False,,,0,,,0.11494175593058269,0.00639991868026964,3,100000,100000,45.091861724853516,0.712387687934429,3,100000,100000
KDVI-Langevin_post-bs128-k2,Langevin_post,128,2,elm_w2,"0,1,7",3,complete,False,,,0,,,0.045959439128637314,0.01416794531982399,3,100000,100000,67.6888198852539,3.220000959853354,3,100000,100000
KDVI-Langevin_post-bs128-k5,Langevin_post,128,5,elm_w2,"0,1,7",3,complete,False,,,0,,,0.01424880139529705,0.0020064171239095987,3,100000,100000,74.87032572428386,0.1254671284768312,3,100000,100000
KDVI-Langevin_post-bs128-k10,Langevin_post,128,10,elm_w2,"0,1,7",3,complete,True,,,0,,,0.012363954757650694,0.0002704704678917623,3,100000,100000,75.16656239827473,0.049163388187824154,3,100000,100000
KDVI-Langevin_post-bs1024-k1,Langevin_post,1024,1,elm_w2,"0,1,7",3,complete,False,,,0,,,0.014900365844368935,0.0013512255086128105,3,100000,100000,74.58912150065105,0.0618914849073422,3,100000,100000
KDVI-Langevin_post-bs1024-k2,Langevin_post,1024,2,elm_w2,"0,1,7",3,complete,False,,,0,,,0.01290759009619554,0.0003834432307850649,3,100000,100000,74.73011271158855,0.039195415990365384,3,100000,100000
