method,target,seed,epoch,batch_size,repetition,latency_ms
SIVI,x_shaped,42,10000,128,11,5.555214
SIVI,x_shaped,42,10000,128,12,5.571159
SIVI,x_shaped,42,10000,128,13,5.576762
SIVI,x_shaped,42,10000,128,14,5.558988
SIVI,x_shaped,42,10000,128,15,5.573853
SIVI,x_shaped,42,10000,128,16,5.567503
SIVI,x_shaped,42,10000,128,17,5.555561
SIVI,x_shaped,42,10000,128,18,5.566907
SIVI,x_shaped,42,10000,128,19,5.555558
SIVI,x_shaped,42,10000,128,20,5.556328
SIVI,x_shaped,42,10000,128,21,5.562619
SIVI,x_shaped,42,10000,128,22,5.566435
SIVI,x_shaped,42,10000,128,23,5.561963
SIVI,x_shaped,42,10000,128,24,5.553079
SIVI,x_shaped,42,10000,128,25,5.559945
SIVI,x_shaped,42,10000,128,26,5.574758
SIVI,x_shaped,42,10000,128,27,5.552571
SIVI,x_shaped,42,10000,128,28,5.558774
SIVI,x_shaped,42,10000,128,29,5.551679
SIVI,x_shaped,42,10000,128,30,5.55814
SIVI,x_shaped,42,10000,128,31,5.556195
SIVI,x_shaped,42,10000,128,32,5.558866
SIVI,x_shaped,42,10000,128,33,5.567248
SIVI,x_shaped,42,10000,128,34,5.55861
SIVI,x_shaped,42,10000,128,35,5.288254
SIVI,x_shaped,42,10000,128,36,5.297766
SIVI,x_shaped,42,10000,128,37,5.291525
SIVI,x_shaped,42,10000,128,38,5.272538
SIVI,x_shaped,42,10000,128,39,5.259864
SIVI,x_shaped,42,10000,128,40,5.268544
SIVI,x_shaped,42,10000,128,41,5.267895
SIVI,x_shaped,42,10000,128,42,5.251532
SIVI,x_shaped,42,10000,128,43,5.246733
SIVI,x_shaped,42,10000,128,44,5.256038
SIVI,x_shaped,42,10000,128,45,5.265456
SIVI,x_shaped,42,10000,128,46,5.281188
SIVI,x_shaped,42,10000,128,47,5.274943
SIVI,x_shaped,42,10000,128,48,5.251105
SIVI,x_shaped,42,10000,128,49,5.253715
SIVI,x_shaped,42,10000,128,50,5.174632
SIVI,x_shaped,42,10000,128,51,5.159652
SIVI,x_shaped,42,10000,128,52,5.188484
SIVI,x_shaped,42,10000,128,53,5.165888
SIVI,x_shaped,42,10000,128,54,5.170177
SIVI,x_shaped,42,10000,128,55,5.166524
SIVI,x_shaped,42,10000,128,56,5.163986
SIVI,x_shaped,42,10000,128,57,5.159468
SIVI,x_shaped,42,10000,128,58,5.169342
SIVI,x_shaped,42,10000,128,59,5.16986
SIVI,x_shaped,42,10000,128,60,5.168803
SIVI,x_shaped,42,10000,128,61,5.152906
SIVI,x_shaped,42,10000,128,62,5.301117
SIVI,x_shaped,42,10000,128,63,5.137932
SIVI,x_shaped,42,10000,128,64,5.143618
SIVI,x_shaped,42,10000,128,65,5.16632
SIVI,x_shaped,42,10000,128,66,5.161612
SIVI,x_shaped,42,10000,128,67,5.16078
SIVI,x_shaped,42,10000,128,68,5.161384
SIVI,x_shaped,42,10000,128,69,5.128893
SIVI,x_shaped,42,10000,128,70,5.143223
SIVI,x_shaped,42,10000,128,71,5.139738
SIVI,x_shaped,42,10000,128,72,5.144776
SIVI,x_shaped,42,10000,128,73,5.141711
SIVI,x_shaped,42,10000,128,74,5.166309
SIVI,x_shaped,42,10000,128,75,5.158482
SIVI,x_shaped,42,10000,128,76,5.171344
SIVI,x_shaped,42,10000,128,77,5.235765
SIVI,x_shaped,42,10000,128,78,5.171044
SIVI,x_shaped,42,10000,128,79,5.173291
SIVI,x_shaped,42,10000,128,80,5.157855
SIVI,x_shaped,42,10000,128,81,5.182322
SIVI,x_shaped,42,10000,128,82,5.167651
SIVI,x_shaped,42,10000,128,83,5.162133
SIVI,x_shaped,42,10000,128,84,5.164558
SIVI,x_shaped,42,10000,128,85,5.167673
SIVI,x_shaped,42,10000,128,86,5.179397
SIVI,x_shaped,42,10000,128,87,5.167344
SIVI,x_shaped,42,10000,128,88,5.166081
SIVI,x_shaped,42,10000,128,89,5.16268
SIVI,x_shaped,42,10000,128,90,5.165985
SIVI,x_shaped,42,10000,128,91,5.166177
SIVI,x_shaped,42,10000,128,92,5.171731
SIVI,x_shaped,42,10000,128,93,5.166832
SIVI,x_shaped,42,10000,128,94,5.16716
SIVI,x_shaped,42,10000,128,95,5.164751
SIVI,x_shaped,42,10000,128,96,5.139198
SIVI,x_shaped,42,10000,128,97,5.142588
SIVI,x_shaped,42,10000,128,98,5.144774
SIVI,x_shaped,42,10000,128,99,5.139884
SIVI,x_shaped,42,10000,128,100,5.166618
UIVI,x_shaped,42,10000,1,1,209.556468
UIVI,x_shaped,42,10000,1,2,208.873303
UIVI,x_shaped,42,10000,1,3,210.451672
UIVI,x_shaped,42,10000,1,4,209.815956
UIVI,x_shaped,42,10000,1,5,208.070838
UIVI,x_shaped,42,10000,1,6,208.038415
UIVI,x_shaped,42,10000,1,7,206.714571
UIVI,x_shaped,42,10000,1,8,206.74715
UIVI,x_shaped,42,10000,1,9,210.076505
UIVI,x_shaped,42,10000,1,10,207.665809
UIVI,x_shaped,42,10000,1,11,206.777865
UIVI,x_shaped,42,10000,1,12,206.554485
UIVI,x_shaped,42,10000,1,13,206.973592
UIVI,x_shaped,42,10000,1,14,172.981412
UIVI,x_shaped,42,10000,1,15,172.149281
UIVI,x_shaped,42,10000,1,16,152.752545
UIVI,x_shaped,42,10000,1,17,134.357228
UIVI,x_shaped,42,10000,1,18,89.670216
UIVI,x_shaped,42,10000,1,19,91.484005
UIVI,x_shaped,42,10000,1,20,150.386663
UIVI,x_shaped,42,10000,1,21,153.285763
UIVI,x_shaped,42,10000,1,22,211.138624
UIVI,x_shaped,42,10000,1,23,225.284241
UIVI,x_shaped,42,10000,1,24,222.746547
UIVI,x_shaped,42,10000,1,25,222.497718
UIVI,x_shaped,42,10000,1,26,223.222473
UIVI,x_shaped,42,10000,1,27,203.871822
UIVI,x_shaped,42,10000,1,28,158.788749
UIVI,x_shaped,42,10000,1,29,146.14393
UIVI,x_shaped,42,10000,1,30,109.743357
UIVI,x_shaped,42,10000,1,31,148.306547
UIVI,x_shaped,42,10000,1,32,208.801221
UIVI,x_shaped,42,10000,1,33,208.472511
UIVI,x_shaped,42,10000,1,34,210.060518
UIVI,x_shaped,42,10000,1,35,210.657124
UIVI,x_shaped,42,10000,1,36,207.935196
UIVI,x_shaped,42,10000,1,37,208.648809
UIVI,x_shaped,42,10000,1,38,208.453374
UIVI,x_shaped,42,10000,1,39,208.624618
UIVI,x_shaped,42,10000,1,40,210.324683
UIVI,x_shaped,42,10000,1,41,211.024861
UIVI,x_shaped,42,10000,1,42,208.022869
UIVI,x_shaped,42,10000,1,43,207.75616
UIVI,x_shaped,42,10000,1,44,207.749992
UIVI,x_shaped,42,10000,1,45,207.887038
UIVI,x_shaped,42,10000,1,46,209.838711
