recipe_id,epsilon_dim,hidden_dim,num_layers,activation,seeds_complete,n_seeds,kl_final_mean,kl_final_std,kl_final_count,kl_best_mean,kl_best_std,kl_best_count,w2_final_mean,w2_final_std,w2_final_count,w2_best_mean,w2_best_std,w2_best_count,pareto,status
eps16-h128-l2-elu,16,128,2,elu,"0,1,7",3,0.2098099449530575,0.002621513499558468,3,0.17517624082581856,0.023766620335883837,3,0.15349466105302176,0.04967272225726099,3,0.11197243382533391,0.016500630110057483,3,False,complete
eps16-h128-l2-relu,16,128,2,relu,"0,1,7",3,0.6817378493147384,0.4770380809545825,3,0.6438602273501568,0.44306619907167905,3,0.8602964480717977,0.32715934811032127,3,0.5672871569792429,0.17393891568603065,3,False,complete
eps16-h128-l2-silu,16,128,2,silu,"0,1,7",3,0.8191825109684621,0.10302685229262312,3,0.8081855897123659,0.1119065658739203,3,1.1816856066385906,0.3198359622130359,3,0.6575076977411906,0.014988354774090742,3,False,complete
eps16-h128-l3-elu,16,128,3,elu,"0,1,7",3,0.08005146332630896,0.013369387411930974,3,0.047406033722061605,0.0060186864829810645,3,0.1541369358698527,0.02217640372279307,3,0.07489967842896779,0.0022256389017396767,3,False,complete
eps16-h128-l3-relu,16,128,3,relu,"0,1,7",3,1.7137806631724313,0.6191937987770532,3,1.644756191140923,0.5789544388767665,3,2.7625314791997275,1.438470569204864,3,0.9651238719622294,0.24049356843821543,3,False,complete
eps16-h128-l3-silu,16,128,3,silu,"0,1,7",3,0.97401511736466,0.04305425304445308,3,0.908711711379182,0.0024405887960539346,3,1.096310297648112,0.052180679022194996,3,0.6772062182426453,0.00470806320996396,3,False,complete
eps16-h128-l4-elu,16,128,4,elu,"0,1,7",3,0.6412183745584269,0.5211976372374832,3,0.621078072260022,0.5035724277829929,3,0.8412829339504242,0.36432160837271577,3,0.5118181705474854,0.21361565342739852,3,False,complete
eps16-h128-l4-relu,16,128,4,relu,"0,1,7",3,2.0900604692627116,0.05240132162462615,3,1.9539661307846041,0.02175359939675703,3,3.688690662384033,0.06826455256272725,3,1.0183587670326233,0.04220537725721879,3,False,complete
eps16-h128-l4-silu,16,128,4,silu,"0,1,7",3,0.9638664668638648,0.016689726825303865,3,0.9364452120688852,0.0017710202930114073,3,1.19106658299764,0.2219906145672308,3,0.670193076133728,0.012377039933795408,3,False,complete
eps16-h256-l2-elu,16,256,2,elu,"0,1,7",3,0.19156914371891362,0.024654241431923202,3,0.1728337302157,0.020523697874077186,3,0.1337038055062294,0.014694009298786894,3,0.105624258518219,0.014605052144700157,3,False,complete
eps16-h256-l2-relu,16,256,2,relu,"0,1,7",3,1.1586673059278054,0.3970915213916088,3,1.125429073546247,0.4233295158961863,3,1.758090655008952,1.2115000046883277,3,0.7584841251373291,0.2197683085443592,3,False,complete
eps16-h256-l2-silu,16,256,2,silu,"0,1,7",3,0.15749365272220672,0.010147660933797773,3,0.14272399078026832,0.008273373781892798,3,0.198011780778567,0.05057413587362003,3,0.1353572184840838,0.034439002602185624,3,False,complete
eps16-h256-l3-elu,16,256,3,elu,"0,1,7",3,0.0817071453242846,0.014786016913475503,3,0.044517741250811455,0.0029748488054650423,3,0.16101372241973877,0.009111266957452619,3,0.09649433692296346,0.01329235049246499,3,False,complete
eps16-h256-l3-relu,16,256,3,relu,"0,1,7",3,1.7477201350314853,0.5170944815791338,3,1.6117125024875032,0.5520757291435618,3,3.134633938471476,1.1209043969306072,3,0.9092106620470682,0.1758862338804694,3,False,complete
eps16-h256-l3-silu,16,256,3,silu,"0,1,7",3,0.07105507559271154,0.023549734502299437,3,0.05576102690451483,0.010399666791538874,3,0.2685050666332245,0.08478805987697849,3,0.12752861777941385,0.008439238577598424,3,False,complete
eps16-h256-l4-elu,16,256,4,elu,"0,1,7",3,0.08327011647591162,0.009534933091538123,3,0.019766793386146425,0.027051487946914508,3,0.20895985762278238,0.06949129421865934,3,0.1346785972515742,0.026102532871097716,3,False,complete
eps16-h256-l4-relu,16,256,4,relu,"0,1,7",3,2.1044802420163164,0.06428408749348255,3,1.940385632470481,0.022666867790412108,3,3.769721428553263,0.07001784240501786,3,1.0210167566935222,0.040474665291761934,3,False,complete
eps16-h256-l4-silu,16,256,4,silu,"0,1,7",3,0.08825861290159466,0.019723176507273208,3,0.07720986676152557,0.0238790187065657,3,0.3514081686735153,0.21404305541141208,3,0.14507482200860977,0.07313926122272575,3,False,complete
eps16-h512-l2-elu,16,512,2,elu,"0,1,7",3,0.20257482024271586,0.04829900953680573,3,0.17830850330301495,0.028391959470943844,3,0.16273963203032812,0.05375796724626316,3,0.12334357450405757,0.03257201793027223,3,False,complete
eps16-h512-l2-relu,16,512,2,relu,"0,1,7",3,0.9146893671488234,0.7174497113153573,3,0.8671523334520623,0.73948201634769,3,1.5756242871284485,1.6482616022013028,3,0.6360855052868525,0.41072215482759167,3,False,complete
eps16-h512-l2-silu,16,512,2,silu,"0,1,7",3,0.12340673201060166,0.021411803599748206,3,0.11469656288920542,0.023567307218396876,3,0.14280618478854498,0.03545163967504338,3,0.11811631669600804,0.013545285317224834,3,False,complete
eps16-h512-l3-elu,16,512,3,elu,"0,1,7",3,0.0673971386575268,0.010976339912772167,3,0.048759095192358534,0.010178872427082524,3,0.16991215447584787,0.027812677646887874,3,0.10213958968718846,0.02410435835476513,3,True,complete
eps16-h512-l3-relu,16,512,3,relu,"0,1,7",3,1.7237120377130686,0.6186392332616929,3,1.6295332291697202,0.5493617190582801,3,2.8359840710957847,1.520328892233159,3,0.9551417032877604,0.22186427845442364,3,False,complete
eps16-h512-l3-silu,16,512,3,silu,"0,1,7",3,0.0897000225521605,0.019693074772122524,3,0.03730093258259581,0.01419850064395202,3,0.19660637279351553,0.07171298762419125,3,0.1255907118320465,0.03565421234087405,3,False,complete
eps16-h512-l4-elu,16,512,4,elu,"1,7",2,0.08360111137472882,0.010356369410582641,2,0.057240629017065864,0.013205063022860177,2,0.25931940972805023,0.011654931238990293,2,0.1797139272093773,0.020159353941654874,2,False,incomplete
eps16-h512-l4-relu,16,512,4,relu,"0,1,7",3,2.10836198649754,0.04854292073704735,3,1.943217328157132,0.02093293001754607,3,3.6783460776011148,0.05722050195351285,3,1.0273298025131226,0.052607926058460715,3,False,complete
eps16-h512-l4-silu,16,512,4,silu,"0,1,7",3,0.0660429076942026,0.024893419495690457,3,0.05403246804079676,0.008159207364219396,3,0.2237473875284195,0.09883119851069351,3,0.15770129362742105,0.05563196567445516,3,True,complete
eps64-h128-l2-elu,64,128,2,elu,"0,1,7",3,0.20558829332282644,0.02529816396833452,3,0.15909492237703415,0.021030419455963133,3,0.1243329147497813,0.027158027319266136,3,0.1243329147497813,0.027158027319266136,3,False,complete
eps64-h128-l2-relu,64,128,2,relu,"0,1,7",3,0.9792595479843932,0.03149795264386551,3,0.9020387638038423,0.022077707182891954,3,1.1236371199289958,0.04631718863400267,3,0.7343611319859823,0.016886109075477863,3,False,complete
eps64-h128-l2-silu,64,128,2,silu,"0,1,7",3,0.5411484472529462,0.4012389509094607,3,0.5019374747660726,0.3815693684325237,3,0.9505686710278193,0.7857903872777708,3,0.48489728569984436,0.32131538345698935,3,False,complete
eps64-h128-l3-elu,64,128,3,elu,"0,1,7",3,0.07471731139174459,0.015400304223234637,3,0.056712771957172635,0.011686860064758157,3,0.16576907287041345,0.10879241696180894,3,0.1205212598045667,0.039935449304853377,3,False,complete
eps64-h128-l3-relu,64,128,3,relu,"0,1,7",3,1.6839386964178191,0.026672472072259035,3,1.6272164563515548,0.040195677547188016,3,3.2463107903798423,0.0066778787900868206,3,1.0648512442906697,0.08393309030091536,3,False,complete
eps64-h128-l3-silu,64,128,3,silu,"0,1,7",3,0.9227914777570868,0.04124183407172707,3,0.8854643539568291,0.007508776647647346,3,1.0025266408920288,0.03294748213894851,3,0.6507896184921265,0.018110267712138174,3,False,complete
eps64-h128-l4-elu,64,128,4,elu,"0,1,7",3,0.35769216595866277,0.5157163575337486,3,0.3243698611036093,0.4953760039228167,3,0.6137369374434153,0.38533716824979036,3,0.4067653566598892,0.24947213790051861,3,False,complete
eps64-h128-l4-relu,64,128,4,relu,"0,1,7",3,1.5486245224799704,0.5437923276152623,3,1.4838413915630508,0.5235065154915423,3,2.6848560571670532,1.3820514566273623,3,0.894865353902181,0.17090406166257516,3,False,complete
