recipe_id,mcmc_type,step_schedule,nominal_step,k_mode,annealing_steps,seeds_complete,n_seeds,kl_mean,kl_std,w2_mean,w2_std,pareto,status
mala-coupled-step0p10-k1-ann100k,mala,coupled,0.10,k1,100000,"0,1,7",3,0.12784162030045318,0.008891022747107078,0.12682626148064932,0.04831007586603165,False,complete
mala-coupled-step0p10-k1-ann50k,mala,coupled,0.10,k1,50000,"0,1,7",3,0.09790387180569077,0.018603850008071913,0.15304836630821228,0.04833007630171557,False,complete
mala-coupled-step0p10-k10-ann100k,mala,coupled,0.10,k10,100000,"0,1,7",3,0.15458742222554814,0.008292207271005273,0.12896330654621124,0.023374303788765538,False,complete
mala-coupled-step0p10-k10-ann50k,mala,coupled,0.10,k10,50000,"0,1,7",3,0.09589038237780176,0.015290343605012887,0.09308825433254242,0.015877022524788093,False,complete
mala-coupled-step0p10-k1to20-ann100k,mala,coupled,0.10,k1to20,100000,"0,1,7",3,0.14206290177986164,0.014748560735085247,0.11760671685139339,0.052015270122265075,False,complete
mala-coupled-step0p10-k1to20-ann50k,mala,coupled,0.10,k1to20,50000,"0,1,7",3,0.09076573684598438,0.009169610813429232,0.09028798590103786,0.0227994395411504,False,complete
mala-coupled-step0p10-k2-ann100k,mala,coupled,0.10,k2,100000,"0,1,7",3,0.11736928680827247,0.0024738901316204414,0.12547115981578827,0.048262658286867696,False,complete
mala-coupled-step0p10-k2-ann50k,mala,coupled,0.10,k2,50000,"0,1,7",3,0.06784934079188165,0.007891521476103123,0.09650132308403651,0.0077674788491374856,False,complete
mala-coupled-step0p10-k5-ann100k,mala,coupled,0.10,k5,100000,"0,1,7",3,0.12355885247471467,0.03890495721749412,0.12690618634223938,0.03525575617496679,False,complete
mala-coupled-step0p10-k5-ann50k,mala,coupled,0.10,k5,50000,"0,1,7",3,0.09065312360203004,0.02364041978057487,0.12026871740818024,0.06121812604454752,False,complete
mala-coupled-step0p20-k1-ann100k,mala,coupled,0.20,k1,100000,"0,1,7",3,0.1300775361324112,0.02455840218912902,0.1583996539314588,0.09970263491728029,False,complete
mala-coupled-step0p20-k1-ann50k,mala,coupled,0.20,k1,50000,"0,1,7",3,0.07053024742680805,0.013415840204909742,0.17104196548461914,0.0362663248728268,False,complete
mala-coupled-step0p20-k10-ann100k,mala,coupled,0.20,k10,100000,"0,1,7",3,0.14539345865898975,0.009674253381710386,0.08773222068945567,0.013495084814557239,False,complete
mala-coupled-step0p20-k10-ann50k,mala,coupled,0.20,k10,50000,"0,1,7",3,0.1165829436099758,0.025731057057370024,0.0878104716539383,0.014663026077728718,False,complete
mala-coupled-step0p20-k1to20-ann100k,mala,coupled,0.20,k1to20,100000,"0,1,7",3,0.15544258132586825,0.03258215203239454,0.09879666070143382,0.0080899977142608,False,complete
mala-coupled-step0p20-k1to20-ann50k,mala,coupled,0.20,k1to20,50000,"0,1,7",3,0.0930341909267152,0.018935988562111764,0.10789623359839122,0.065048617611991,False,complete
mala-coupled-step0p20-k2-ann100k,mala,coupled,0.20,k2,100000,"0,1,7",3,0.10809834125286283,0.034473705631110095,0.1000772441426913,0.015122979932283113,False,complete
mala-coupled-step0p20-k2-ann50k,mala,coupled,0.20,k2,50000,"0,1,7",3,0.08707980025003258,0.011732560335614902,0.17318260173002878,0.08892128094269984,False,complete
mala-coupled-step0p20-k5-ann100k,mala,coupled,0.20,k5,100000,"0,1,7",3,0.14234270990636624,0.021224049551087858,0.08920776595671971,0.016479734984319865,False,complete
mala-coupled-step0p20-k5-ann50k,mala,coupled,0.20,k5,50000,"0,1,7",3,0.0897145712759231,0.024575401498829925,0.09596316268046697,0.004821782909608761,False,complete
mala-coupled-step0p50-k1-ann100k,mala,coupled,0.50,k1,100000,"0,1,7",3,0.13074232370827693,0.011689610980624442,0.10464134812355042,0.022297598261269792,False,complete
mala-coupled-step0p50-k1-ann50k,mala,coupled,0.50,k1,50000,"0,1,7",3,0.08872195040554211,0.013499775969281638,0.1003970354795456,0.01587611424700633,False,complete
mala-coupled-step0p50-k10-ann100k,mala,coupled,0.50,k10,100000,"0,1,7",3,0.43845519885314815,0.5163661251721567,0.34012309710184735,0.46568471980224724,False,complete
mala-coupled-step0p50-k10-ann50k,mala,coupled,0.50,k10,50000,"0,1,7",3,0.39252307823523686,0.5252640140523519,0.38003473232189816,0.4826951431089253,False,complete
mala-coupled-step0p50-k1to20-ann100k,mala,coupled,0.50,k1to20,100000,"0,1,7",3,0.17708626351757706,0.0312674206629634,0.08811658869187038,0.019125357028109774,False,complete
mala-coupled-step0p50-k1to20-ann50k,mala,coupled,0.50,k1to20,50000,"0,1,7",3,0.07891387903174535,0.009567076115501616,0.08848277231057484,0.009877279003222265,False,complete
mala-coupled-step0p50-k2-ann100k,mala,coupled,0.50,k2,100000,"0,1,7",3,0.11237011762717164,0.03106689073017439,0.0915156031648318,0.019718254816197402,False,complete
mala-coupled-step0p50-k2-ann50k,mala,coupled,0.50,k2,50000,"0,1,7",3,0.08794494942025442,0.002857484392443527,0.1092395931482315,0.02869938321417478,False,complete
mala-coupled-step0p50-k5-ann100k,mala,coupled,0.50,k5,100000,"0,1,7",3,0.12887026956851916,0.015669135170612428,0.08210969964663188,0.007322982701580457,False,complete
mala-coupled-step0p50-k5-ann50k,mala,coupled,0.50,k5,50000,"0,1,7",3,0.09143125765915124,0.015166447785181565,0.09388664116462071,0.024161257913278965,False,complete
sgld-cos1to0p01d100k-k1-ann100k,sgld,cosine,NA,k1,100000,"0,1,7",3,0.2031646840867255,0.025108159462976957,0.11938462406396866,0.0030060283818254562,False,complete
sgld-cos1to0p01d100k-k10-ann100k,sgld,cosine,NA,k10,100000,"0,1,7",3,0.4669524620787091,0.49450315370991943,0.37757154802481335,0.4437591100954733,False,complete
sgld-cos1to0p01d100k-k1to20-ann100k,sgld,cosine,NA,k1to20,100000,"0,1,7",3,0.19971085862454052,0.0012805787471809294,0.1303751344482104,0.03647258279598162,False,complete
sgld-cos1to0p01d100k-k2-ann100k,sgld,cosine,NA,k2,100000,"0,1,7",3,0.19341961670687532,0.02333396715005464,0.12745113422473273,0.011703009155575844,False,complete
sgld-cos1to0p01d100k-k5-ann100k,sgld,cosine,NA,k5,100000,"0,1,7",3,0.1972324396774626,0.021144463044507893,0.11351971328258514,0.0076407320735584535,False,complete
sgld-cos1to0p01d50k-k1-ann50k,sgld,cosine,NA,k1,50000,"0,1,7",3,0.17490956382287728,0.03286369112913646,0.1456770027677218,0.03819794790123512,False,complete
