checkpoint_dir,checkpoint_epoch,duration_sec,elbo,elbo_runtime_sec,errors,method,run_id,seed,summary_iterations,target,training_time_sec,variant,w2,w2_runtime_sec,wall_clock_sec,warnings
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_183608/checkpoints/epoch_10000,10000,357.7424813993275,-0.0009950062958523631,2.8927381709218025,{},DSIVI,seed44_dsivi_banana_baseline,44,10000.0,banana,349.5599060058594,baseline,0.13125941157341003,0.04712221398949623,357.7424813993275,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_184206/checkpoints/epoch_10000,10000,173.2194984499365,-0.8079171180725098,2.898147104308009,{},DSIVI,seed44_dsivi_banana_reverse_steps_1,44,10000.0,banana,165.50897216796875,reverse_steps_1,0.3251595199108124,0.04803785681724548,173.2194984499365,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_184459/checkpoints/epoch_10000,10000,223.33907101675868,-0.015675703063607216,2.885113950818777,{},DSIVI,seed44_dsivi_banana_reverse_steps_2,44,10000.0,banana,216.55740356445312,reverse_steps_2,0.2810481786727905,0.04522011615335941,223.33907101675868,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_184843/checkpoints/epoch_10000,10000,586.6717368066311,-0.00032111312611959875,2.8486216086894274,{},DSIVI,seed44_dsivi_banana_reverse_steps_10,44,10000.0,banana,579.3932495117188,reverse_steps_10,0.09384879469871521,0.044333914294838905,586.6717368066311,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_185829/checkpoints/epoch_10000,10000,339.8013679087162,-0.0050858743488788605,2.8481524512171745,{},DSIVI,seed44_dsivi_banana_reverse_batch_512,44,10000.0,banana,333.3251037597656,reverse_batch_512,0.1027337834239006,0.04541653394699097,339.8013679087162,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_190409/checkpoints/epoch_10000,10000,339.8067059516907,-0.0008824656251817942,2.8591693229973316,{},DSIVI,seed44_dsivi_banana_reverse_batch_1024,44,10000.0,banana,332.9964599609375,reverse_batch_1024,0.10578164458274841,0.044898051768541336,339.8067059516907,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_190949/checkpoints/epoch_10000,10000,349.889926077798,-0.0070410524494946,2.870016176253557,{},DSIVI,seed44_dsivi_banana_reverse_batch_4096,44,10000.0,banana,342.6329040527344,reverse_batch_4096,0.11286178231239319,0.04497692734003067,349.889926077798,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_191539/checkpoints/epoch_10000,10000,327.75678966380656,-0.0016653162892907858,2.833196895197034,{},DSIVI,seed44_dsivi_banana_reverse_batch_8192,44,10000.0,banana,319.4482116699219,reverse_batch_8192,0.06734021008014679,0.04491272382438183,327.75678966380656,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_192107/checkpoints/epoch_10000,10000,337.8827853947878,-0.0073313298635184765,2.8529248647391796,{},DSIVI,seed45_dsivi_banana_baseline,45,10000.0,banana,331.0372619628906,baseline,0.08523823320865631,0.04528645798563957,337.8827853947878,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_192645/checkpoints/epoch_10000,10000,171.29735338315368,-0.0747995600104332,2.924374457448721,{},DSIVI,seed45_dsivi_banana_reverse_steps_1,45,10000.0,banana,163.12266540527344,reverse_steps_1,0.40093719959259033,0.04393248073756695,171.29735338315368,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_192936/checkpoints/epoch_10000,10000,207.4102462027222,-0.019686494022607803,2.876816723495722,{},DSIVI,seed45_dsivi_banana_reverse_steps_2,45,10000.0,banana,200.5434112548828,reverse_steps_2,0.21775886416435242,0.044306205585598946,207.4102462027222,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_193303/checkpoints/epoch_10000,10000,556.8338627405465,-0.0014208112843334675,2.847596688196063,{},DSIVI,seed45_dsivi_banana_reverse_steps_10,45,10000.0,banana,550.9180908203125,reverse_steps_10,0.06068088859319687,0.04356320761144161,556.8338627405465,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_194219/checkpoints/epoch_10000,10000,328.1215157005936,-0.03117525950074196,2.8484890814870596,{},DSIVI,seed45_dsivi_banana_reverse_batch_512,45,10000.0,banana,320.8435974121094,reverse_batch_512,0.29996055364608765,0.04420093260705471,328.1215157005936,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_194747/checkpoints/epoch_10000,10000,326.10806784778833,-0.0075784167274832726,2.846801431849599,{},DSIVI,seed45_dsivi_banana_reverse_batch_1024,45,10000.0,banana,319.0220031738281,reverse_batch_1024,0.08868465572595596,0.043738218024373055,326.10806784778833,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_195314/checkpoints/epoch_10000,10000,340.1391047369689,-0.00547737767919898,2.9104868583381176,{},DSIVI,seed45_dsivi_banana_reverse_batch_4096,45,10000.0,banana,333.97442626953125,reverse_batch_4096,0.06816980987787247,0.044700879603624344,340.1391047369689,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_195854/checkpoints/epoch_10000,10000,340.23045635968447,-0.001805683714337647,2.8573982194066048,{},DSIVI,seed45_dsivi_banana_reverse_batch_8192,45,10000.0,banana,332.4200439453125,reverse_batch_8192,0.05589766427874565,0.04502290301024914,340.23045635968447,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_200434/checkpoints/epoch_10000,10000,346.33809481933713,-0.0034218125510960817,2.9269015565514565,{},DSIVI,seed46_dsivi_banana_baseline,46,10000.0,banana,338.447509765625,baseline,0.08220034837722778,0.04410718381404877,346.33809481933713,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_201021/checkpoints/epoch_10000,10000,169.44200948812068,-0.08998002111911774,2.874927084892988,{},DSIVI,seed46_dsivi_banana_reverse_steps_1,46,10000.0,banana,161.14193725585938,reverse_steps_1,0.24945427477359772,0.06595245748758316,169.44200948812068,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_201310/checkpoints/epoch_10000,10000,209.69659826532006,-0.005054961424320936,2.8572370260953903,{},DSIVI,seed46_dsivi_banana_reverse_steps_2,46,10000.0,banana,202.88455200195312,reverse_steps_2,0.11807505041360855,0.045911265537142754,209.69659826532006,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_201640/checkpoints/epoch_10000,10000,553.4708903525025,-0.0032524203415960073,3.022870484739542,{},DSIVI,seed46_dsivi_banana_reverse_steps_10,46,10000.0,banana,545.458984375,reverse_steps_10,0.07319460064172745,0.053429607301950455,553.4708903525025,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_202553/checkpoints/epoch_10000,10000,336.375681784004,-0.007941977120935917,3.039998110383749,{},DSIVI,seed46_dsivi_banana_reverse_batch_512,46,10000.0,banana,328.2601318359375,reverse_batch_512,0.18636345863342285,0.046040505170822144,336.375681784004,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_203129/checkpoints/epoch_10000,10000,328.28312427923083,-0.010664252564311028,2.9978957567363977,{},DSIVI,seed46_dsivi_banana_reverse_batch_1024,46,10000.0,banana,321.57037353515625,reverse_batch_1024,0.22038476169109344,0.045346446335315704,328.28312427923083,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_203658/checkpoints/epoch_10000,10000,344.48041481524706,-0.0015776394866406918,2.9203762486577034,{},DSIVI,seed46_dsivi_banana_reverse_batch_4096,46,10000.0,banana,339.1188049316406,reverse_batch_4096,0.0786195620894432,0.04887806624174118,344.48041481524706,{}
results/dsivi_reverse_axis_sweep_20260726/DSIVI/banana/20260726_204242/checkpoints/epoch_10000,10000,344.42259396985173,-0.0004605015565175563,2.957755958661437,{},DSIVI,seed46_dsivi_banana_reverse_batch_8192,46,10000.0,banana,337.726806640625,reverse_batch_8192,0.07954569905996323,0.0471662487834692,344.42259396985173,{}
