chain,epoch,method,progress,reference_internal_l2,reference_seed,repeat,replication_unit,run_id,runtime_sec,seed,target
1,10000,SIVI,1.0,0.23121491909302594,651747563,1,hmc_chain,seed42_sivi_x_shaped,8.718036826886237,42,x_shaped
2,10000,SIVI,1.0,0.21916337137309666,651747563,2,hmc_chain,seed42_sivi_x_shaped,8.718036826886237,42,x_shaped
3,10000,SIVI,1.0,0.2241715367054698,651747563,3,hmc_chain,seed42_sivi_x_shaped,8.718036826886237,42,x_shaped
4,10000,SIVI,1.0,0.18857829955132654,651747563,4,hmc_chain,seed42_sivi_x_shaped,8.718036826886237,42,x_shaped
5,10000,SIVI,1.0,0.20120026483187364,651747563,5,hmc_chain,seed42_sivi_x_shaped,8.718036826886237,42,x_shaped
6,10000,SIVI,1.0,0.21172684664718894,651747563,6,hmc_chain,seed42_sivi_x_shaped,8.718036826886237,42,x_shaped
7,10000,SIVI,1.0,0.20699471370350486,651747563,7,hmc_chain,seed42_sivi_x_shaped,8.718036826886237,42,x_shaped
8,10000,SIVI,1.0,0.19924429328177473,651747563,8,hmc_chain,seed42_sivi_x_shaped,8.718036826886237,42,x_shaped
9,10000,SIVI,1.0,0.22166733860688537,651747563,9,hmc_chain,seed42_sivi_x_shaped,8.718036826886237,42,x_shaped
0,2000,SIVI,0.2,0.08566873885219237,263106188,0,hmc_chain,seed43_sivi_x_shaped,9.778988017700613,43,x_shaped
1,2000,SIVI,0.2,0.09536769633779471,263106188,1,hmc_chain,seed43_sivi_x_shaped,9.778988017700613,43,x_shaped
2,2000,SIVI,0.2,0.08803466033514615,263106188,2,hmc_chain,seed43_sivi_x_shaped,9.778988017700613,43,x_shaped
3,2000,SIVI,0.2,0.08989831488172054,263106188,3,hmc_chain,seed43_sivi_x_shaped,9.778988017700613,43,x_shaped
4,2000,SIVI,0.2,0.0810544302395397,263106188,4,hmc_chain,seed43_sivi_x_shaped,9.778988017700613,43,x_shaped
5,2000,SIVI,0.2,0.09279174736612805,263106188,5,hmc_chain,seed43_sivi_x_shaped,9.778988017700613,43,x_shaped
6,2000,SIVI,0.2,0.08826608739214796,263106188,6,hmc_chain,seed43_sivi_x_shaped,9.778988017700613,43,x_shaped
7,2000,SIVI,0.2,0.08586971933802065,263106188,7,hmc_chain,seed43_sivi_x_shaped,9.778988017700613,43,x_shaped
8,2000,SIVI,0.2,0.08688370862159217,263106188,8,hmc_chain,seed43_sivi_x_shaped,9.778988017700613,43,x_shaped
9,2000,SIVI,0.2,0.08907835422691493,263106188,9,hmc_chain,seed43_sivi_x_shaped,9.778988017700613,43,x_shaped
0,4000,SIVI,0.4,0.15368744272628346,862205402,0,hmc_chain,seed43_sivi_x_shaped,9.628872087225318,43,x_shaped
1,4000,SIVI,0.4,0.16561440660216176,862205402,1,hmc_chain,seed43_sivi_x_shaped,9.628872087225318,43,x_shaped
2,4000,SIVI,0.4,0.156741508115843,862205402,2,hmc_chain,seed43_sivi_x_shaped,9.628872087225318,43,x_shaped
3,4000,SIVI,0.4,0.16288885041324608,862205402,3,hmc_chain,seed43_sivi_x_shaped,9.628872087225318,43,x_shaped
4,4000,SIVI,0.4,0.15540581416234628,862205402,4,hmc_chain,seed43_sivi_x_shaped,9.628872087225318,43,x_shaped
5,4000,SIVI,0.4,0.16377702945884998,862205402,5,hmc_chain,seed43_sivi_x_shaped,9.628872087225318,43,x_shaped
6,4000,SIVI,0.4,0.14829940782647588,862205402,6,hmc_chain,seed43_sivi_x_shaped,9.628872087225318,43,x_shaped
7,4000,SIVI,0.4,0.15002347915889214,862205402,7,hmc_chain,seed43_sivi_x_shaped,9.628872087225318,43,x_shaped
8,4000,SIVI,0.4,0.15611831327005593,862205402,8,hmc_chain,seed43_sivi_x_shaped,9.628872087225318,43,x_shaped
9,4000,SIVI,0.4,0.15377462991281954,862205402,9,hmc_chain,seed43_sivi_x_shaped,9.628872087225318,43,x_shaped
0,6000,SIVI,0.6,0.2151862409889357,1157221491,0,hmc_chain,seed43_sivi_x_shaped,10.079854939691723,43,x_shaped
1,6000,SIVI,0.6,0.22116490865624802,1157221491,1,hmc_chain,seed43_sivi_x_shaped,10.079854939691723,43,x_shaped
2,6000,SIVI,0.6,0.20960202110855167,1157221491,2,hmc_chain,seed43_sivi_x_shaped,10.079854939691723,43,x_shaped
3,6000,SIVI,0.6,0.19565707859193554,1157221491,3,hmc_chain,seed43_sivi_x_shaped,10.079854939691723,43,x_shaped
4,6000,SIVI,0.6,0.1891226180640625,1157221491,4,hmc_chain,seed43_sivi_x_shaped,10.079854939691723,43,x_shaped
5,6000,SIVI,0.6,0.21314255224047013,1157221491,5,hmc_chain,seed43_sivi_x_shaped,10.079854939691723,43,x_shaped
6,6000,SIVI,0.6,0.2353534615923322,1157221491,6,hmc_chain,seed43_sivi_x_shaped,10.079854939691723,43,x_shaped
7,6000,SIVI,0.6,0.2263011512349815,1157221491,7,hmc_chain,seed43_sivi_x_shaped,10.079854939691723,43,x_shaped
8,6000,SIVI,0.6,0.20798132706968117,1157221491,8,hmc_chain,seed43_sivi_x_shaped,10.079854939691723,43,x_shaped
9,6000,SIVI,0.6,0.2508065075248153,1157221491,9,hmc_chain,seed43_sivi_x_shaped,10.079854939691723,43,x_shaped
0,8000,SIVI,0.8,0.20748563453161778,341413517,0,hmc_chain,seed43_sivi_x_shaped,9.32835485842079,43,x_shaped
1,8000,SIVI,0.8,0.2071716499985845,341413517,1,hmc_chain,seed43_sivi_x_shaped,9.32835485842079,43,x_shaped
2,8000,SIVI,0.8,0.2682012727116195,341413517,2,hmc_chain,seed43_sivi_x_shaped,9.32835485842079,43,x_shaped
3,8000,SIVI,0.8,0.22540062963091329,341413517,3,hmc_chain,seed43_sivi_x_shaped,9.32835485842079,43,x_shaped
4,8000,SIVI,0.8,0.20766128906461165,341413517,4,hmc_chain,seed43_sivi_x_shaped,9.32835485842079,43,x_shaped
5,8000,SIVI,0.8,0.23885573252724276,341413517,5,hmc_chain,seed43_sivi_x_shaped,9.32835485842079,43,x_shaped
6,8000,SIVI,0.8,0.2194163683865349,341413517,6,hmc_chain,seed43_sivi_x_shaped,9.32835485842079,43,x_shaped
7,8000,SIVI,0.8,0.23310038977273156,341413517,7,hmc_chain,seed43_sivi_x_shaped,9.32835485842079,43,x_shaped
8,8000,SIVI,0.8,0.2168674107134185,341413517,8,hmc_chain,seed43_sivi_x_shaped,9.32835485842079,43,x_shaped
9,8000,SIVI,0.8,0.2267361777359273,341413517,9,hmc_chain,seed43_sivi_x_shaped,9.32835485842079,43,x_shaped
0,10000,SIVI,1.0,0.17191127020278962,483180617,0,hmc_chain,seed43_sivi_x_shaped,9.85653265118599,43,x_shaped
1,10000,SIVI,1.0,0.18779263495389975,483180617,1,hmc_chain,seed43_sivi_x_shaped,9.85653265118599,43,x_shaped
2,10000,SIVI,1.0,0.1793825197751279,483180617,2,hmc_chain,seed43_sivi_x_shaped,9.85653265118599,43,x_shaped
3,10000,SIVI,1.0,0.18319423530326195,483180617,3,hmc_chain,seed43_sivi_x_shaped,9.85653265118599,43,x_shaped
4,10000,SIVI,1.0,0.18124198611523612,483180617,4,hmc_chain,seed43_sivi_x_shaped,9.85653265118599,43,x_shaped
5,10000,SIVI,1.0,0.19750437001825594,483180617,5,hmc_chain,seed43_sivi_x_shaped,9.85653265118599,43,x_shaped
6,10000,SIVI,1.0,0.1704144347889046,483180617,6,hmc_chain,seed43_sivi_x_shaped,9.85653265118599,43,x_shaped
7,10000,SIVI,1.0,0.1807622185728901,483180617,7,hmc_chain,seed43_sivi_x_shaped,9.85653265118599,43,x_shaped
8,10000,SIVI,1.0,0.18124298940052674,483180617,8,hmc_chain,seed43_sivi_x_shaped,9.85653265118599,43,x_shaped
9,10000,SIVI,1.0,0.17859539384448195,483180617,9,hmc_chain,seed43_sivi_x_shaped,9.85653265118599,43,x_shaped
0,2000,SIVI,0.2,0.10681634850212778,220178419,0,hmc_chain,seed44_sivi_x_shaped,9.973728951439261,44,x_shaped
1,2000,SIVI,0.2,0.09870302264892203,220178419,1,hmc_chain,seed44_sivi_x_shaped,9.973728951439261,44,x_shaped
2,2000,SIVI,0.2,0.09726962490410188,220178419,2,hmc_chain,seed44_sivi_x_shaped,9.973728951439261,44,x_shaped
3,2000,SIVI,0.2,0.10066044852169538,220178419,3,hmc_chain,seed44_sivi_x_shaped,9.973728951439261,44,x_shaped
4,2000,SIVI,0.2,0.09357006916724561,220178419,4,hmc_chain,seed44_sivi_x_shaped,9.973728951439261,44,x_shaped
5,2000,SIVI,0.2,0.09826625600892078,220178419,5,hmc_chain,seed44_sivi_x_shaped,9.973728951439261,44,x_shaped
6,2000,SIVI,0.2,0.09831687937882011,220178419,6,hmc_chain,seed44_sivi_x_shaped,9.973728951439261,44,x_shaped
7,2000,SIVI,0.2,0.09807109719631332,220178419,7,hmc_chain,seed44_sivi_x_shaped,9.973728951439261,44,x_shaped
8,2000,SIVI,0.2,0.09674214259664739,220178419,8,hmc_chain,seed44_sivi_x_shaped,9.973728951439261,44,x_shaped
9,2000,SIVI,0.2,0.09130567438269643,220178419,9,hmc_chain,seed44_sivi_x_shaped,9.973728951439261,44,x_shaped
0,4000,SIVI,0.4,0.15908135020769043,331922960,0,hmc_chain,seed44_sivi_x_shaped,10.519508610107005,44,x_shaped
1,4000,SIVI,0.4,0.19936569512068253,331922960,1,hmc_chain,seed44_sivi_x_shaped,10.519508610107005,44,x_shaped
2,4000,SIVI,0.4,0.17403241017647172,331922960,2,hmc_chain,seed44_sivi_x_shaped,10.519508610107005,44,x_shaped
3,4000,SIVI,0.4,0.18050907134240343,331922960,3,hmc_chain,seed44_sivi_x_shaped,10.519508610107005,44,x_shaped
4,4000,SIVI,0.4,0.1909158268041735,331922960,4,hmc_chain,seed44_sivi_x_shaped,10.519508610107005,44,x_shaped
5,4000,SIVI,0.4,0.1821497234422367,331922960,5,hmc_chain,seed44_sivi_x_shaped,10.519508610107005,44,x_shaped
6,4000,SIVI,0.4,0.17700543324340895,331922960,6,hmc_chain,seed44_sivi_x_shaped,10.519508610107005,44,x_shaped
7,4000,SIVI,0.4,0.17816779297791535,331922960,7,hmc_chain,seed44_sivi_x_shaped,10.519508610107005,44,x_shaped
8,4000,SIVI,0.4,0.16666072772471247,331922960,8,hmc_chain,seed44_sivi_x_shaped,10.519508610107005,44,x_shaped
9,4000,SIVI,0.4,0.1629980144745732,331922960,9,hmc_chain,seed44_sivi_x_shaped,10.519508610107005,44,x_shaped
0,6000,SIVI,0.6,0.21125703174356664,1879876321,0,hmc_chain,seed44_sivi_x_shaped,9.92053519692272,44,x_shaped
1,6000,SIVI,0.6,0.21215317973565254,1879876321,1,hmc_chain,seed44_sivi_x_shaped,9.92053519692272,44,x_shaped
2,6000,SIVI,0.6,0.2627093401224409,1879876321,2,hmc_chain,seed44_sivi_x_shaped,9.92053519692272,44,x_shaped
3,6000,SIVI,0.6,0.24994620174242543,1879876321,3,hmc_chain,seed44_sivi_x_shaped,9.92053519692272,44,x_shaped
4,6000,SIVI,0.6,0.20259786259818216,1879876321,4,hmc_chain,seed44_sivi_x_shaped,9.92053519692272,44,x_shaped
5,6000,SIVI,0.6,0.21469171817633018,1879876321,5,hmc_chain,seed44_sivi_x_shaped,9.92053519692272,44,x_shaped
6,6000,SIVI,0.6,0.22361612397620334,1879876321,6,hmc_chain,seed44_sivi_x_shaped,9.92053519692272,44,x_shaped
7,6000,SIVI,0.6,0.22614791355463085,1879876321,7,hmc_chain,seed44_sivi_x_shaped,9.92053519692272,44,x_shaped
8,6000,SIVI,0.6,0.20728359632933446,1879876321,8,hmc_chain,seed44_sivi_x_shaped,9.92053519692272,44,x_shaped
9,6000,SIVI,0.6,0.22059725709975192,1879876321,9,hmc_chain,seed44_sivi_x_shaped,9.92053519692272,44,x_shaped
0,8000,SIVI,0.8,0.1866803721471611,32442941,0,hmc_chain,seed44_sivi_x_shaped,8.909940213710069,44,x_shaped
