2026-03-28 21:51:06 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 1500, W2 Dist: 0.0253
2026-03-28 21:51:06 | DEBUG | sivi:base_reverse_runner.py:392| _warmup_log_func | Warmup Epoch 1500, Average Reverse Model Loss: 141.7746, Avg Step Time: 0.0526s, Avg Steps: 15.0000
2026-03-28 21:51:11 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 1600, W2 Dist: 0.0260
2026-03-28 21:51:11 | DEBUG | sivi:base_reverse_runner.py:392| _warmup_log_func | Warmup Epoch 1600, Average Reverse Model Loss: 141.7670, Avg Step Time: 0.0517s, Avg Steps: 16.0000
2026-03-28 21:51:16 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 1700, W2 Dist: 0.0253
2026-03-28 21:51:16 | DEBUG | sivi:base_reverse_runner.py:392| _warmup_log_func | Warmup Epoch 1700, Average Reverse Model Loss: 141.7698, Avg Step Time: 0.0547s, Avg Steps: 17.0000
2026-03-28 21:51:22 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 1800, W2 Dist: 0.0249
2026-03-28 21:51:22 | DEBUG | sivi:base_reverse_runner.py:392| _warmup_log_func | Warmup Epoch 1800, Average Reverse Model Loss: 141.7602, Avg Step Time: 0.0549s, Avg Steps: 18.0000
2026-03-28 21:51:26 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 1900, W2 Dist: 0.0256
2026-03-28 21:51:26 | DEBUG | sivi:base_reverse_runner.py:392| _warmup_log_func | Warmup Epoch 1900, Average Reverse Model Loss: 141.7541, Avg Step Time: 0.0469s, Avg Steps: 19.0000
2026-03-28 21:51:30 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 2000, W2 Dist: 0.0249
2026-03-28 21:51:30 | DEBUG | sivi:base_reverse_runner.py:392| _warmup_log_func | Warmup Epoch 2000, Average Reverse Model Loss: 141.7646, Avg Step Time: 0.0405s, Avg Steps: 20.0000
2026-03-28 21:51:30 | INFO | sivi:base_reverse_runner.py:434| warmup | Warmup completed for 2000 epochs. Total time: 98.662s, Avg epoch time: 0.049331s
2026-03-28 21:51:44 | DEBUG | sivi:base_runner.py:874| learn | Epoch 100: Avg Loss: 1323.0186, Avg Epoch Time: 0.1387s
2026-03-28 21:51:44 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 100, VI W2 to baseline: 1.0363
2026-03-28 21:51:44 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 100, Reverse Model W2: 0.0291
2026-03-28 21:51:45 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 100, ELBO: -5868.7686, Std Total: 1020.3310, Std Q: 0.0000, CI Half: 28.2821
2026-03-28 21:51:45 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 100, VI KSD: 196.6939
2026-03-28 21:52:00 | DEBUG | sivi:base_runner.py:874| learn | Epoch 200: Avg Loss: 521.4008, Avg Epoch Time: 0.1583s
2026-03-28 21:52:00 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 200, VI W2 to baseline: 0.2355
2026-03-28 21:52:00 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 200, Reverse Model W2: 0.0539
2026-03-28 21:52:00 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 200, ELBO: -797.2897, Std Total: 272.7885, Std Q: 0.4073, CI Half: 7.5613
2026-03-28 21:52:00 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 200, VI KSD: 48.3590
2026-03-28 21:52:15 | DEBUG | sivi:base_runner.py:874| learn | Epoch 300: Avg Loss: 59.9389, Avg Epoch Time: 0.1514s
2026-03-28 21:52:15 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 300, VI W2 to baseline: 0.1598
2026-03-28 21:52:15 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 300, Reverse Model W2: 0.0748
2026-03-28 21:52:16 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 300, ELBO: -456.3955, Std Total: 143.6149, Std Q: nan, CI Half: 3.9808
2026-03-28 21:52:16 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 300, VI KSD: 25.9478
2026-03-28 21:52:30 | DEBUG | sivi:base_runner.py:874| learn | Epoch 400: Avg Loss: 16.6594, Avg Epoch Time: 0.1495s
2026-03-28 21:52:30 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 400, VI W2 to baseline: 0.1469
2026-03-28 21:52:30 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 400, Reverse Model W2: 0.0590
2026-03-28 21:52:31 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 400, ELBO: -382.9631, Std Total: 119.3818, Std Q: nan, CI Half: 3.3091
2026-03-28 21:52:31 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 400, VI KSD: 18.4207
2026-03-28 21:52:45 | DEBUG | sivi:base_runner.py:874| learn | Epoch 500: Avg Loss: 8.7877, Avg Epoch Time: 0.1507s
2026-03-28 21:52:45 | DEBUG | sivi:base_reverse_runner.py:183| _training_rev_log_func | Epoch 500, Inner epoch 1, Reverse Model Loss: 138.0616, Avg Steps: 1.0000
2026-03-28 21:52:45 | DEBUG | sivi:base_runner.py:588| save_samples | Saved 1000 samples at epoch 500.
2026-03-28 21:52:45 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 500, VI W2 to baseline: 0.1494
2026-03-28 21:52:45 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 500, Reverse Model W2: 0.0791
2026-03-28 21:52:46 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 500, ELBO: -347.3272, Std Total: 106.2366, Std Q: nan, CI Half: 2.9447
2026-03-28 21:52:46 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 500, VI KSD: 15.7944
2026-03-28 21:52:48 | DEBUG | sivi:base_runner.py:978| learn | Saved trace plot at epoch 500.
2026-03-28 21:53:01 | DEBUG | sivi:base_runner.py:874| learn | Epoch 600: Avg Loss: 5.9969, Avg Epoch Time: 0.1600s
2026-03-28 21:53:01 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 600, VI W2 to baseline: 0.1501
2026-03-28 21:53:01 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 600, Reverse Model W2: 0.0674
2026-03-28 21:53:02 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 600, ELBO: -318.7582, Std Total: 96.5718, Std Q: nan, CI Half: 2.6768
2026-03-28 21:53:02 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 600, VI KSD: 12.8782
2026-03-28 21:53:16 | DEBUG | sivi:base_runner.py:874| learn | Epoch 700: Avg Loss: 3.3671, Avg Epoch Time: 0.1505s
2026-03-28 21:53:16 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 700, VI W2 to baseline: 0.1579
2026-03-28 21:53:16 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 700, Reverse Model W2: 0.0635
2026-03-28 21:53:17 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 700, ELBO: -294.7574, Std Total: 85.2866, Std Q: nan, CI Half: 2.3640
