transition,acceptance_rate,window_acceptance_rate,mean_log_posterior,step_size_median,epsilon_mean_norm,epsilon_sd_mean
0.0,0.0,0.0,-1925.8258056640625,0.001999999862164259,1.0998905897140503,0.834108829498291
50.0,0.9990000000000001,0.9990000000000001,-4.225069046020508,0.002931747352704406,1.199331521987915,1.0662317276000977
100.0,0.9995000000000002,1.0,-4.14354944229126,0.0034921574406325817,1.0981279611587524,1.0294668674468994
150.0,0.9993333333333333,0.9990000000000001,-4.243717670440674,0.00399495055899024,1.1008126735687256,1.0832184553146362
200.0,0.99925,0.9990000000000001,-3.4747886657714844,0.004474531393498182,0.9431397318840027,0.9133175611495972
250.0,0.9994000000000001,1.0,-3.3448398113250732,0.004942487925291061,1.0136507749557495,0.868683934211731
300.0,0.9995000000000002,1.0,-3.069549322128296,0.005408772267401218,0.7901109457015991,0.6642574071884155
350.0,0.9995714285714286,1.0,-2.7015414237976074,0.0058755576610565186,0.5873745679855347,0.6988401412963867
400.0,0.999625,1.0,-2.803734302520752,0.006345475558191538,0.5468540787696838,0.6369959115982056
450.0,0.9995555555555555,0.9990000000000001,-2.6738460063934326,0.006819196045398712,0.6429941058158875,0.6817258596420288
500.0,0.9995000000000002,0.9990000000000001,-2.45428466796875,0.007297954056411982,0.3252895176410675,0.7772966027259827
550.0,0.999090909090909,0.995,-3.043389081954956,0.007784799672663212,0.1375098079442978,0.8280763030052185
600.0,0.9989166666666668,0.9969999999999999,-3.1213912963867188,0.008283419534564018,0.33070069551467896,0.8412106037139893
650.0,0.9988461538461538,0.9980000000000001,-2.763998508453369,0.008791720494627953,0.29323530197143555,0.677741289138794
700.0,0.9987142857142857,0.9970000000000001,-2.888773202896118,0.009304243139922619,0.5949441194534302,0.6660940051078796
750.0,0.9986000000000002,0.9969999999999999,-2.798468589782715,0.00982667226344347,0.3929100036621094,0.631610631942749
800.0,0.9985625000000001,0.9980000000000001,-2.8090343475341797,0.009999999776482582,0.11319199204444885,0.6474628448486328
850.0,0.9984117647058822,0.9960000000000001,-2.941803455352783,0.009999999776482582,0.14385344088077545,0.6449564695358276
900.0,0.9980000000000001,0.9910000000000001,-2.7517056465148926,0.009999999776482582,0.050451647490262985,0.796795129776001
950.0,0.9978421052631579,0.995,-2.9675514698028564,0.009999999776482582,0.34305888414382935,0.682969868183136
1000.0,0.9977,0.995,-2.4914376735687256,0.009999999776482582,0.5319979786872864,0.5057231783866882
1050.0,0.9976190476190476,0.9960000000000001,-3.1274211406707764,0.009999999776482582,0.748959481716156,0.7849501371383667
1100.0,0.9976818181818182,0.9990000000000001,-2.852623462677002,0.009999999776482582,0.9334810376167297,0.6794891357421875
1150.0,0.9976086956521741,0.9960000000000001,-2.369685411453247,0.009999999776482582,0.6826052665710449,0.6635243892669678
1200.0,0.9977083333333335,1.0,-2.5912585258483887,0.009999999776482582,0.6970845460891724,0.5199083089828491
1250.0,0.9977600000000001,0.9990000000000001,-2.608407497406006,0.009999999776482582,0.6794636845588684,0.5812727212905884
1300.0,0.9978461538461538,1.0,-2.9129750728607178,0.009999999776482582,0.3072763979434967,0.5712857842445374
1350.0,0.9978148148148147,0.9969999999999999,-3.0236294269561768,0.009999999776482582,0.3520009219646454,0.7054987549781799
