sampler,chain,draw,epsilon_0,epsilon_1
MALA_tail,2,20,0.91240269,1.50964153
MALA_tail,2,21,0.92781067,1.52349293
MALA_tail,2,22,0.93617862,1.50998032
MALA_tail,2,23,0.92952335,1.51996017
MALA_tail,2,24,0.93021810,1.54089761
MALA_tail,2,25,0.99654680,1.51839375
MALA_tail,2,26,0.99669778,1.55382681
MALA_tail,2,27,0.96207130,1.53510284
MALA_tail,2,28,0.99735188,1.59623718
MALA_tail,2,29,0.95257801,1.55350327
MALA_tail,2,30,0.98764014,1.57066882
MALA_tail,2,31,0.93572176,1.53941321
MALA_tail,2,32,0.94450593,1.51747906
MALA_tail,2,33,0.89970630,1.49078786
MALA_tail,2,34,0.92748493,1.53796422
MALA_tail,2,35,0.92887360,1.49660718
MALA_tail,2,36,0.89964139,1.56691706
MALA_tail,2,37,0.88421792,1.56890714
MALA_tail,2,38,0.90519172,1.60808182
MALA_tail,2,39,0.93144619,1.56365860
MALA_tail,2,40,0.91820371,1.60972548
MALA_tail,2,41,0.88943541,1.56632781
MALA_tail,2,42,0.88177347,1.53742993
MALA_tail,2,43,0.94067806,1.58793402
MALA_tail,2,44,0.90487456,1.56162930
MALA_tail,2,45,0.92420685,1.59330046
MALA_tail,2,46,0.84596288,1.55143869
MALA_tail,2,47,0.88954395,1.54970789
MALA_tail,2,48,0.94527811,1.54881608
MALA_tail,2,49,0.94266641,1.52764726
MALA_tail,3,0,0.59944022,0.92277884
MALA_tail,3,1,0.58068550,0.92177868
MALA_tail,3,2,0.60725957,0.89412546
MALA_tail,3,3,0.55455983,0.89566398
MALA_tail,3,4,0.53092456,0.84790421
MALA_tail,3,5,0.50746638,0.82639766
MALA_tail,3,6,0.52079105,0.81831330
MALA_tail,3,7,0.53609580,0.79237533
MALA_tail,3,8,0.51900560,0.75430346
MALA_tail,3,9,0.53281063,0.73147255
MALA_tail,3,10,0.49900723,0.72701025
MALA_tail,3,11,0.48476899,0.70164013
MALA_tail,3,12,0.46500945,0.68367738
MALA_tail,3,13,0.45959836,0.69796705
MALA_tail,3,14,0.46176952,0.68790579
MALA_tail,3,15,0.47000584,0.71967477
MALA_tail,3,16,0.45876437,0.68371588
MALA_tail,3,17,0.38738886,0.64880705
MALA_tail,3,18,0.44754803,0.68205422
MALA_tail,3,19,0.46469760,0.70534247
MALA_tail,3,20,0.47936249,0.74472016
MALA_tail,3,21,0.45042315,0.74260044
MALA_tail,3,22,0.45431483,0.67910796
MALA_tail,3,23,0.42814916,0.64314365
MALA_tail,3,24,0.41203344,0.62403226
MALA_tail,3,25,0.40807879,0.63307422
MALA_tail,3,26,0.42285335,0.58263123
MALA_tail,3,27,0.37295470,0.60427201
MALA_tail,3,28,0.38456449,0.60809070
MALA_tail,3,29,0.36303458,0.61593139
MALA_tail,3,30,0.32253063,0.64036036
MALA_tail,3,31,0.30137795,0.65687001
MALA_tail,3,32,0.25419942,0.66980678
MALA_tail,3,33,0.32662547,0.68912292
MALA_tail,3,34,0.32509091,0.66966206
MALA_tail,3,35,0.33863908,0.69294196
MALA_tail,3,36,0.31203023,0.62675881
MALA_tail,3,37,0.32596534,0.58649373
MALA_tail,3,38,0.34073532,0.57616162
MALA_tail,3,39,0.33507290,0.61572295
MALA_tail,3,40,0.37123111,0.58983415
MALA_tail,3,41,0.40374607,0.65907633
MALA_tail,3,42,0.42405438,0.65204787
MALA_tail,3,43,0.42736417,0.70406711
MALA_tail,3,44,0.41375440,0.72120428
MALA_tail,3,45,0.40068939,0.68741471
MALA_tail,3,46,0.34520400,0.73442048
