recipe_id,target,loss_label,loss_type,lr,metric_family,seeds_complete,n_seeds,status,pareto,loss_mean,loss_std,loss_count,loss_final_iter_min,loss_final_iter_max,kl_ite_mean,kl_ite_std,kl_ite_count,kl_ite_final_iter_min,kl_ite_final_iter_max,w2_mean,w2_std,w2_count,w2_final_iter_min,w2_final_iter_max,kde_expected_log_marginal_mean,kde_expected_log_marginal_std,kde_expected_log_marginal_count,kde_expected_log_marginal_final_iter_min,kde_expected_log_marginal_final_iter_max
KDVI-x_shaped-L2_loss-lr1e-4,x_shaped,L2_loss,paired_l2,1e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,4.728297542307003,0.05244458635605918,3,100000,100000,1.3610596656799316,0.00023626694758592819,3,100000,100000,,,0,,
KDVI-x_shaped-sliced_W2-lr2e-3,x_shaped,sliced_W2,sliced_w2,2e-3,kl_w2,"0,1,7",3,complete,False,,,0,,,0.25835439318778036,0.20480716748449962,3,100000,100000,0.2525584014753501,0.18898974461463502,3,100000,100000,,,0,,
KDVI-x_shaped-sliced_W2-lr1e-3,x_shaped,sliced_W2,sliced_w2,1e-3,kl_w2,"0,1,7",3,complete,False,,,0,,,0.35972663542530875,0.015062096593098557,3,100000,100000,0.36274052659670514,0.00827024984272913,3,100000,100000,,,0,,
KDVI-x_shaped-sliced_W2-lr5e-4,x_shaped,sliced_W2,sliced_w2,5e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,0.3486068718479384,0.0008889438200545788,3,100000,100000,0.3643568158149719,0.00853991992800609,3,100000,100000,,,0,,
KDVI-x_shaped-sliced_W2-lr2e-4,x_shaped,sliced_W2,sliced_w2,2e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,0.3580594260345703,0.008590795778955343,3,100000,100000,0.3624855577945709,0.0075645801846764395,3,100000,100000,,,0,,
KDVI-x_shaped-sliced_W2-lr1e-4,x_shaped,sliced_W2,sliced_w2,1e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,0.35780454675398626,0.013658231504516843,3,100000,100000,0.36234456300735474,0.012467812614202652,3,100000,100000,,,0,,
KDVI-x_shaped-mmd_no_detach-lr2e-3,x_shaped,mmd_no_detach,mmd_no_detach,2e-3,kl_w2,"0,1",2,incomplete,False,,,0,,,0.009632585763869656,0.012315962028308154,2,100000,100000,0.03628051932901144,0.007434336609486253,2,100000,100000,,,0,,
KDVI-x_shaped-mmd_no_detach-lr1e-3,x_shaped,mmd_no_detach,mmd_no_detach,1e-3,kl_w2,"1,7",2,incomplete,False,,,0,,,0.007117955178870273,0.00257754174045955,2,100000,100000,0.03103603795170784,0.0009346274391533306,2,100000,100000,,,0,,
KDVI-x_shaped-mmd_no_detach-lr5e-4,x_shaped,mmd_no_detach,mmd_no_detach,5e-4,kl_w2,"1,7",2,incomplete,False,,,0,,,0.0072344866016474975,0.008751825740481403,2,100000,100000,0.05341857485473156,7.346459113252023e-05,2,100000,100000,,,0,,
KDVI-x_shaped-mmd_no_detach-lr2e-4,x_shaped,mmd_no_detach,mmd_no_detach,2e-4,kl_w2,"0,1,7",3,complete,True,,,0,,,-0.004470040136810426,0.0030147038051485634,3,100000,100000,0.0529912697772185,0.011932130233447658,3,100000,100000,,,0,,
KDVI-x_shaped-mmd_no_detach-lr1e-4,x_shaped,mmd_no_detach,mmd_no_detach,1e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,0.10487139791472216,0.019408987882128047,3,100000,100000,0.30728678901990253,0.030910634580466348,3,100000,100000,,,0,,
KDVI-multimodal-L2_loss-lr2e-3,multimodal,L2_loss,paired_l2,2e-3,kl_w2,"0,1,7",3,complete,False,,,0,,,5.543247309987003,0.24908220141857376,3,100000,100000,2.1840829054514566,0.019556714817820592,3,100000,100000,,,0,,
KDVI-multimodal-L2_loss-lr1e-3,multimodal,L2_loss,paired_l2,1e-3,kl_w2,"0,1,7",3,complete,False,,,0,,,5.570355588032547,0.22308958612574245,3,100000,100000,2.183800299962362,0.02037878983521837,3,100000,100000,,,0,,
KDVI-multimodal-L2_loss-lr5e-4,multimodal,L2_loss,paired_l2,5e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,5.629077606015515,0.18876235392352286,3,100000,100000,2.1842718919118247,0.020107568283899258,3,100000,100000,,,0,,
KDVI-multimodal-L2_loss-lr2e-4,multimodal,L2_loss,paired_l2,2e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,5.696853803983961,0.10967128517065833,3,100000,100000,2.185511032740275,0.018872119160627105,3,100000,100000,,,0,,
KDVI-multimodal-L2_loss-lr1e-4,multimodal,L2_loss,paired_l2,1e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,5.583279137298823,0.17843490924287736,3,100000,100000,2.1836350758870444,0.020040941546848528,3,100000,100000,,,0,,
KDVI-multimodal-sliced_W2-lr2e-3,multimodal,sliced_W2,sliced_w2,2e-3,kl_w2,"0,1,7",3,complete,False,,,0,,,0.12746265519420538,0.09473788789321196,3,100000,100000,0.2157945353537798,0.16778657112843445,3,100000,100000,,,0,,
KDVI-multimodal-sliced_W2-lr1e-3,multimodal,sliced_W2,sliced_w2,1e-3,kl_w2,"0,1,7",3,complete,False,,,0,,,0.1892278852929401,0.009691952639661454,3,100000,100000,0.3126477003097534,0.0025655748689499035,3,100000,100000,,,0,,
KDVI-multimodal-sliced_W2-lr5e-4,multimodal,sliced_W2,sliced_w2,5e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,0.18620840342115622,0.006897931980186811,3,100000,100000,0.3127557337284088,0.002512377354006634,3,100000,100000,,,0,,
KDVI-multimodal-sliced_W2-lr2e-4,multimodal,sliced_W2,sliced_w2,2e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,0.12537870645653637,0.11866081753896497,3,100000,100000,0.21739769851167998,0.16506128395955785,3,100000,100000,,,0,,
KDVI-multimodal-sliced_W2-lr1e-4,multimodal,sliced_W2,sliced_w2,1e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,0.013162300609883822,0.007865347019532348,3,100000,100000,0.033575113862752914,0.0016701671426909588,3,100000,100000,,,0,,
KDVI-multimodal-mmd_no_detach-lr2e-3,multimodal,mmd_no_detach,mmd_no_detach,2e-3,kl_w2,"0,7",2,incomplete,False,,,0,,,0.001756294416049932,0.007025652063194109,2,100000,100000,0.03322257846593857,0.01623596176569245,2,100000,100000,,,0,,
KDVI-multimodal-mmd_no_detach-lr1e-3,multimodal,mmd_no_detach,mmd_no_detach,1e-3,kl_w2,"0,1,7",3,complete,True,,,0,,,0.005217088075754123,0.003975118886987536,3,100000,100000,0.031141451249519985,0.00840878080503878,3,100000,100000,,,0,,
KDVI-multimodal-mmd_no_detach-lr5e-4,multimodal,mmd_no_detach,mmd_no_detach,5e-4,kl_w2,"0,1,7",3,complete,True,,,0,,,-0.0021049732076137344,0.009420397277816425,3,100000,100000,0.03476328713198503,0.007348656403006078,3,100000,100000,,,0,,
KDVI-multimodal-mmd_no_detach-lr2e-4,multimodal,mmd_no_detach,mmd_no_detach,2e-4,kl_w2,"0,1,7",3,complete,True,,,0,,,-0.010649105368890327,0.010651758154357762,3,100000,100000,0.034961093217134476,0.0060344732832820205,3,100000,100000,,,0,,
KDVI-multimodal-mmd_no_detach-lr1e-4,multimodal,mmd_no_detach,mmd_no_detach,1e-4,kl_w2,"0,1,7",3,complete,False,,,0,,,0.011250099855566596,0.010884217897349403,3,100000,100000,0.038636757681767143,0.005051292067674425,3,100000,100000,,,0,,
KDVI-8_gaussians-L2_loss-lr2e-3,8_gaussians,L2_loss,paired_l2,2e-3,kl_w2,"0,1,7",3,complete,False,,,0,,,5.70525112171703,0.21386961947594382,3,100000,100000,3.989609479904175,0.02607809160096482,3,100000,100000,,,0,,
KDVI-8_gaussians-L2_loss-lr1e-3,8_gaussians,L2_loss,paired_l2,1e-3,kl_w2,"0,1,7",3,complete,False,,,0,,,5.648224787857935,0.14640983396011822,3,100000,100000,3.9904170831044516,0.034660356461076985,3,100000,100000,,,0,,
