jitter_a,jitter_b,n_seeds,reference_mean_l2_mean,reference_mean_l2_n,reference_mean_l2_sd,reference_mean_rms_mean,reference_mean_rms_n,reference_mean_rms_sd,relative_reference_mean_l2_mean,relative_reference_mean_l2_n,relative_reference_mean_l2_sd
0.0,0.0001,3,0.8999240204395645,3,1.553059167130549,0.5845546880604783,3,0.9150572417390738,0.0017529787827320527,3,0.002411622419205206
0.0,0.001,3,1.1819697257889372,3,2.040617472766384,0.6680681449375864,3,1.05046752413527,0.002274912133370417,3,0.003202699897755434
0.0,0.01,3,2.279137378999575,3,3.9388802502528852,0.9173296379705144,3,1.4684909163664206,0.004205517123301212,3,0.0063227458266652
0.0001,0.001,3,1.711638531566588,3,2.95879300302237,0.7935981907165567,3,1.273876236094776,0.003134699087733723,3,0.004773186853040121
0.0001,0.01,3,1.9934620962168408,3,3.4439735956043562,0.8606121449615265,3,1.3708439912121078,0.003723459834907269,3,0.00548212868916519
0.001,0.01,3,2.0591069190975473,3,3.557996397290164,0.8734691361778809,3,1.3943593083790564,0.0038300413532340806,3,0.005698242199086911
