diagnostic_hmc_acceptance_rate,diagnostic_hmc_burn_in_steps,diagnostic_hmc_divergence_fraction,diagnostic_hmc_epsilon_rhat_max,diagnostic_hmc_epsilon_rhat_median,diagnostic_hmc_epsilon_rhat_nonfinite_fraction,diagnostic_hmc_epsilon_rhat_p95,diagnostic_hmc_final_step_size_median,diagnostic_hmc_final_step_size_p05,diagnostic_hmc_final_step_size_p95,diagnostic_hmc_leapfrog_steps,diagnostic_hmc_mean_squared_jump_distance,diagnostic_hmc_num_chains,diagnostic_hmc_post_burn_acceptance_min,diagnostic_hmc_post_burn_acceptance_rate,diagnostic_hmc_samples_per_chain,diagnostic_hmc_score_rhat_max,diagnostic_hmc_score_rhat_median,diagnostic_hmc_score_rhat_nonfinite_fraction,diagnostic_hmc_score_rhat_p95,diagnostic_hmc_thinning,diagnostic_hmc_total_samples,epoch,forward_batch_size,jitter_scale,method,method_l2,method_l2_z_sd,method_relative_l2,method_score_sq_norm,method_target_l2,progress,reference_internal_l2,reference_mean_mcse_l2,reference_mean_score_sq_norm,reference_num_chains,reference_quality_issues,reference_quality_status,reference_repeat_internal_l2,reference_runtime_sec,reference_samples_per_chain,reference_seed,reference_target_l2,run_id,seed,target,target_score_sq_norm
0.9961153645833334,500,0.0,5.979109764099121,1.0350191593170166,0.0,1.4315765142440788,0.0072482009418308735,0.006794331129640341,0.007314011920243502,20,0.023292686744786986,10,0.923,0.9953458984375001,1000,1.4769428968429565,1.0037755966186523,0.0,1.0504851579666137,1,10000,10000,1024,0.0,DSIVI,2.721436332300707,13.267279211471394,0.31525392615338954,6.166357937465317,2.778985319156253,1.0,0.7412932718173832,0.08236591909082036,8.63252161680159,10,,pass,"[0.676337105753595, 0.7645992785189433, 0.8061535233429831, 0.8176525489241611, 0.7700831981015004, 0.6761332833089839, 0.7549088297215611, 0.6919135691823817, 0.7906401633283935, 0.6645112179913288]",91.15602598898113,1000,1147897091,5.354048268108471,seed42_dsivi_8_gaussians,42,8_gaussians,9.68164580751452
0.996118359375,500,0.0,5.979119300842285,1.0346187353134155,0.0,1.4263177275657648,0.007248232141137123,0.006794435903429985,0.007314030546694994,20,0.0233001571410567,10,0.923,0.9953509765625,1000,1.4769599437713623,1.0037742853164673,0.0,1.0487844705581664,1,10000,10000,1024,0.0001,DSIVI,2.7204794054560884,13.267334593473931,0.31501978723180263,6.166357937465317,2.778985319156253,1.0,0.7381008330458256,0.0820112036717584,8.635900079045713,10,,pass,"[0.6693278425730718, 0.7658303214316603, 0.7997999838970548, 0.8285434398277864, 0.7572835236502488, 0.6865226155420877, 0.7544533599576252, 0.6926390713366368, 0.7783260576962573, 0.6482821145458264]",90.86407385021448,1000,1147897091,5.352917092217642,seed42_dsivi_8_gaussians,42,8_gaussians,9.68164580751452
0.9961189453125,500,0.0,5.979103088378906,1.0340535640716553,0.0,1.4233321428298948,0.0072482009418308735,0.00679496256634593,0.007314031943678856,20,0.023299645401217747,10,0.923,0.9953515625,1000,1.4769339561462402,1.0037115812301636,0.0,1.0489879965782165,1,10000,10000,1024,0.001,DSIVI,2.7237061766388306,13.270105520009404,0.3151038687421396,6.166357937465317,2.778985319156253,1.0,0.7445474997698771,0.0827274999744308,8.64383603892764,10,,pass,"[0.6747701425564866, 0.8141106509749979, 0.800078455461068, 0.7993914697864378, 0.7600023893114074, 0.6885687732720271, 0.7507980186067676, 0.6947622934157219, 0.7821081376717529, 0.6808846666421032]",96.07721841149032,1000,1147897091,5.356727346393198,seed42_dsivi_8_gaussians,42,8_gaussians,9.68164580751452
0.9961211588541666,500,0.0,5.97914457321167,1.0349215269088745,0.0,1.4233248829841612,0.0072480663657188416,0.006795761175453663,0.007314087823033333,20,0.023298943428976454,10,0.923,0.99535537109375,1000,1.4768528938293457,1.0038632154464722,0.0,1.0496898114681243,1,10000,10000,1024,0.01,DSIVI,2.7188331102428926,13.266622039818683,0.3150718882328801,6.166357937465317,2.778985319156253,1.0,0.738422877214447,0.08204698635716078,8.629246885502246,10,,pass,"[0.6709818566921373, 0.7799645387593945, 0.8025437336411736, 0.815303888896171, 0.7687151638608789, 0.6555859933856327, 0.7286317889871616, 0.6908113321677665, 0.7912453771717508, 0.6804450985824019]",96.08158889226615,1000,1147897091,5.356592866884471,seed42_dsivi_8_gaussians,42,8_gaussians,9.68164580751452
0.9959579427083334,500,1.4322916666666667e-06,4.476118564605713,1.0465278625488281,0.0,1.426637351512909,0.007239475846290588,0.006777782458811998,0.007311966270208359,20,0.02358576354695481,10,0.8,0.9951365234375,1000,3.520850419998169,1.004714846611023,0.0,1.076846432685852,1,10000,10000,1024,0.0,DSIVI,2.782811848905466,21.46190006040437,0.30215347205791493,5.999750324100484,2.2821009665878655,1.0,0.8797280945012238,0.09774756605569153,9.20992841800631,10,,pass,"[0.6864523848562112, 0.991378179998424, 0.9610904993133749, 1.0322688713891255, 0.9157103809557642, 0.9145084846616242, 0.77118640018718, 0.8998453011185686, 0.8316781758340628, 0.7931622666979019]",90.4572466686368,1000,807250933,5.115431429340326,seed43_dsivi_8_gaussians,43,8_gaussians,8.562287372584011
0.9959574869791666,500,1.4322916666666667e-06,4.476124286651611,1.04662024974823,0.0,1.4157495260238644,0.00723969005048275,0.006777788512408733,0.00731196254491806,20,0.02359143618795107,10,0.8,0.9951360351562499,1000,3.503697156906128,1.0046433210372925,0.0,1.0713220357894895,1,10000,10000,1024,0.0001,DSIVI,2.7888552224964744,21.46247365765087,0.30243003818448483,5.999750324100484,2.2821009665878655,1.0,0.8821028367688966,0.09801142630765518,9.221488841644922,10,,pass,"[0.6870779173771692, 1.0160611583852923, 0.9463556434663188, 1.0363694601515174, 0.931659841244439, 0.8724068667747338, 0.7565783216838378, 0.88830849520696, 0.8296596907985552, 0.8565509726001409]",98.5044005960226,1000,807250933,5.122252546582528,seed43_dsivi_8_gaussians,43,8_gaussians,8.562287372584011
0.9959525390625,500,1.5625e-06,4.476132392883301,1.0469931364059448,0.0,1.4245745956897726,0.0072397212497889996,0.006777810398489237,0.007311992812901735,20,0.023582595889809595,10,0.8,0.99512880859375,1000,3.5121803283691406,1.004673957824707,0.0,1.076886147260666,1,10000,10000,1024,0.001,DSIVI,2.791781256857977,21.462383898713792,0.3031495207414452,5.999750324100484,2.2821009665878655,1.0,0.8830696787821991,0.09811885319802212,9.209255056810973,10,,pass,"[0.6841823183990212, 1.0065841313692598, 0.9279425164833837, 1.0298760659208406, 0.9207896965514104, 0.8813351902114948, 0.7854245797351129, 0.8877288081212957, 0.8331255704380119, 0.8737079105921601]",94.27989151701331,1000,807250933,5.130720165310629,seed43_dsivi_8_gaussians,43,8_gaussians,8.562287372584011
0.9959664713541667,500,3.90625e-07,4.476250648498535,1.0461621284484863,0.0,1.4075841248035428,0.007239848840981722,0.0067781307734549046,0.007312051486223936,20,0.023584071323496228,10,0.886,0.9951446289062501,1000,3.5066006183624268,1.0046241283416748,0.0,1.0724174499511718,1,10000,10000,1024,0.01,DSIVI,2.7876498761018507,21.45689027262714,0.3026804633566372,5.999750324100484,2.2821009665878655,1.0,0.8685782385964931,0.09650869317738812,9.209877126483931,10,,pass,"[0.6820382106080942, 0.8518587858593605, 0.9302581119319706, 1.0446757001145288, 0.917730619443083, 0.8754240989730913, 0.8047289748368744, 0.8932544006995382, 0.8160420688414098, 0.8697714146569804]",96.24852408468723,1000,807250933,5.123531799767083,seed43_dsivi_8_gaussians,43,8_gaussians,8.562287372584011
0.9380878906250001,500,0.00014010416666666666,5.398762226104736,1.0031094551086426,0.0,1.256406849622725,0.0045212432742118835,0.0018746218411251903,0.006766852922737598,20,0.004290641806899327,10,0.54,0.93277744140625,1000,1.5201709270477295,1.0004178285598755,0.0,1.0182710886001587,1,10000,10000,1024,0.0,DSIVI,585.9627823145083,3676.677546948944,0.9877159709218565,5.5819122931371155,4.976258439225558,1.0,102.0160850900287,11.335120565558745,593.2502860793237,10,,pass,"[77.74149001495269, 73.17744572807223, 149.29368707111934, 125.18365972156282, 80.12884001559556, 146.07451618928138, 145.17512651345882, 59.40927617207125, 102.77887900707958, 61.19793046709327]",95.81722466275096,1000,49527168,592.026082419571,seed44_dsivi_8_gaussians,44,8_gaussians,10.321472141457411
0.9379678385416668,500,0.00023971354166666667,5.390839576721191,1.0033364295959473,0.0,1.2600266814231873,0.00452632550150156,0.001875458168797195,0.006762603763490915,20,0.004293018504711649,10,0.303,0.9325721679687501,1000,1.5185275077819824,1.0004132986068726,0.0,1.018489307165146,1,10000,10000,1024,0.0001,DSIVI,587.4772696817582,3676.72314742492,0.9880080267975853,5.5819122931371155,4.976258439225558,1.0,99.72279326060453,11.080310362289392,594.6077903698201,10,,pass,"[75.58937228071393, 73.04348969024556, 149.9591266028415, 124.38275748236492, 79.89844669436343, 127.67446293014878, 95.89862955913858, 102.84898434134547, 105.57952464838716, 62.35313837649605]",99.34555646404624,1000,49527168,593.604837354005,seed44_dsivi_8_gaussians,44,8_gaussians,10.321472141457411
