chain,draw,phase,pc1,pc2,epsilon_0,epsilon_1
0,336,late,0.43557066,0.86780542,0.43557066,0.86780542
0,339,late,0.46590132,0.84204149,0.46590132,0.84204149
0,342,late,0.48155043,0.79633665,0.48155043,0.79633665
0,345,late,0.52151722,0.84418184,0.52151722,0.84418184
0,348,late,0.42623892,0.82553363,0.42623892,0.82553363
0,352,late,0.49047464,0.81232011,0.49047464,0.81232011
0,355,late,0.50791818,0.82306266,0.50791818,0.82306266
0,358,late,0.48813689,0.73606098,0.48813689,0.73606098
0,361,late,0.50302190,0.65072542,0.50302190,0.65072542
0,364,late,0.57629901,0.68787241,0.57629901,0.68787241
0,368,late,0.56598097,0.65327311,0.56598097,0.65327311
0,371,late,0.62092704,0.65298742,0.62092704,0.65298742
0,374,late,0.51417577,0.70432431,0.51417577,0.70432431
0,377,late,0.48748231,0.69070488,0.48748231,0.69070488
0,380,late,0.46897024,0.79504150,0.46897024,0.79504150
0,384,late,0.50270045,0.79761577,0.50270045,0.79761577
0,387,late,0.56212664,0.76566732,0.56212664,0.76566732
0,390,late,0.51930571,0.77702755,0.51930571,0.77702755
0,393,late,0.49745029,0.72037071,0.49745029,0.72037071
0,396,late,0.55477381,0.79897249,0.55477381,0.79897249
0,400,late,0.56147665,0.87825829,0.56147665,0.87825829
0,403,late,0.51167727,0.90250325,0.51167727,0.90250325
0,406,late,0.40900406,0.78465831,0.40900406,0.78465831
0,409,late,0.46420500,0.79622155,0.46420500,0.79622155
0,412,late,0.49335203,0.68801534,0.49335203,0.68801534
0,416,late,0.44941112,0.80950528,0.44941112,0.80950528
0,419,late,0.48833787,0.88735312,0.48833787,0.88735312
0,422,late,0.45823234,0.89862138,0.45823234,0.89862138
0,425,late,0.56064105,0.84968668,0.56064105,0.84968668
0,428,late,0.51171941,0.91369504,0.51171941,0.91369504
0,432,late,0.50415409,0.87676769,0.50415409,0.87676769
0,435,late,0.43179807,0.85593826,0.43179807,0.85593826
0,438,late,0.46661022,0.95770198,0.46661022,0.95770198
0,441,late,0.43134654,0.83123338,0.43134654,0.83123338
0,444,late,0.35416570,0.73093921,0.35416570,0.73093921
0,448,late,0.39682484,0.74944198,0.39682484,0.74944198
0,451,late,0.45481837,0.72204983,0.45481837,0.72204983
0,454,late,0.45082450,0.70335996,0.45082450,0.70335996
0,457,late,0.45899767,0.70350218,0.45899767,0.70350218
0,460,late,0.49715778,0.64755005,0.49715778,0.64755005
0,464,late,0.46097097,0.70372605,0.46097097,0.70372605
0,467,late,0.49129492,0.72151262,0.49129492,0.72151262
0,470,late,0.46899778,0.73849934,0.46899778,0.73849934
0,473,late,0.42444360,0.70591867,0.42444360,0.70591867
0,476,late,0.45352226,0.74801415,0.45352226,0.74801415
0,480,late,0.42269140,0.71531844,0.42269140,0.71531844
0,483,late,0.35072011,0.60489631,0.35072011,0.60489631
0,486,late,0.23926233,0.60458410,0.23926233,0.60458410
0,489,late,0.21286596,0.53164935,0.21286596,0.53164935
0,492,late,0.28884548,0.57015467,0.28884548,0.57015467
0,496,late,0.27335277,0.49374431,0.27335277,0.49374431
0,499,late,0.22614063,0.44191113,0.22614063,0.44191113
1,2,early,2.45500922,2.77791882,2.45500922,2.77791882
1,5,early,2.37421107,2.74616122,2.37421107,2.74616122
1,8,early,2.46721148,2.72578382,2.46721148,2.72578382
1,12,early,2.44904613,2.67487264,2.44904613,2.67487264
1,15,early,2.36314392,2.64863467,2.36314392,2.64863467
1,18,early,2.41839480,2.71975827,2.41839480,2.71975827
1,21,early,2.40468407,2.75227571,2.40468407,2.75227571
1,24,early,2.35100484,2.76095343,2.35100484,2.76095343
1,28,early,2.38000107,2.78413320,2.38000107,2.78413320
1,31,early,2.45957303,2.75407887,2.45957303,2.75407887
1,34,early,2.39754057,2.76282024,2.39754057,2.76282024
1,37,early,2.48554254,2.76482964,2.48554254,2.76482964
1,40,early,2.48237157,2.75611043,2.48237157,2.75611043
1,44,early,2.48571515,2.85132051,2.48571515,2.85132051
1,47,early,2.53800249,2.93586087,2.53800249,2.93586087
1,50,early,2.53833294,2.81978178,2.53833294,2.81978178
1,53,early,2.51858377,2.79948163,2.51858377,2.79948163
1,56,early,2.49469209,2.86169791,2.49469209,2.86169791
1,60,early,2.55085897,2.84226108,2.55085897,2.84226108
1,63,early,2.55471492,2.88726878,2.55471492,2.88726878
1,66,early,2.57362342,2.92222905,2.57362342,2.92222905
1,69,early,2.56456065,2.93766189,2.56456065,2.93766189
1,72,early,2.60461664,2.94206357,2.60461664,2.94206357
1,76,early,2.59194922,2.91559410,2.59194922,2.91559410
1,79,early,2.57659864,2.85956049,2.57659864,2.85956049
1,82,early,2.57220340,2.76075792,2.57220340,2.76075792
1,85,early,2.50115752,2.77448869,2.50115752,2.77448869
1,88,early,2.54946756,2.73274374,2.54946756,2.73274374
1,92,early,2.62858844,2.79771018,2.62858844,2.79771018
1,95,early,2.69984412,2.71750021,2.69984412,2.71750021
1,98,early,2.67821240,2.69911337,2.67821240,2.69911337
1,101,early,2.69581127,2.66314268,2.69581127,2.66314268
1,104,early,2.64227343,2.61214113,2.64227343,2.61214113
1,108,early,2.70654869,2.54966855,2.70654869,2.54966855
1,111,early,2.68695283,2.58939362,2.68695283,2.58939362
1,114,early,2.72417545,2.59541750,2.72417545,2.59541750
1,117,early,2.71873021,2.62918591,2.71873021,2.62918591
1,120,early,2.69247532,2.66912842,2.69247532,2.66912842
1,124,early,2.76555300,2.76125169,2.76555300,2.76125169
1,127,early,2.73601770,2.79238081,2.73601770,2.79238081
1,130,early,2.70519042,2.72728229,2.70519042,2.72728229
1,133,early,2.84267282,2.76671648,2.84267282,2.76671648
1,136,early,2.88480639,2.79178405,2.88480639,2.79178405
1,140,early,2.84521389,2.84031367,2.84521389,2.84031367
1,143,early,2.83101249,2.80852294,2.83101249,2.80852294
1,146,early,2.77039599,2.82166147,2.77039599,2.82166147
1,149,early,2.77472806,2.74303675,2.77472806,2.74303675
1,152,early,2.76518059,2.67398167,2.76518059,2.67398167
1,156,early,2.81643271,2.64719701,2.81643271,2.64719701
1,159,early,2.72650194,2.62789369,2.72650194,2.62789369
1,162,early,2.71416140,2.62607694,2.71416140,2.62607694
1,165,early,2.69468045,2.74531674,2.69468045,2.74531674
1,168,early,2.74974632,2.73065305,2.74974632,2.73065305
1,172,early,2.80959058,2.72024298,2.80959058,2.72024298
1,175,early,2.80271816,2.73456073,2.80271816,2.73456073
1,178,early,2.82917523,2.74911237,2.82917523,2.74911237
1,181,early,2.77296042,2.76623368,2.77296042,2.76623368
1,184,early,2.67904186,2.77773499,2.67904186,2.77773499
1,188,early,2.66256404,2.83391643,2.66256404,2.83391643
1,191,early,2.65688634,2.89176702,2.65688634,2.89176702
1,194,early,2.58467364,2.85393929,2.58467364,2.85393929
1,197,early,2.60985518,2.78753614,2.60985518,2.78753614
1,200,early,2.64634633,2.92322350,2.64634633,2.92322350
1,204,early,2.67129707,2.89147830,2.67129707,2.89147830
1,207,early,2.66814947,2.79898429,2.66814947,2.79898429
1,210,early,2.70132613,2.74792027,2.70132613,2.74792027
1,213,early,2.76466513,2.76867390,2.76466513,2.76867390
1,216,early,2.84303808,2.65953159,2.84303808,2.65953159
1,220,early,2.87146044,2.73637819,2.87146044,2.73637819
1,223,early,2.90543890,2.76092196,2.90543890,2.76092196
1,226,early,2.94612789,2.74160862,2.94612789,2.74160862
1,229,early,3.00939298,2.72495461,3.00939298,2.72495461
1,232,early,2.96890879,2.73906493,2.96890879,2.73906493
1,236,early,2.93215561,2.74562001,2.93215561,2.74562001
1,239,early,2.86533165,2.70902371,2.86533165,2.70902371
1,242,early,2.81500387,2.77798247,2.81500387,2.77798247
1,245,early,2.85691357,2.74721599,2.85691357,2.74721599
1,248,early,2.87838578,2.80932260,2.87838578,2.80932260
1,252,late,2.89372063,2.83227324,2.89372063,2.83227324
1,255,late,2.93015361,2.94055223,2.93015361,2.94055223
1,258,late,2.88424945,2.98093510,2.88424945,2.98093510
1,261,late,2.92829180,2.90866852,2.92829180,2.90866852
1,264,late,2.85433221,2.84857225,2.85433221,2.84857225
1,268,late,2.81039596,2.75350261,2.81039596,2.75350261
1,271,late,2.81071043,2.67650437,2.81071043,2.67650437
1,274,late,2.82824492,2.67354059,2.82824492,2.67354059
1,277,late,2.87340689,2.71025777,2.87340689,2.71025777
1,280,late,2.86906385,2.72368908,2.86906385,2.72368908
1,284,late,2.94704556,2.65360928,2.94704556,2.65360928
1,287,late,3.07859755,2.65608406,3.07859755,2.65608406
1,290,late,3.03821135,2.62522817,3.03821135,2.62522817
1,293,late,2.94611573,2.64472795,2.94611573,2.64472795
1,296,late,2.85287571,2.75917411,2.85287571,2.75917411
1,300,late,2.93198180,2.76601982,2.93198180,2.76601982
1,303,late,2.98695564,2.70546532,2.98695564,2.70546532
1,306,late,3.02278447,2.77779651,3.02278447,2.77779651
1,309,late,3.08913827,2.74705648,3.08913827,2.74705648
1,312,late,3.11479044,2.71921730,3.11479044,2.71921730
1,316,late,3.02682781,2.70855975,3.02682781,2.70855975
1,319,late,3.02191591,2.71416473,3.02191591,2.71416473
1,322,late,3.11032248,2.69859433,3.11032248,2.69859433
1,325,late,2.93016100,2.62845230,2.93016100,2.62845230
1,328,late,2.93941689,2.62186861,2.93941689,2.62186861
1,332,late,3.09827137,2.61170411,3.09827137,2.61170411
1,335,late,3.14259291,2.65358520,3.14259291,2.65358520
1,338,late,3.18753552,2.71970510,3.18753552,2.71970510
1,341,late,3.21311164,2.57525539,3.21311164,2.57525539
1,344,late,3.30940461,2.64844131,3.30940461,2.64844131
1,348,late,3.28095269,2.66094518,3.28095269,2.66094518
1,351,late,3.30769038,2.58449030,3.30769038,2.58449030
1,354,late,3.29500651,2.61068892,3.29500651,2.61068892
1,357,late,3.32022619,2.66479611,3.32022619,2.66479611
1,360,late,3.30991650,2.61268520,3.30991650,2.61268520
1,364,late,3.31309485,2.52347660,3.31309485,2.52347660
1,367,late,3.32331800,2.58112407,3.32331800,2.58112407
1,370,late,3.30747581,2.68313432,3.30747581,2.68313432
1,373,late,3.22371602,2.63702536,3.22371602,2.63702536
1,376,late,3.21351075,2.67678499,3.21351075,2.67678499
1,380,late,3.21314979,2.68442130,3.21314979,2.68442130
1,383,late,3.26838946,2.64073491,3.26838946,2.64073491
1,386,late,3.27130866,2.63233399,3.27130866,2.63233399
1,389,late,3.21079063,2.69952655,3.21079063,2.69952655
1,392,late,3.20216632,2.71771884,3.20216632,2.71771884
1,396,late,3.13888454,2.66810107,3.13888454,2.66810107
1,399,late,3.16197586,2.78370047,3.16197586,2.78370047
1,402,late,3.15189171,2.72220659,3.15189171,2.72220659
1,405,late,3.06417823,2.66581583,3.06417823,2.66581583
1,408,late,2.98792410,2.64457226,2.98792410,2.64457226
1,412,late,3.01094580,2.60133410,3.01094580,2.60133410
1,415,late,2.94823694,2.54128194,2.94823694,2.54128194
1,418,late,2.97530198,2.59091592,2.97530198,2.59091592
1,421,late,2.88170958,2.57700300,2.88170958,2.57700300
1,424,late,2.85530925,2.54787755,2.85530925,2.54787755
1,428,late,2.78418612,2.53556395,2.78418612,2.53556395
1,431,late,2.74426007,2.53672361,2.74426007,2.53672361
1,434,late,2.68362713,2.54483724,2.68362713,2.54483724
1,437,late,2.68052554,2.55612350,2.68052554,2.55612350
1,440,late,2.67210650,2.51723099,2.67210650,2.51723099
1,444,late,2.75216365,2.49807239,2.75216365,2.49807239
1,447,late,2.78049779,2.62311196,2.78049779,2.62311196
1,450,late,2.71546793,2.64253354,2.71546793,2.64253354
1,453,late,2.72989368,2.61318421,2.72989368,2.61318421
1,456,late,2.76174784,2.68094969,2.76174784,2.68094969
1,460,late,2.62789893,2.56775212,2.62789893,2.56775212
1,463,late,2.65641284,2.50483656,2.65641284,2.50483656
1,466,late,2.70113802,2.47395110,2.70113802,2.47395110
1,469,late,2.65982962,2.38316870,2.65982962,2.38316870
1,472,late,2.65433002,2.34441662,2.65433002,2.34441662
1,476,late,2.67148781,2.38848734,2.67148781,2.38848734
1,479,late,2.69617534,2.30975080,2.69617534,2.30975080
1,482,late,2.75913167,2.39783883,2.75913167,2.39783883
1,485,late,2.74868727,2.49987769,2.74868727,2.49987769
1,488,late,2.67835307,2.56342125,2.67835307,2.56342125
1,492,late,2.68562865,2.62950993,2.68562865,2.62950993
1,495,late,2.76899695,2.52779722,2.76899695,2.52779722
1,498,late,2.78131819,2.62140560,2.78131819,2.62140560
2,1,early,-0.03960700,0.25345775,-0.03960700,0.25345775
2,4,early,-0.06241375,0.26935285,-0.06241375,0.26935285
2,8,early,-0.12811093,0.25242636,-0.12811093,0.25242636
2,11,early,-0.16139029,0.34083202,-0.16139029,0.34083202
2,14,early,-0.16555442,0.36058447,-0.16555442,0.36058447
2,17,early,-0.09917892,0.44918209,-0.09917892,0.44918209
2,20,early,-0.10485575,0.40015686,-0.10485575,0.40015686
2,24,early,-0.16595167,0.50367272,-0.16595167,0.50367272
2,27,early,-0.15252915,0.51781881,-0.15252915,0.51781881
2,30,early,-0.16829722,0.52658075,-0.16829722,0.52658075
2,33,early,-0.14981216,0.50717366,-0.14981216,0.50717366
2,36,early,-0.12283126,0.48581663,-0.12283126,0.48581663
2,40,early,-0.12670520,0.40055904,-0.12670520,0.40055904
2,43,early,-0.12756026,0.43940681,-0.12756026,0.43940681
2,46,early,-0.15285449,0.39876673,-0.15285449,0.39876673
2,49,early,-0.16484809,0.31096125,-0.16484809,0.31096125
2,52,early,-0.16833031,0.24342348,-0.16833031,0.24342348
2,56,early,-0.12358257,0.18005252,-0.12358257,0.18005252
2,59,early,0.01001526,0.15684557,0.01001526,0.15684557
2,62,early,0.07942443,0.15994692,0.07942443,0.15994692
2,65,early,0.08978321,0.12148350,0.08978321,0.12148350
2,68,early,0.00853504,0.18828192,0.00853504,0.18828192
2,72,early,-0.11311850,0.24388862,-0.11311850,0.24388862
2,75,early,-0.14068480,0.21161908,-0.14068480,0.21161908
2,78,early,-0.14668214,0.22789267,-0.14668214,0.22789267
2,81,early,-0.17551582,0.22590756,-0.17551582,0.22590756
2,84,early,-0.11768264,0.28876889,-0.11768264,0.28876889
2,88,early,-0.09013729,0.20674637,-0.09013729,0.20674637
2,91,early,-0.20462699,0.16388664,-0.20462699,0.16388664
2,94,early,-0.16180421,0.25973544,-0.16180421,0.25973544
2,97,early,-0.09506626,0.28653884,-0.09506626,0.28653884
2,100,early,-0.13493529,0.29227051,-0.13493529,0.29227051
2,104,early,-0.10619873,0.22898050,-0.10619873,0.22898050
2,107,early,-0.14284430,0.28641999,-0.14284430,0.28641999
2,110,early,-0.12808485,0.35239193,-0.12808485,0.35239193
2,113,early,-0.07777169,0.28066093,-0.07777169,0.28066093
2,116,early,0.00169735,0.20414245,0.00169735,0.20414245
2,120,early,-0.06315593,0.12411083,-0.06315593,0.12411083
2,123,early,-0.06913365,0.15910839,-0.06913365,0.15910839
2,126,early,0.02837216,0.08549386,0.02837216,0.08549386
2,129,early,0.02985105,0.13540183,0.02985105,0.13540183
2,132,early,0.07446209,0.23223664,0.07446209,0.23223664
2,136,early,0.00590074,0.23714000,0.00590074,0.23714000
2,139,early,-0.05549442,0.27570489,-0.05549442,0.27570489
2,142,early,-0.09560183,0.29573596,-0.09560183,0.29573596
2,145,early,-0.16815469,0.34590256,-0.16815469,0.34590256
2,148,early,-0.12104885,0.37720767,-0.12104885,0.37720767
2,152,early,-0.06415445,0.45817536,-0.06415445,0.45817536
2,155,early,-0.08588655,0.46758568,-0.08588655,0.46758568
2,158,early,0.02370257,0.51207644,0.02370257,0.51207644
2,161,early,0.00320371,0.51791602,0.00320371,0.51791602
2,164,early,0.04594122,0.38646206,0.04594122,0.38646206
2,168,early,-0.00393831,0.43256295,-0.00393831,0.43256295
2,171,early,-0.06321572,0.42302552,-0.06321572,0.42302552
2,174,early,0.03950757,0.36540577,0.03950757,0.36540577
2,177,early,0.02658134,0.38744459,0.02658134,0.38744459
2,180,early,0.06383199,0.48610598,0.06383199,0.48610598
2,184,early,0.27034262,0.56809002,0.27034262,0.56809002
2,187,early,0.25118411,0.57159173,0.25118411,0.57159173
2,190,early,0.13656305,0.54754245,0.13656305,0.54754245
2,193,early,0.22720478,0.56908476,0.22720478,0.56908476
2,196,early,0.24259959,0.52870864,0.24259959,0.52870864
2,200,early,0.19413862,0.43285835,0.19413862,0.43285835
2,203,early,0.18695061,0.46636793,0.18695061,0.46636793
2,206,early,0.25158763,0.45503879,0.25158763,0.45503879
2,209,early,0.22040698,0.49067137,0.22040698,0.49067137
2,212,early,0.24291271,0.53401136,0.24291271,0.53401136
2,216,early,0.17318274,0.60972935,0.17318274,0.60972935
2,219,early,0.17527953,0.58118039,0.17527953,0.58118039
2,222,early,0.36862415,0.56125301,0.36862415,0.56125301
2,225,early,0.30137891,0.56939924,0.30137891,0.56939924
2,228,early,0.26523930,0.57226431,0.26523930,0.57226431
2,232,early,0.25859958,0.66672474,0.25859958,0.66672474
2,235,early,0.30803472,0.70710039,0.30803472,0.70710039
2,238,early,0.35795459,0.85359472,0.35795459,0.85359472
2,241,early,0.41261533,0.87000293,0.41261533,0.87000293
2,244,early,0.39869434,0.80917561,0.39869434,0.80917561
2,248,early,0.50004047,0.82144320,0.50004047,0.82144320
2,251,late,0.51465803,0.82164270,0.51465803,0.82164270
2,254,late,0.54923964,0.75854427,0.54923964,0.75854427
2,257,late,0.46291161,0.81155646,0.46291161,0.81155646
2,260,late,0.51956719,0.76068264,0.51956719,0.76068264
2,264,late,0.51457345,0.73334527,0.51457345,0.73334527
2,267,late,0.46956250,0.74263191,0.46956250,0.74263191
2,270,late,0.46096468,0.75934547,0.46096468,0.75934547
2,273,late,0.41976002,0.69700909,0.41976002,0.69700909
2,276,late,0.45106754,0.78327841,0.45106754,0.78327841
2,280,late,0.38116968,0.74042338,0.38116968,0.74042338
2,283,late,0.41863647,0.70071447,0.41863647,0.70071447
2,286,late,0.42939010,0.84540224,0.42939010,0.84540224
2,289,late,0.49016273,0.89333564,0.49016273,0.89333564
2,292,late,0.39108059,0.82300425,0.39108059,0.82300425
2,296,late,0.43732411,0.82125580,0.43732411,0.82125580
2,299,late,0.46918526,0.76813203,0.46918526,0.76813203
2,302,late,0.40800714,0.76406902,0.40800714,0.76406902
2,305,late,0.34464413,0.77779061,0.34464413,0.77779061
2,308,late,0.45805961,0.70725560,0.45805961,0.70725560
2,312,late,0.49584424,0.73579502,0.49584424,0.73579502
2,315,late,0.51760417,0.63099456,0.51760417,0.63099456
2,318,late,0.49439088,0.65265095,0.49439088,0.65265095
2,321,late,0.49479869,0.67817497,0.49479869,0.67817497
2,324,late,0.49598446,0.63602602,0.49598446,0.63602602
2,328,late,0.46172324,0.65923059,0.46172324,0.65923059
2,331,late,0.55794400,0.67676824,0.55794400,0.67676824
2,334,late,0.57427323,0.72480726,0.57427323,0.72480726
2,337,late,0.43320367,0.78034770,0.43320367,0.78034770
2,340,late,0.43581599,0.77413833,0.43581599,0.77413833
2,344,late,0.45024189,0.85066015,0.45024189,0.85066015
2,347,late,0.38777775,0.85073787,0.38777775,0.85073787
2,350,late,0.47543228,0.96975791,0.47543228,0.96975791
2,353,late,0.46676016,0.94570565,0.46676016,0.94570565
2,356,late,0.44539982,0.93094498,0.44539982,0.93094498
2,360,late,0.50940973,0.96390092,0.50940973,0.96390092
2,363,late,0.53648585,1.04931700,0.53648585,1.04931700
2,366,late,0.64098567,1.05911100,0.64098567,1.05911100
2,369,late,0.76013023,1.02644634,0.76013023,1.02644634
2,372,late,0.68158484,0.98245883,0.68158484,0.98245883
2,376,late,0.65070397,0.90958452,0.65070397,0.90958452
2,379,late,0.65583444,0.94333243,0.65583444,0.94333243
2,382,late,0.57362139,0.89512533,0.57362139,0.89512533
2,385,late,0.57418382,0.97142398,0.57418382,0.97142398
2,388,late,0.59755236,1.00719452,0.59755236,1.00719452
2,392,late,0.61303729,0.96943843,0.61303729,0.96943843
2,395,late,0.56061918,0.94490254,0.56061918,0.94490254
2,398,late,0.52653658,1.03140247,0.52653658,1.03140247
2,401,late,0.57326853,1.05220485,0.57326853,1.05220485
2,404,late,0.54561967,1.04982567,0.54561967,1.04982567
2,408,late,0.58781397,0.89449203,0.58781397,0.89449203
2,411,late,0.50858122,0.89852977,0.50858122,0.89852977
2,414,late,0.48498669,0.84197122,0.48498669,0.84197122
2,417,late,0.44349959,0.91738814,0.44349959,0.91738814
2,420,late,0.48385841,0.98703301,0.48385841,0.98703301
2,424,late,0.55505139,0.95569688,0.55505139,0.95569688
2,427,late,0.56025666,1.00115776,0.56025666,1.00115776
