step,acceptance_rate,window_acceptance_rate,mean_log_posterior,epsilon_mean_norm,epsilon_sd_mean
0.0,0.0,0.0,-1076.81005859375,0.5844430327415466,0.9949524402618408
50.0,0.9665625,0.9665625,-201.9754638671875,0.5944294929504395,0.868782639503479
100.0,0.9671875000000001,0.9678125,-197.1239013671875,0.6049059629440308,0.8479539752006531
150.0,0.9671875,0.9671875000000001,-195.46038818359375,0.6100656986236572,0.8266105651855469
200.0,0.967421875,0.968125,-194.27157592773438,0.6207332611083984,0.8180437088012695
250.0,0.967625,0.9684375000000001,-193.2106170654297,0.6271991729736328,0.8041677474975586
300.0,0.9677083333333333,0.968125,-192.70079040527344,0.6322478652000427,0.7957769632339478
350.0,0.9678125,0.9684375000000001,-192.27903747558594,0.6523120999336243,0.7883956432342529
400.0,0.9678515624999999,0.968125,-191.81292724609375,0.6651480793952942,0.7898690700531006
450.0,0.9679166666666668,0.9684375000000001,-191.7248077392578,0.6634275317192078,0.7764083743095398
500.0,0.96796875,0.9684375000000001,-191.3263702392578,0.6592634320259094,0.7760763168334961
550.0,0.9680397727272727,0.96875,-191.02684020996094,0.663418710231781,0.7615675926208496
600.0,0.968046875,0.968125,-190.56723022460938,0.6716224551200867,0.7585098743438721
650.0,0.9680288461538462,0.9678125,-190.44505310058594,0.6715822815895081,0.7588979005813599
700.0,0.9680580357142857,0.9684375000000001,-190.4518585205078,0.6668094992637634,0.7671868801116943
750.0,0.9680833333333333,0.9684375000000001,-190.40928649902344,0.6907577514648438,0.7676950693130493
800.0,0.96806640625,0.9678125,-190.4234161376953,0.68819260597229,0.7640185356140137
850.0,0.9680882352941176,0.9684375000000001,-190.2554931640625,0.6925967335700989,0.764603316783905
900.0,0.9681076388888888,0.9684375000000001,-190.03367614746094,0.69094318151474,0.762222170829773
950.0,0.9681249999999999,0.9684375000000001,-189.87350463867188,0.7090780735015869,0.7500979900360107
1000.0,0.96809375,0.9675,-189.77220153808594,0.7160317897796631,0.7465450763702393
1050.0,0.9681101190476191,0.9684375000000001,-189.7207489013672,0.7212802171707153,0.7461671829223633
1100.0,0.9681107954545454,0.968125,-189.63548278808594,0.7174709439277649,0.7503003478050232
1150.0,0.968125,0.9684375000000001,-189.4991455078125,0.7099227905273438,0.740607738494873
1200.0,0.9680859374999999,0.9671875000000001,-189.45718383789062,0.7183761596679688,0.7480030059814453
1250.0,0.9680875,0.968125,-189.45498657226562,0.7100750803947449,0.7520800232887268
1300.0,0.9680889423076924,0.968125,-189.46226501464844,0.7196674346923828,0.7480486035346985
1350.0,0.9680787037037037,0.9678125,-189.47036743164062,0.7288223505020142,0.7468915581703186
1400.0,0.9680803571428571,0.968125,-189.4502716064453,0.7329442501068115,0.7469762563705444
1450.0,0.968092672413793,0.9684375000000001,-189.4105682373047,0.7385362386703491,0.7439277172088623
1500.0,0.96809375,0.968125,-189.3545379638672,0.7419063448905945,0.7398144006729126
1550.0,0.9681149193548387,0.96875,-189.36569213867188,0.7451680898666382,0.7393505573272705
1600.0,0.968125,0.9684375000000001,-189.37269592285156,0.7441930770874023,0.7440411448478699
1650.0,0.9681344696969697,0.9684375000000001,-189.4097900390625,0.7481417059898376,0.7427237033843994
1700.0,0.9681158088235293,0.9675,-189.4274444580078,0.7560303211212158,0.7417814135551453
1750.0,0.9681250000000001,0.9684375000000001,-189.29946899414062,0.7580024003982544,0.7443857192993164
1800.0,0.968125,0.968125,-189.24838256835938,0.7518548965454102,0.7321015000343323
1850.0,0.968133445945946,0.9684375000000001,-189.2747802734375,0.7512473464012146,0.7268838882446289
1900.0,0.968141447368421,0.9684375000000001,-189.3273468017578,0.745825469493866,0.7287310361862183
1950.0,0.9681490384615384,0.9684375000000001,-189.59323120117188,0.7400481700897217,0.7294858694076538
2000.0,0.9681640625000001,0.96875,-189.4464569091797,0.7314112782478333,0.7319842576980591
2050.0,0.968155487804878,0.9678125,-189.28598022460938,0.7329923510551453,0.7245158553123474
2100.0,0.9681696428571429,0.96875,-189.15609741210938,0.7334884405136108,0.7156993746757507
2150.0,0.9681613372093023,0.9678125,-189.20399475097656,0.7299287915229797,0.7172057628631592
2200.0,0.9681747159090909,0.96875,-189.02915954589844,0.7383409738540649,0.7209222316741943
2250.0,0.9681736111111111,0.968125,-189.05355834960938,0.7410724759101868,0.7286698222160339
2300.0,0.9681657608695653,0.9678125,-189.14279174804688,0.7592336535453796,0.7361043691635132
2350.0,0.9681715425531915,0.9684375000000001,-189.12454223632812,0.7504108548164368,0.7404155731201172
2400.0,0.9681770833333334,0.9684375000000001,-189.09475708007812,0.7466273903846741,0.7321035265922546
2450.0,0.9681887755102041,0.96875,-189.13597106933594,0.7448810338973999,0.7358962297439575
2500.0,0.96819375,0.9684375000000001,-189.17501831054688,0.7526639699935913,0.7449201345443726
2550.0,0.9681985294117647,0.9684375000000001,-189.12930297851562,0.7612329125404358,0.7407315373420715
2600.0,0.9681971153846154,0.968125,-189.09744262695312,0.7743560671806335,0.7390810251235962
2650.0,0.9682075471698113,0.96875,-189.0430908203125,0.7730826735496521,0.7384878396987915
2700.0,0.9682118055555555,0.9684375000000001,-189.229248046875,0.7725365161895752,0.7459473609924316
2750.0,0.968215909090909,0.9684375000000001,-189.12322998046875,0.7674910426139832,0.7471660375595093
2800.0,0.9682198660714286,0.9684375000000001,-189.11817932128906,0.7804422378540039,0.7489208579063416
2850.0,0.9682236842105262,0.9684375000000001,-189.16090393066406,0.7719855308532715,0.7374110817909241
2900.0,0.9682058189655172,0.9671875,-189.10923767089844,0.7697681784629822,0.7359374761581421
2950.0,0.9682044491525423,0.968125,-188.9890899658203,0.7676705121994019,0.7285043597221375
3000.0,0.9682083333333333,0.9684375000000001,-189.0426483154297,0.7633832693099976,0.7330293655395508
3050.0,0.9682172131147542,0.96875,-188.99603271484375,0.7628011703491211,0.7311774492263794
3100.0,0.9682258064516129,0.96875,-188.97044372558594,0.7538135051727295,0.7275870442390442
3150.0,0.9682291666666667,0.9684375000000001,-188.9861602783203,0.7384291291236877,0.7193486094474792
3200.0,0.9682275390625,0.968125,-189.060546875,0.7389941811561584,0.7210124731063843
3250.0,0.9682259615384615,0.968125,-188.94061279296875,0.7545002698898315,0.7349995970726013
3300.0,0.9682291666666667,0.9684375000000001,-189.0038604736328,0.7385214567184448,0.7390376329421997
3350.0,0.968232276119403,0.9684375000000001,-189.00242614746094,0.729165256023407,0.7414963245391846
3400.0,0.9682306985294117,0.968125,-189.063720703125,0.7382315993309021,0.7465857267379761
3450.0,0.9682291666666667,0.968125,-189.0048370361328,0.7388085126876831,0.7499630451202393
3500.0,0.9682276785714286,0.968125,-189.0376434326172,0.7514602541923523,0.7539073824882507
3550.0,0.9682306338028168,0.9684375000000001,-189.02821350097656,0.7361345887184143,0.7541558742523193
3600.0,0.9682335069444444,0.9684375000000001,-189.01492309570312,0.7334568500518799,0.7407314777374268
3650.0,0.9682405821917808,0.96875,-189.04165649414062,0.7220032811164856,0.7389175295829773
3700.0,0.9682347972972973,0.9678125,-189.0106658935547,0.7148467898368835,0.7384178638458252
3750.0,0.9682375000000001,0.9684375000000001,-188.96376037597656,0.723983645439148,0.7358145117759705
3800.0,0.9682277960526317,0.9675,-188.89181518554688,0.7313624620437622,0.7291127443313599
3850.0,0.9682305194805194,0.9684375000000001,-188.98373413085938,0.7377643585205078,0.7145529985427856
3900.0,0.9682291666666667,0.968125,-188.9740753173828,0.7242074608802795,0.7172175645828247
3950.0,0.9682278481012658,0.968125,-188.98574829101562,0.7283930778503418,0.7145065069198608
4000.0,0.9682304687500001,0.9684375000000001,-188.8948211669922,0.7264662384986877,0.7074851989746094
4050.0,0.9682291666666667,0.968125,-189.06436157226562,0.7332399487495422,0.7123301029205322
4100.0,0.9682278963414634,0.968125,-189.0354766845703,0.7305478453636169,0.7074289321899414
4150.0,0.968230421686747,0.9684375000000001,-188.96046447753906,0.7219484448432922,0.7038905620574951
4200.0,0.9682291666666667,0.968125,-189.0018768310547,0.7226421236991882,0.7010499835014343
4250.0,0.9682316176470589,0.9684375000000001,-188.96238708496094,0.7191730737686157,0.6927136182785034
4300.0,0.9682376453488373,0.96875,-188.96636962890625,0.7103927135467529,0.7010730504989624
4350.0,0.9682291666666667,0.9675,-188.9292449951172,0.7184882164001465,0.7066130638122559
4400.0,0.9682208806818182,0.9675,-189.0583038330078,0.7255774140357971,0.709372341632843
4450.0,0.9682233146067416,0.9684375000000001,-189.02593994140625,0.7030362486839294,0.7122045755386353
4500.0,0.9682256944444445,0.9684375000000001,-189.07760620117188,0.704879641532898,0.7160632610321045
4550.0,0.9682280219780219,0.9684375000000001,-189.06161499023438,0.7027474045753479,0.7163195610046387
