method,n_seeds,vi_parameters,auxiliary_parameters,total_parameters,elbo_mean,elbo_sd,w2_mean,w2_sd,training_time_sec_mean,training_time_sec_sd,modes_covered_1pct_mean,modes_covered_1pct_sd,near_mode_mass_mean,near_mode_mass_sd,mode_entropy_mean,mode_entropy_sd
DIVI,5,17412,8642,26054,-0.595549114048481,0.6392103832434054,0.2628741279244423,0.2009263414477491,308.06630857512357,5.39240292424774,8.0,0.0,0.9565799832344055,0.009616745269730121,0.9927220714544955,0.008502680808508294
NFVI-16,5,548932,0,548932,-0.2792646884918213,0.04224677210345041,0.4573058903217316,0.13285795355663693,385.0486943602562,3.280062652446046,8.0,0.0,0.9791999697685242,0.0033734190551450117,0.9872931535084296,0.005695817834013775
NFVI-4,5,137236,0,137236,-0.37498111128807066,0.026336817112462413,0.40381866991519927,0.13423060430032394,258.62490131407975,3.378945017919401,8.0,0.0,0.9680999636650085,0.005062127017241757,0.990091408685252,0.004165643086919775
NFVI-8,5,274468,0,274468,-0.2891236811876297,0.043034109249520815,0.5447245299816131,0.15480549315347558,369.14947319701315,79.86923736054906,8.0,0.0,0.9771799683570862,0.003510283030922698,0.9795688523109541,0.004832880196224674
