method,n_seeds,elbo_mean,elbo_sd,elbo_se,w2_mean,w2_sd,w2_se
NFVI-4,5,-0.37403143048286436,0.014180176545253416,0.006341567737626952,0.40232281386852264,0.1192334429798307,0.0533228167388493
NFVI-8,5,-0.2803815722465515,0.047235801674658476,0.021124492703246952,0.5134083449840545,0.15639536626820708,0.06994213406833773
