2026-03-28 21:34:08 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 20, W2 Dist: 0.0378
2026-03-28 21:34:08 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 30, KL Divergence: 0.0022
2026-03-28 21:34:08 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 30, W2 Dist: 0.0246
2026-03-28 21:34:09 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 40, KL Divergence: -0.0057
2026-03-28 21:34:09 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 40, W2 Dist: 0.0312
2026-03-28 21:34:09 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 50, KL Divergence: -0.0017
2026-03-28 21:34:09 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 50, W2 Dist: 0.0333
2026-03-28 21:34:10 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 60, KL Divergence: 0.0140
2026-03-28 21:34:10 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 60, W2 Dist: 0.0294
2026-03-28 21:34:10 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 70, KL Divergence: 0.0004
2026-03-28 21:34:10 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 70, W2 Dist: 0.0266
2026-03-28 21:34:11 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 80, KL Divergence: 0.0028
2026-03-28 21:34:11 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 80, W2 Dist: 0.0305
2026-03-28 21:34:11 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 90, KL Divergence: -0.0042
2026-03-28 21:34:11 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 90, W2 Dist: 0.0332
2026-03-28 21:34:12 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 100, KL Divergence: 0.0051
2026-03-28 21:34:12 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 100, W2 Dist: 0.0253
2026-03-28 21:34:12 | DEBUG | sivi:base_reverse_runner.py:392| _warmup_log_func | Warmup Epoch 100, Average Reverse Model Loss: 5.6768, Avg Step Time: 0.0457s, Avg Steps: 1.0000
2026-03-28 21:34:12 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 110, KL Divergence: -0.0083
2026-03-28 21:34:12 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 110, W2 Dist: 0.0261
2026-03-28 21:34:12 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 120, KL Divergence: 0.0137
2026-03-28 21:34:12 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 120, W2 Dist: 0.0259
2026-03-28 21:34:13 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 130, KL Divergence: -0.0081
2026-03-28 21:34:13 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 130, W2 Dist: 0.0297
2026-03-28 21:34:13 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 140, KL Divergence: -0.0081
2026-03-28 21:34:13 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 140, W2 Dist: 0.0312
2026-03-28 21:34:13 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 150, KL Divergence: -0.0082
2026-03-28 21:34:13 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 150, W2 Dist: 0.0287
2026-03-28 21:34:14 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 160, KL Divergence: 0.0005
2026-03-28 21:34:14 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 160, W2 Dist: 0.0284
2026-03-28 21:34:14 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 170, KL Divergence: -0.0035
2026-03-28 21:34:14 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 170, W2 Dist: 0.0352
2026-03-28 21:34:15 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 180, KL Divergence: -0.0126
2026-03-28 21:34:15 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 180, W2 Dist: 0.0303
2026-03-28 21:34:15 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 190, KL Divergence: 0.0031
2026-03-28 21:34:15 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 190, W2 Dist: 0.0402
2026-03-28 21:34:16 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 200, KL Divergence: -0.0083
2026-03-28 21:34:16 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 200, W2 Dist: 0.0265
2026-03-28 21:34:16 | DEBUG | sivi:base_reverse_runner.py:392| _warmup_log_func | Warmup Epoch 200, Average Reverse Model Loss: 5.6713, Avg Step Time: 0.0415s, Avg Steps: 2.0000
2026-03-28 21:34:16 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 210, KL Divergence: -0.0358
2026-03-28 21:34:16 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 210, W2 Dist: 0.0316
2026-03-28 21:34:17 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 220, KL Divergence: -0.0022
2026-03-28 21:34:17 | DEBUG | sivi:base_reverse_runner.py:382| _warmup_log_func | Warmup Epoch 220, W2 Dist: 0.0315
2026-03-28 21:34:17 | DEBUG | sivi:base_reverse_runner.py:376| _warmup_log_func | Warmup Epoch 230, KL Divergence: -0.0171
