recipe_id,method,target,config_path,seeds_complete,n_seeds,status,kl_ite_final_mean,kl_ite_final_std,kl_ite_final_count,kl_ite_best_mean,kl_ite_best_std,kl_ite_best_count,w2_final_mean,w2_final_std,w2_final_count,w2_best_mean,w2_best_std,w2_best_count,elbo_final_mean,elbo_final_std,elbo_final_count,elbo_best_mean,elbo_best_std,elbo_best_count,kde_expected_log_marginal_final_mean,kde_expected_log_marginal_final_std,kde_expected_log_marginal_final_count,kde_expected_log_marginal_best_mean,kde_expected_log_marginal_best_std,kde_expected_log_marginal_best_count
DSIVI-8_gaussians,DSIVI,8_gaussians,configs/dsivi_8_gaussians.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.2674044903026282,0.20018475717778203,10,0.227684895376055,0.17555389284194148,10,0.28431541919708253,0.19764797104875886,10,0.16586069762706757,0.05797887104204796,10,-0.4630494982004166,0.4097150170476767,10,-0.417880579829216,0.37633857702803675,10,,,0,,,0
KDVI-8_gaussians,KDVI,8_gaussians,configs/kdvi_8_gaussians.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.03946017147552926,0.0147133146461785,10,0.02644468227335853,0.00308683065502381,10,0.20773080959916115,0.08743812662581141,10,0.10932931378483772,0.03250865934775486,10,-0.22187667936086655,0.015686906221252118,10,-0.21189285218715667,0.008736658918858956,10,,,0,,,0
DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,configs/dsivi_8_gaussians.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.6449293509282585,0.15827749421336434,10,0.6000090701733048,0.13130960717075113,10,0.24101483821868896,0.049597391341285525,10,0.07434871420264244,0.009112183004550087,10,-0.8400871932506562,0.15929056522919502,10,-0.790937852859497,0.14863376327440248,10,,,0,,,0
KDVI-8_gaussians_small,KDVI,8_gaussians_small,configs/kdvi_8_gaussians_small.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.17223712256575424,0.3567511448914118,10,0.16117106175418874,0.34634808701517694,10,0.13777673318982125,0.09179730116380723,10,0.0716347586363554,0.03981130908111822,10,-0.3284903772175312,0.6087902004822145,10,-0.3149638868868351,0.6088591246680485,10,,,0,,,0
DSIVI-Langevin_post,DSIVI,Langevin_post,configs/dsivi_Langevin_post.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,,,0,,,0,0.009032762330025434,0.0005320738809641353,10,0.008456174377351999,0.0003786813661750829,10,-196.21236114501954,1.0679647922483715,10,-189.1472946166992,0.6253358091723148,10,75.15112228393555,0.054733941090367624,10,75.17438507080078,0.05143467441403375,10
KDVI-Langevin_post,KDVI,Langevin_post,configs/kdvi_Langevin_post.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,,,0,,,0,0.011831674259155989,0.0003053139879890667,10,0.011510468740016221,0.0002471280448580688,10,-190.87147064208983,0.2657287478269589,10,-190.78366088867188,0.2397737580969114,10,74.75597076416015,0.03649637445868599,10,74.79325256347656,0.04118630269676158,10
DSIVI-banana,DSIVI,banana,configs/dsivi_banana.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.0009552647109145297,0.009519087995010639,10,-0.023189589516257665,0.0054469247663926565,10,0.09973819218575955,0.042155777919768135,10,0.04723587092012167,0.009872918369834172,10,-0.02125267721712589,0.01123535663453631,10,-0.014212136552669109,0.010145922694629533,10,,,0,,,0
KDVI-banana,KDVI,banana,configs/kdvi_banana.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.02872859768585896,0.0054811660770164574,10,0.010470318758196626,0.008652585498725595,10,0.42586514353752136,0.01544679029674824,10,0.2585468843579292,0.0670749124287334,10,-0.04586486201733351,0.006915144875307982,10,-0.042978782765567304,0.006892748555575277,10,,,0,,,0
DSIVI-multimodal,DSIVI,multimodal,configs/dsivi_multimodal.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.0002450159042230031,0.010782559863095642,10,-0.023209893861376868,0.006589572344643979,10,0.036476316303014754,0.013187087517263083,10,0.019331914186477662,0.000820204874801322,10,-0.0010097802907694132,0.0003596578940692159,10,0.0004169805924902903,0.0004352866935955556,10,,,0,,,0
KDVI-multimodal,KDVI,multimodal,configs/kdvi_multimodal.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.001064945137568653,0.0075395739633798455,10,-0.01572362002033051,0.0063488372297950315,10,0.03254094887524843,0.009138826614849322,10,0.021986980363726615,0.002531191106058496,10,-0.006530957017093897,0.0013019710192714816,10,-0.0035934191662818195,0.0010436081577301073,10,,,0,,,0
DSIVI-student_uc,DSIVI,student_uc,configs/dsivi_student_uc.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.008403725848210666,0.012328469666632208,10,-0.016510863083882464,0.003491311311612978,10,0.556532496213913,0.011264991726956105,10,0.5335236430168152,0.005617288671180145,10,-2.6870822668075562,0.006262586172478705,10,-2.6797632455825804,0.004696647619211684,10,,,0,,,0
KDVI-student_uc,KDVI,student_uc,configs/kdvi_student_uc.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.02003801529774525,0.007058761352515799,10,0.0064831178705015684,0.0051140172765649985,10,0.5877405166625976,0.013635522747568058,10,0.553967171907425,0.01853661683768792,10,-2.6978663921356203,0.004064808882636296,10,-2.6944161891937255,0.0021502977779185614,10,,,0,,,0
