target,metric,step,mean,std,count
8_gaussians,elbo,5000,-2.5411997079849242,0.2943765353666646,10
8_gaussians,elbo,10000,-1.7384756803512573,0.3960734408209283,10
8_gaussians,elbo,15000,-1.3121285796165467,0.38828239976051265,10
8_gaussians,elbo,20000,-0.9511080205440521,0.21757287355998722,10
8_gaussians,elbo,25000,-0.6022899985313416,0.04484186221373789,10
8_gaussians,elbo,30000,-0.4726232886314392,0.06551714641113189,10
8_gaussians,elbo,35000,-0.37326266765594485,0.024011081030821012,10
8_gaussians,elbo,40000,-0.32816640138626096,0.03274026396167463,10
8_gaussians,elbo,45000,-0.28266580402851105,0.015662100005478772,10
8_gaussians,elbo,50000,-0.2663499414920807,0.031366789105271686,10
8_gaussians,elbo,55000,-0.26083424538373945,0.04108391337727784,10
8_gaussians,elbo,60000,-0.2527427449822426,0.020793841647995658,10
8_gaussians,elbo,65000,-0.22778445929288865,0.011779563040225106,10
8_gaussians,elbo,70000,-0.2346048891544342,0.014675077012098716,10
8_gaussians,elbo,75000,-0.23855240941047667,0.01668572176158065,10
8_gaussians,elbo,80000,-0.22618144154548644,0.01149360806431603,10
8_gaussians,elbo,85000,-0.22410420179367066,0.01650495408332359,10
8_gaussians,elbo,90000,-0.23136414140462874,0.00833269129249124,10
8_gaussians,elbo,95000,-0.2273198738694191,0.012440804556083608,10
8_gaussians,elbo,100000,-0.22187667936086655,0.015686906221252118,10
8_gaussians,kl_ite,5000,1.0265538519424715,0.08682619413101794,10
8_gaussians,kl_ite,10000,0.665572509508871,0.051530224993418035,10
8_gaussians,kl_ite,15000,0.45791683555595786,0.025939266379184794,10
8_gaussians,kl_ite,20000,0.32340071921256747,0.020901303702919927,10
8_gaussians,kl_ite,25000,0.207678575904965,0.015303334783338675,10
8_gaussians,kl_ite,30000,0.14261414918715892,0.012575860809223051,10
8_gaussians,kl_ite,35000,0.09989617647063993,0.010294328676387956,10
8_gaussians,kl_ite,40000,0.0735131089104565,0.012606702386329816,10
8_gaussians,kl_ite,45000,0.05998447974363985,0.016440199934166688,10
8_gaussians,kl_ite,50000,0.05089539767625086,0.012683236661374903,10
8_gaussians,kl_ite,55000,0.05697255650791736,0.01135524848455855,10
8_gaussians,kl_ite,60000,0.04840863384685943,0.014081186353252166,10
8_gaussians,kl_ite,65000,0.04414641404626001,0.009496992225523866,10
8_gaussians,kl_ite,70000,0.04128386438477299,0.010592220471201508,10
8_gaussians,kl_ite,75000,0.044138237312507156,0.015882587130294917,10
8_gaussians,kl_ite,80000,0.04079962720513201,0.008497531354610727,10
8_gaussians,kl_ite,85000,0.04128705423916076,0.01400719859774914,10
8_gaussians,kl_ite,90000,0.03975852093547281,0.005862293988873386,10
8_gaussians,kl_ite,95000,0.03925975299369107,0.015914824369193562,10
8_gaussians,kl_ite,100000,0.03832343569304511,0.016463142832420598,10
8_gaussians,w2,5000,0.45612586438655855,0.04146922005906729,10
8_gaussians,w2,10000,0.3407451033592224,0.035278114980398484,10
8_gaussians,w2,15000,0.2855284348130226,0.08271869865468094,10
8_gaussians,w2,20000,0.22408155649900435,0.023865312203533905,10
8_gaussians,w2,25000,0.17407863438129426,0.03265800201921863,10
8_gaussians,w2,30000,0.15328447818756102,0.027710579476369988,10
8_gaussians,w2,35000,0.14096174463629724,0.042252288571377694,10
8_gaussians,w2,40000,0.15928534120321275,0.056503592951943155,10
8_gaussians,w2,45000,0.1649409592151642,0.08134669402673526,10
8_gaussians,w2,50000,0.17886087894439698,0.05950380586002478,10
8_gaussians,w2,55000,0.19137463420629502,0.08020706054107374,10
8_gaussians,w2,60000,0.20801104605197906,0.09983670070917937,10
8_gaussians,w2,65000,0.19535327404737474,0.10118892742652642,10
