recipe_id,method,target,config_path,seeds_complete,n_seeds,status,kl_ite_final_mean,kl_ite_final_std,kl_ite_final_count,kl_ite_best_mean,kl_ite_best_std,kl_ite_best_count,w2_final_mean,w2_final_std,w2_final_count,w2_best_mean,w2_best_std,w2_best_count,elbo_final_mean,elbo_final_std,elbo_final_count,elbo_best_mean,elbo_best_std,elbo_best_count,kde_expected_log_marginal_final_mean,kde_expected_log_marginal_final_std,kde_expected_log_marginal_final_count,kde_expected_log_marginal_best_mean,kde_expected_log_marginal_best_std,kde_expected_log_marginal_best_count
DSIVI-8_gaussians,DSIVI,8_gaussians,configs/dsivi_8_gaussians.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.25866505907102416,0.20320057532859842,10,0.2258408665178156,0.18070124712235103,10,0.28431541919708253,0.19764797104875886,10,0.16586069762706757,0.05797887104204796,10,-0.4630494982004166,0.4097150170476767,10,-0.417880579829216,0.37633857702803675,10,,,0,,,0
KDVI-8_gaussians,KDVI,8_gaussians,configs/kdvi_8_gaussians.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.03832343569304511,0.016463142832420598,10,0.02501107490077083,0.007782610338421016,10,0.20773080959916115,0.08743812662581141,10,0.10932931378483772,0.03250865934775486,10,-0.22187667936086655,0.015686906221252118,10,-0.21189285218715667,0.008736658918858956,10,,,0,,,0
DSIVI-8_gaussians_small,DSIVI,8_gaussians_small,configs/dsivi_8_gaussians.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.6456744135847104,0.17040911657661276,10,0.6009181204989568,0.13736408231439057,10,0.24101483821868896,0.049597391341285525,10,0.07434871420264244,0.009112183004550087,10,-0.8400871932506562,0.15929056522919502,10,-0.790937852859497,0.14863376327440248,10,,,0,,,0
KDVI-8_gaussians_small,KDVI,8_gaussians_small,configs/kdvi_8_gaussians_small.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.17582161876264488,0.3619706286960462,10,0.159315352246581,0.34346832922600207,10,0.13777673318982125,0.09179730116380723,10,0.0716347586363554,0.03981130908111822,10,-0.3284903772175312,0.6087902004822145,10,-0.3149638868868351,0.6088591246680485,10,,,0,,,0
DSIVI-Langevin_post,DSIVI,Langevin_post,configs/dsivi_Langevin_post.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,,,0,,,0,0.009032762330025434,0.0005320738809641353,10,0.008456174377351999,0.0003786813661750829,10,-196.21236114501954,1.0679647922483715,10,-189.1472946166992,0.6253358091723148,10,75.15112228393555,0.054733941090367624,10,75.17438507080078,0.05143467441403375,10
KDVI-Langevin_post,KDVI,Langevin_post,configs/kdvi_Langevin_post.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,,,0,,,0,0.011831674259155989,0.0003053139879890667,10,0.011510468740016221,0.0002471280448580688,10,-190.87147064208983,0.2657287478269589,10,-190.78366088867188,0.2397737580969114,10,74.75597076416015,0.03649637445868599,10,74.79325256347656,0.04118630269676158,10
DSIVI-banana,DSIVI,banana,configs/dsivi_banana.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.0036695118011291585,0.011111713663079965,10,-0.017987214475527896,0.004236266510826281,10,0.09973819218575955,0.042155777919768135,10,0.04723587092012167,0.009872918369834172,10,-0.02125267721712589,0.01123535663453631,10,-0.014212136552669109,0.010145922694629533,10,,,0,,,0
KDVI-banana,KDVI,banana,configs/kdvi_banana.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.029947648803249016,0.007782422965710318,10,0.007387134794998357,0.006584709113740269,10,0.42586514353752136,0.01544679029674824,10,0.2585468843579292,0.0670749124287334,10,-0.04586486201733351,0.006915144875307982,10,-0.042978782765567304,0.006892748555575277,10,,,0,,,0
DSIVI-multimodal,DSIVI,multimodal,configs/dsivi_multimodal.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.0028941369543586557,0.011169178843606967,10,-0.02068815933527533,0.0029924041458512483,10,0.036476316303014754,0.013187087517263083,10,0.019331914186477662,0.000820204874801322,10,-0.0010097802907694132,0.0003596578940692159,10,0.0004169805924902903,0.0004352866935955556,10,,,0,,,0
KDVI-multimodal,KDVI,multimodal,configs/kdvi_multimodal.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.0005604978444867345,0.00778305982912143,10,-0.014148661184234131,0.005139998162349103,10,0.03254094887524843,0.009138826614849322,10,0.021986980363726615,0.002531191106058496,10,-0.006530957017093897,0.0013019710192714816,10,-0.0035934191662818195,0.0010436081577301073,10,,,0,,,0
DSIVI-student_uc,DSIVI,student_uc,configs/dsivi_student_uc.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.011255988500338408,0.008982586284192216,10,-0.01502526826615162,0.0020624658706385997,10,0.556532496213913,0.011264991726956105,10,0.5335236430168152,0.005617288671180145,10,-2.6870822668075562,0.006262586172478705,10,-2.6797632455825804,0.004696647619211684,10,,,0,,,0
KDVI-student_uc,KDVI,student_uc,configs/kdvi_student_uc.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.015693126937081414,0.013584221149497333,10,0.005524074078175916,0.007036732601733841,10,0.5877405166625976,0.013635522747568058,10,0.553967171907425,0.01853661683768792,10,-2.6978663921356203,0.004064808882636296,10,-2.6944161891937255,0.0021502977779185614,10,,,0,,,0
DSIVI-x_shaped,DSIVI,x_shaped,configs/dsivi_x_shaped.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.0020109483976450985,0.010174806539727197,10,-0.016915325912310257,0.008493210177949125,10,0.07255202382802964,0.02840718502924754,10,0.04029670301824808,0.01028210915019626,10,-0.027150201424956322,0.009690023349678176,10,-0.021448855474591254,0.008569824979887168,10,,,0,,,0
KDVI-x_shaped,KDVI,x_shaped,configs/kdvi_x_shaped.yaml,"0,1,7,42,43,44,45,46,47,48",10,complete,0.043498232654795105,0.0796635329920597,10,0.02528214973241536,0.08125039281428822,10,0.06440603379160166,0.06614784333795799,10,0.048342784866690636,0.040667576668820475,10,-0.10024043843150139,0.12673592063694938,10,-0.08575524734333158,0.1149240399767602,10,,,0,,,0
